uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
Uso de agrotóxicos,,Fortaleza do Tabocão,1
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Divinópolis do Tocantins,1
Plantio convencional,,Figueirópolis,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Colméia,1
"Plantio convencional, Aração e gradagem",Muito degradado,Filadélfia,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Não possui degradação,Araguaína,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Ipueiras,1
Plantio convencional,,Gurupi,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Angico,1
Plantio Irrigado,,Chapada de Areia,1
"Plantio convencional, Pastagem nativa",,Marianópolis do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",,Crixás do Tocantins,1
"Roça de toco, Queimadas, Pastagem nativa",,Lagoa da Confusão,1
"Plantio convencional, Aração e gradagem",Degradação Média,Talismã,1
Não usa,Pouco degradado,Sucupira,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,dois Irmãos do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Nova Olinda,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Aliança do Tocantins,1
"Roça de toco, Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",Pouco degradado,Araguanã,1
Aração e gradagem,Não possui degradação,Divinópolis do Tocantins,1
"Aração e gradagem, Queimadas",Degradação Média,Muricilândia,1
"Roça de toco, Plantio convencional",Pouco degradado,Dianópolis,1
Aração e gradagem,Não possui degradação,Itaguatins,1
"Roça de toco, Plantio convencional, Monocultura",Não possui degradação,Caseara,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Guaraí,1
"Roça de toco, Aração e gradagem",,Pium,1
Aração e gradagem,,Araguaçu,1
"Monocultura, Uso de agrotóxicos",,Praia Norte,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Silvanópolis,1
Aração e gradagem,Pouco degradado,Rio Sono,1
"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Araguaína,1
"Queimadas, Uso de agrotóxicos",,Piraquê,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Gurupi,1
Não usa,Não possui degradação,Alvorada,1
Aração e gradagem,Não possui degradação,Pium,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Lagoa da Confusão,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",Não possui degradação,Tocantínia,1
Não usa,Não possui degradação,Pium,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Palmeiras do Tocantins,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Cristalândia,1
Plantio convencional,Pouco degradado,Alvorada,1
"Plantio convencional, Queimadas, Uso de agrotóxicos",Não possui degradação,Novo Jardim,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Ipueiras,1
Roça de toco,Pouco degradado,Almas,1
Aração e gradagem,Pouco degradado,Riachinho,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,dois Irmãos do Tocantins,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Dianópolis,1
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",,Angico,1
Não usa,Pouco degradado,Alvorada,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",,Almas,1
"Aração e gradagem, Queimadas",,Tocantínia,1
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",Degradação Média,Muricilândia,1
Não usa,Degradação Média,Cristalândia,1
"Roça de toco, Plantio convencional",Não possui degradação,Novo Jardim,1
Não usa,Não possui degradação,Caseara,1
"Roça de toco, Queimadas",Não possui degradação,Dianópolis,1
"Plantio convencional, Pastagem nativa",Degradação Média,Gurupi,1
"Roça de toco, Plantio convencional, Pastagem nativa",Não possui degradação,Araguaína,1
"Roça de toco, Pastagem nativa",Não possui degradação,Almas,1
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,,1
"Plantio convencional, Aração e gradagem",Degradação Média,Chapada de Areia,1
"Aração e gradagem, Pastagem nativa",Não possui degradação,Palmas,1
Uso de agrotóxicos,Não possui degradação,Axixá do Tocantins,1
Aração e gradagem,Degradação Média,Fátima,1
"Roça de toco, Pastagem nativa, Monocultura, Uso de agrotóxicos",Não possui degradação,Paranã,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Babaçulândia,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Peixe,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Colméia,1
"Roça de toco, Plantio convencional, Monocultura",,Monte do Carmo,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,Bandeirantes do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Palmeirópolis,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Degradação Média,Bandeirantes do Tocantins,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Degradação Média,Silvanópolis,1
"Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",Não possui degradação,Angico,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Monte Santo do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",Pouco degradado,Nova Olinda,1
Plantio convencional,Degradação Média,Nova Rosalândia,1
Plantio convencional,Degradação Média,Paraíso do Tocantins,1
"Aração e gradagem, Monocultura",Pouco degradado,Araguaçu,1
Aração e gradagem,,Alvorada,1
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Não possui degradação,Cristalândia,1
Não usa,Pouco degradado,Miranorte,1
"Roça de toco, Uso de agrotóxicos",Pouco degradado,Ipueiras,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Degradação Média,Araguaína,1
"Roça de toco, Plantio convencional, Aração e gradagem",Não possui degradação,Rio Sono,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",,Pedro Afonso,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",,Bom Jesus do Tocantins,1
"Roça de toco, Aração e gradagem",Degradação Média,Porto Alegre do Tocantins,1
"Roça de toco, Aração e gradagem",Não possui degradação,Paranã,1
"Plantio convencional, Aração e gradagem",,Dianópolis,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Miracema do Tocantins,1
Plantio convencional,Não possui degradação,Divinópolis do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",,Itaguatins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,dois Irmãos do Tocantins,1
Uso de agrotóxicos,Pouco degradado,dois Irmãos do Tocantins,1
"Aração e gradagem, Pastagem nativa",Degradação Média,Dianópolis,1
"Roça de toco, Plantio convencional, Queimadas, Pastagem nativa, Monocultura, Uso de agrotóxicos",Pouco degradado,darcinópolis,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",,Caseara,1
"Roça de toco, Aração e gradagem, Queimadas",Não possui degradação,Ananás,1
Aração e gradagem,Pouco degradado,Fátima,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Figueirópolis,1
"Pastagem nativa, Monocultura, Uso de agrotóxicos",Pouco degradado,Araguaína,1
"Roça de toco, Pastagem nativa",Pouco degradado,Paranã,1
"Roça de toco, Plantio convencional, Queimadas",Não possui degradação,Dianópolis,1
Não usa,,Caseara,1
"Roça de toco, Plantio convencional, Pastagem nativa",,Pedro Afonso,1
Aração e gradagem,Não possui degradação,Almas,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Degradação Média,Aliança do Tocantins,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Novo Jardim,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Santa Fé do Araguaia,1
"Roça de toco, Plantio convencional, Queimadas",,Couto Magalhães,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Ananás,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Sítio Novo do Tocantins,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Talismã,1
"Aração e gradagem, Queimadas",Pouco degradado,Sucupira,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Santa Terezinha do Tocantins,1
Aração e gradagem,Pouco degradado,Goiatins,1
"Roça de toco, Plantio convencional, Aração e gradagem",Não possui degradação,Esperantina,1
Aração e gradagem,,Paraíso do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,dois Irmãos do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Porto Nacional,1
Aração e gradagem,Pouco degradado,Tupirama,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Muito degradado,Aliança do Tocantins,1
"Plantio convencional, Queimadas, Uso de agrotóxicos",,São Miguel do Tocantins,1
"Roça de toco, Aração e gradagem, Monocultura, Uso de agrotóxicos",Não possui degradação,Araguanã,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Araguaína,1
"Plantio convencional, Monocultura, Uso de agrotóxicos",Degradação Média,Crixás do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Araguaína,1
Pastagem nativa,Muito degradado,Marianópolis do Tocantins,1
"Roça de toco, Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,Pium,1
"Roça de toco, Queimadas",Pouco degradado,Chapada da Natividade,1
"Roça de toco, Monocultura",,Xambioá,1
"Roça de toco, Aração e gradagem",Pouco degradado,Chapada da Natividade,1
Aração e gradagem,,Dianópolis,1
"Roça de toco, Plantio convencional",Pouco degradado,Paraíso do Tocantins,1
Aração e gradagem,Não possui degradação,Miranorte,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Axixá do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,darcinópolis,1
Não usa,,Axixá do Tocantins,1
Roça de toco,Pouco degradado,Chapada da Natividade,1
"Roça de toco, Plantio convencional, Monocultura, Uso de agrotóxicos",Degradação Média,Xambioá,1
"Plantio convencional, Pastagem nativa",Pouco degradado,Dianópolis,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Chapada da Natividade,1
"Plantio convencional, Aração e gradagem, Monocultura",Muito degradado,Santa Rita do Tocantins,1
"Queimadas, Uso de agrotóxicos",Pouco degradado,Filadélfia,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Miranorte,1
Aração e gradagem,Não possui degradação,Lajeado,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",Degradação Média,Chapada da Natividade,1
"Roça de toco, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura",Degradação Média,Chapada da Natividade,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Cariri do Tocantins,1
Roça de toco,Não possui degradação,Miranorte,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Luzinópolis,1
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Piraquê,1
"Roça de toco, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura",Pouco degradado,Chapada da Natividade,1
"Plantio convencional, Monocultura, Uso de agrotóxicos",Degradação Média,Xambioá,1
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Santa Fé do Araguaia,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Araguaína,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Pium,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Wanderlândia,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Fátima,1
"Plantio convencional, Aração e gradagem",Degradação Média,Aliança do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Palmeiras do Tocantins,1
"Roça de toco, Queimadas, Pastagem nativa",Degradação Média,Paranã,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Xambioá,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas",Pouco degradado,Xambioá,1
Roça de toco,Pouco degradado,Monte Santo do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",,Sítio Novo do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Carmolândia,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",Pouco degradado,Xambioá,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Paranã,1
"Queimadas, Uso de agrotóxicos",Pouco degradado,Santa Fé do Araguaia,1
Aração e gradagem,Pouco degradado,Ponte Alta do Bom Jesus,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Divinópolis do Tocantins,1
Aração e gradagem,,Divinópolis do Tocantins,1
Uso de agrotóxicos,Não possui degradação,Monte Santo do Tocantins,1
Aração e gradagem,Não possui degradação,Novo Jardim,1
Não usa,Degradação Média,Dianópolis,1
"Roça de toco, Plantio convencional, Uso de agrotóxicos",Pouco degradado,Araguanã,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",,Nova Olinda,1
"Queimadas, Pastagem nativa, Monocultura",Muito degradado,Silvanópolis,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Palmeiras do Tocantins,1
"Plantio convencional, Uso de agrotóxicos",,São Miguel do Tocantins,1
Não usa,Pouco degradado,Araguaçu,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",Degradação Média,Araguanã,1
"Plantio convencional, Uso de agrotóxicos",,Axixá do Tocantins,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,Filadélfia,1
Aração e gradagem,Não possui degradação,Dianópolis,1
"Aração e gradagem, Monocultura",Não possui degradação,Novo Jardim,1
"Plantio convencional, Aração e gradagem",,Paraíso do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Marianópolis do Tocantins,1
"Plantio convencional, Aração e gradagem, Monocultura",Não possui degradação,Dianópolis,1
Aração e gradagem,Não possui degradação,Divinópolis do Tocantins,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Rio da Conceição,1
Plantio convencional,Não possui degradação,Figueirópolis,1
Queimadas,Pouco degradado,Chapada da Natividade,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,Aparecida do Rio Negro,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",,dois Irmãos do Tocantins,1
Plantio convencional,,Dianópolis,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Chapada de Areia,1
Aração e gradagem,Não possui degradação,Miracema do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Araguaína,1
"Aração e gradagem, Queimadas, Monocultura",Não possui degradação,Filadélfia,1
"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Axixá do Tocantins,1
"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Axixá do Tocantins,1
"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Axixá do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Riachinho,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Colméia,1
"Aração e gradagem, Uso de agrotóxicos",,Porto Nacional,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Degradação Média,Jaú do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Tocantínia,1
"Aração e gradagem, Pastagem nativa, Monocultura",Pouco degradado,Miranorte,1
"Roça de toco, Queimadas, Pastagem nativa",,Paranã,1
"Monocultura, Uso de agrotóxicos",Pouco degradado,Paraíso do Tocantins,1
Pastagem nativa,,Talismã,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Guaraí,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Não usa",Não possui degradação,Rio Sono,1
Aração e gradagem,Pouco degradado,Cristalândia,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Crixás do Tocantins,1
Aração e gradagem,Pouco degradado,Santa Fé do Araguaia,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",,Babaçulândia,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Colméia,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Barrolândia,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Divinópolis do Tocantins,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Degradação Média,Marianópolis do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem",Pouco degradado,Riachinho,1
Aração e gradagem,Não possui degradação,Abreulândia,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",,Guaraí,1
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",Não possui degradação,Piraquê,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Wanderlândia,1
Aração e gradagem,Degradação Média,Divinópolis do Tocantins,1
Aração e gradagem,Pouco degradado,Tocantínia,1
"Roça de toco, Pastagem nativa",Não possui degradação,Rio Sono,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,Jaú do Tocantins,1
"Roça de toco, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Caseara,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",Degradação Média,Araguaçu,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Lagoa da Confusão,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",,Nova Olinda,1
"Aração e gradagem, Queimadas, Pastagem nativa",Não possui degradação,Luzinópolis,1
"Roça de toco, Aração e gradagem, Pastagem nativa",Pouco degradado,Dianópolis,1
Roça de toco,Pouco degradado,Aragominas,1
"Queimadas, Pastagem nativa",Pouco degradado,Tocantínia,1
Plantio convencional,,Porto Nacional,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Guaraí,1
"Plantio convencional, Aração e gradagem",,Talismã,1
Plantio convencional,Pouco degradado,Almas,1
Aração e gradagem,,Gurupi,1
Roça de toco,Pouco degradado,Aurora do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Dianópolis,1
Plantio convencional,,Nova Rosalândia,1
Plantio convencional,,Axixá do Tocantins,1
"Aração e gradagem, Pastagem nativa",,Santa Terezinha do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Miracema do Tocantins,1
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Figueirópolis,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Miracema do Tocantins,1
"Roça de toco, Aração e gradagem",Degradação Média,Santa Fé do Araguaia,1
"Plantio convencional, Uso de agrotóxicos",,darcinópolis,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Bandeirantes do Tocantins,1
Queimadas,Pouco degradado,Goiatins,1
Uso de agrotóxicos,Não possui degradação,Caseara,1
Pastagem nativa,Não possui degradação,Dianópolis,1
Plantio convencional,Degradação Média,Marianópolis do Tocantins,1
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Araguaína,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Silvanópolis,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Santa Fé do Araguaia,1
"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Muito degradado,Santa Fé do Araguaia,1
Aração e gradagem,Pouco degradado,Cristalândia,1
"Plantio convencional, Aração e gradagem",Não possui degradação,São Salvador do Tocantins,1
"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Araguaína,1
"Roça de toco, Aração e gradagem",Pouco degradado,Lagoa da Confusão,1
"Roça de toco, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Degradação Média,Lagoa da Confusão,1
Roça de toco,,Dianópolis,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Lagoa da Confusão,1
"Aração e gradagem, Pastagem nativa",Não possui degradação,Ipueiras,1
Queimadas,Não possui degradação,Talismã,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Pium,1
"Plantio convencional, Aração e gradagem",,Nova Rosalândia,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Santa Terezinha do Tocantins,1
"Queimadas, Uso de agrotóxicos",Não possui degradação,Aragominas,1
Aração e gradagem,Não possui degradação,Ponte Alta do Bom Jesus,1
"Roça de toco, Queimadas, Monocultura, Uso de agrotóxicos",Degradação Média,Xambioá,1
"Roça de toco, Plantio convencional, Pastagem nativa, Monocultura",Pouco degradado,Araguanã,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Palmeiras do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Monocultura",Pouco degradado,Monte do Carmo,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Aragominas,1
Plantio convencional,Pouco degradado,Chapada de Areia,1
"Roça de toco, Aração e gradagem",Não possui degradação,Ananás,1
Monocultura,Degradação Média,Nova Rosalândia,1
"Plantio convencional, Aração e gradagem, Monocultura",,Nova Rosalândia,1
"Roça de toco, Pastagem nativa",Não possui degradação,Almas,1
"Aração e gradagem, Pastagem nativa",Pouco degradado,Ponte Alta do Bom Jesus,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Palmas,1
"Plantio convencional, Aração e gradagem",Degradação Média,Monte Santo do Tocantins,1
"Roça de toco, Pastagem nativa",Pouco degradado,Monte Santo do Tocantins,1
Plantio convencional,Pouco degradado,Paraíso do Tocantins,1
"Plantio convencional, Queimadas, Monocultura, Uso de agrotóxicos",Pouco degradado,Jaú do Tocantins,1
Roça de toco,,Ponte Alta do Bom Jesus,1
"Roça de toco, Uso de agrotóxicos",Degradação Média,Aragominas,1
"Roça de toco, Aração e gradagem",Não possui degradação,Centenário,1
Plantio convencional,Pouco degradado,Miracema do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Divinópolis do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Babaçulândia,1
Pastagem nativa,Não possui degradação,Cristalândia,1
Aração e gradagem,Degradação Média,Filadélfia,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Degradação Média,Fátima,1
"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Barrolândia,1
"Plantio convencional, Pastagem nativa",Não possui degradação,Caseara,1
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Jaú do Tocantins,1
"Roça de toco, Aração e gradagem",Pouco degradado,Ponte Alta do Bom Jesus,1
"Plantio convencional, Aração e gradagem",,Gurupi,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Cariri do Tocantins,1
"Roça de toco, Plantio convencional, Uso de agrotóxicos",Degradação Média,dois Irmãos do Tocantins,1
Roça de toco,,Almas,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Não possui degradação,Guaraí,1
"Roça de toco, Aração e gradagem, Queimadas",Pouco degradado,Piraquê,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Paraíso do Tocantins,1
Aração e gradagem,Pouco degradado,Cristalândia,1
Aração e gradagem,Pouco degradado,Bom Jesus do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",,Sítio Novo do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miracema do Tocantins,1
"Plantio convencional, Uso de agrotóxicos",,Miranorte,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Degradação Média,Angico,1
"Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",Pouco degradado,Cachoeirinha,1
Uso de agrotóxicos,Pouco degradado,Pium,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Silvanópolis,1
"Plantio convencional, Não usa",Muito degradado,Filadélfia,1
"Roça de toco, Aração e gradagem, Uso de agrotóxicos",,Ponte Alta do Bom Jesus,1
Não usa,Pouco degradado,Axixá do Tocantins,1
"Aração e gradagem, Pastagem nativa, Não usa",Pouco degradado,Divinópolis do Tocantins,1
"Roça de toco, Queimadas",Pouco degradado,Aragominas,1
Aração e gradagem,Pouco degradado,Abreulândia,1
"Aração e gradagem, Uso de agrotóxicos",,Rio dos Bois,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",Pouco degradado,Nova Olinda,1
"Plantio convencional, Monocultura, Uso de agrotóxicos",Pouco degradado,Filadélfia,1
Aração e gradagem,Pouco degradado,Cristalândia,1
Roça de toco,Muito degradado,Novo Acordo,1
Aração e gradagem,Não possui degradação,Cristalândia,1
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Aliança do Tocantins,1
"Roça de toco, Plantio convencional, Pastagem nativa",Degradação Média,Ponte Alta do Bom Jesus,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Lagoa da Confusão,1
"Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",Degradação Média,São Miguel do Tocantins,1
"Roça de toco, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Piraquê,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Degradação Média,Ipueiras,1
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Piraquê,1
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",Degradação Média,Angico,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Abreulândia,1
"Roça de toco, Plantio convencional, Aração e gradagem",Não possui degradação,Dianópolis,1
Queimadas,Pouco degradado,Talismã,1
"Plantio convencional, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Ipueiras,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Degradação Média,Luzinópolis,1
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Miracema do Tocantins,1
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Barrolândia,1
"Roça de toco, Queimadas",,Caseara,1
"Plantio convencional, Pastagem nativa",,Nova Rosalândia,1
"Roça de toco, Plantio convencional",,dois Irmãos do Tocantins,1
"Roça de toco, Plantio convencional",,Miracema do Tocantins,1
"Aração e gradagem, Queimadas",,Rio Sono,1
"Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",Pouco degradado,Filadélfia,1
"Roça de toco, Plantio convencional, Monocultura",Degradação Média,Monte do Carmo,1
"Plantio convencional, Aração e gradagem, PRODUTO NATURAL PARA CONTROLE DE PRAGAS E DOENÇAS.",,Dianópolis,1
"Plantio convencional, Aração e gradagem",,Porto Nacional,1
