atividade_produtiva,area_da_propriedade__hectares__,count
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Olericultura, Culturas Anuais",100 - 200 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Mandiocultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura de Leite",Acima de 320 ha,1
"Avicultura, Pisicultura, Mandiocultura",10 - 20 ha,1
"Avicultura, Apicultura/meliponicultura, Pisicultura, Mandiocultura",5 - 10 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Extrativismo Vegetal",50 - 100 ha,1
"Apicultura/meliponicultura, Mandiocultura, Cana",1 - 5 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Pisicultura",5 - 10 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",5 - 10 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura, Pisicultura, Mandiocultura, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Mandiocultura, Culturas Anuais",20 - 50 ha,1
"Mandiocultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Pisicultura",5 - 10 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",10 - 20 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura",20 - 50 ha,1
"Mandiocultura, Culturas Anuais",Até 1 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Culturas Anuais",5 - 10 ha,1
"Bovinocultura de corte, Avicultura, Fruticultura",100 - 200 ha,1
"Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",1 - 5 ha,1
"Avicultura, Ovinocaprinocultura",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Olericultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",10 - 20 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Olericultura",10 - 20 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Olericultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Culturas Anuais",20 - 50 ha,1
"Avicultura, Mandiocultura, quiabo",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Apicultura/meliponicultura",50 - 100 ha,1
gado de cria,20 - 50 ha,1
Bovinocultura de Leite,Até 1 ha,1
"Bovinocultura de Leite, Avicultura",5 - 10 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura",5 - 10 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Olericultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Ovinocaprinocultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura",100 - 200 ha,1
"Avicultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Mandiocultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Mandiocultura",20 - 50 ha,1
"Mandiocultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Olericultura",10 - 20 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura",5 - 10 ha,1
"Bovinocultura de Leite, Avicultura",1 - 5 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Olericultura",10 - 20 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",10 - 20 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura",1 - 5 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Apicultura/meliponicultura, Culturas Anuais",Acima de 320 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Pisicultura, PIMENTA DO REINO",10 - 20 ha,1
"Bovinocultura de corte, Apicultura/meliponicultura",10 - 20 ha,1
Bovinocultura de Leite,100 - 200 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura",50 - 100 ha,1
"Bovinocultura de corte, Apicultura/meliponicultura",20 - 50 ha,1
Avicultura,Até 1 ha,1
Bovinocultura de corte,200 - 320 ha,1
"Bovinocultura de corte, Avicultura",200 - 320 ha,1
"Bovinocultura de corte, Avicultura, Agroindústria",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Suinocultura, Pisicultura, Olericultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura",20 - 50 ha,1
Avicultura,50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Mandiocultura, Olericultura, CANA AÇUCAR",100 - 200 ha,1
PESCA ARTESANAL,Até 1 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Ovinocaprinocultura, Culturas Anuais",200 - 320 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Culturas Anuais",100 - 200 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Fruticultura, Agroindustria",10 - 20 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",100 - 200 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Extrativismo Vegetal",10 - 20 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura de corte, Mandiocultura, Olericultura",20 - 50 ha,1
"Avicultura, Mandiocultura, Fruticultura",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Apicultura/meliponicultura, Fruticultura, Olericultura, Extrativismo Vegetal",50 - 100 ha,1
"Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de Leite, Pisicultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Fruticultura, Extrativismo Vegetal",5 - 10 ha,1
"Avicultura, Suinocultura, Apicultura/meliponicultura, Mandiocultura",10 - 20 ha,1
"Bovinocultura de corte, Mandiocultura, Olericultura",100 - 200 ha,1
"Bovinocultura de corte, Avicultura",5 - 10 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Mandiocultura, Cana-de-Açucar",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Fruticultura",Até 1 ha,1
"Mandiocultura, Fruticultura, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",200 - 320 ha,1
"Bovinocultura de corte, Avicultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1 - 5 ha,1
"Olericultura, Extrativismo Vegetal",10 - 20 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",10 - 20 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",20 - 50 ha,1
"Avicultura, Suinocultura, Apicultura/meliponicultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",100 - 200 ha,1
"Bovinocultura de corte, Avicultura, Turismo",20 - 50 ha,1
"Mandiocultura, Extrativismo Vegetal, PESCA",200 - 320 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Ovinocaprinocultura",10 - 20 ha,1
"Bovinocultura de corte, Suinocultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",200 - 320 ha,1
"Ovinocaprinocultura, Mandiocultura, Culturas Anuais",1 - 5 ha,1
"Bovinocultura de corte, Mandiocultura, Culturas Anuais",50 - 100 ha,1
"Mandiocultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Avicultura, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura",5 - 10 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Culturas Anuais",200 - 320 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura",10 - 20 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Pisicultura",50 - 100 ha,1
"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Olericultura, Extrativismo Vegetal",20 - 50 ha,1
"Avicultura, Mandiocultura, Fruticultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Fruticultura, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Olericultura, Extrativismo Vegetal",Até 1 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",50 - 100 ha,1
Fruticultura,1 - 5 ha,1
"Avicultura, Mandiocultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura",5 - 10 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura",50 - 100 ha,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
VIVEIRO DE MUDAS,1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais, CANA DE AÇUCAR",20 - 50 ha,1
"Avicultura, Suinocultura, Culturas Anuais, Extrativismo Vegetal",5 - 10 ha,1
"Avicultura, Suinocultura, Mandiocultura, Extrativismo Vegetal, cultivo da mangaba",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",50 - 100 ha,1
"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de corte, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura, Culturas Anuais",5 - 10 ha,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura",20 - 50 ha,1
"Avicultura, Mandiocultura",5 - 10 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Olericultura, Culturas Anuais",50 - 100 ha,1
"Avicultura, Fruticultura, Culturas Anuais",5 - 10 ha,1
"Avicultura, Mandiocultura, Fruticultura",Até 1 ha,1
"Avicultura, Pisicultura",Até 1 ha,1
Extrativismo Vegetal,1 - 5 ha,1
"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",10 - 20 ha,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",5 - 10 ha,1
"Avicultura, Ovinocaprinocultura, Mandiocultura, Fruticultura, Olericultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura, Olericultura",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura, Olericultura",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Mandiocultura, Fruticultura",5 - 10 ha,1
"Bovinocultura de corte, Pisicultura",100 - 200 ha,1
"Bovinocultura de corte, Mandiocultura, Culturas Anuais",100 - 200 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",1 - 5 ha,1
"Apicultura/meliponicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Apicultura/meliponicultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Olericultura, Culturas Anuais",200 - 320 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Ovinocaprinocultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",5 - 10 ha,1
"Suinocultura, Pisicultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura de corte, Apicultura/meliponicultura, Mandiocultura, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Pisicultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Fruticultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura de corte, Mandiocultura, Fruticultura, Olericultura, Extrativismo Vegetal",20 - 50 ha,1
"Suinocultura, Fruticultura",20 - 50 ha,1
"Avicultura, Fruticultura, Olericultura, Culturas Anuais",1 - 5 ha,1
"Fruticultura, Culturas Anuais",1 - 5 ha,1
"Avicultura, Suinocultura, Olericultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de corte, Pisicultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Pisicultura, Fruticultura, Olericultura, Culturas Anuais",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura",200 - 320 ha,1
"Avicultura, Mandiocultura, Olericultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Apicultura/meliponicultura, Fruticultura, Olericultura",10 - 20 ha,1
"Avicultura, Culturas Anuais, Café",1 - 5 ha,1
"Avicultura, Fruticultura, Olericultura",1 - 5 ha,1
"Avicultura, Mandiocultura, Olericultura, Culturas Anuais",Até 1 ha,1
"Avicultura, Suinocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Avicultura, Suinocultura, Fruticultura",1 - 5 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",10 - 20 ha,1
"Avicultura, Mandiocultura, Olericultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de Leite, Olericultura",5 - 10 ha,1
"Avicultura, Mandiocultura, Olericultura, Culturas Anuais",5 - 10 ha,1
"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1 - 5 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",5 - 10 ha,1
"Pisicultura, Fruticultura, Olericultura",20 - 50 ha,1
"Mandiocultura, Fruticultura, Olericultura",Até 1 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura",1 - 5 ha,1
"Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura, Mandiocultura, Fruticultura",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Ovinocaprinocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Fruticultura, Olericultura, Culturas Anuais",10 - 20 ha,1
"Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",5 - 10 ha,1
"Bovinocultura de Leite, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, AGROINDÚSTRIA LÁCTEA",5 - 10 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Fruticultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Apicultura/meliponicultura, Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Suinocultura, Apicultura/meliponicultura, Mandiocultura, Fruticultura",5 - 10 ha,1
"Bovinocultura de corte, Avicultura, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",5 - 10 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Mandiocultura, Fruticultura, Culturas Anuais",10 - 20 ha,1
"Avicultura, Olericultura, Extrativismo Vegetal",1 - 5 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",50 - 100 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Pisicultura",100 - 200 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Mandiocultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura",10 - 20 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Ovinocaprinocultura, Fruticultura",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Ovinocaprinocultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Mandiocultura",20 - 50 ha,1
Apicultura/meliponicultura,5 - 10 ha,1
"Apicultura/meliponicultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",Até 1 ha,1
"Bovinocultura de Leite, Pisicultura, Mandiocultura, Milho",20 - 50 ha,1
