uso_de_praticas_sustentaveis_,area_da_propriedade__hectares__,regional_,count
"Rotação de Cultura, Consórcio, ILPF - Integração Lavoura Pecuária e Floresta, Recuperação de pastagens, Adubação",20 - 50 ha,Taguatinga,1
"Adubação verde, Plantio direto, Adubação",1 - 5 ha,Porto,1
Calagem,50 - 100 ha,Gurupi,1
Adubação verde,5 - 10 ha,Miracema,1
Curva de nível,50 - 100 ha,Araguaina,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Calagem, Adubação",10 - 20 ha,Miracema,1
"Adubação verde, Plantio direto, Adubação",20 - 50 ha,Porto,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",50 - 100 ha,Araguaina,1
"Aceiros, Calagem",10 - 20 ha,Araguatins,1
Não Usa,200 - 320 ha,Paraiso,1
"Rotação de Cultura, Calagem, Consórcio, Adubação",50 - 100 ha,Araguaina,1
Plantio direto,50 - 100 ha,Paraiso,1
"Curva de nível, Adubação verde, Aceiros, Calagem, Adubação",200 - 320 ha,Taguatinga,1
"Reaproveitamento de residuos, Aceiros",Até 1 ha,Araguatins,1
Não Usa,1 - 5 ha,Miracema,1
"Adubação verde, Plantio direto, Adubação",20 - 50 ha,Miracema,1
"Aceiros, Calagem",100 - 200 ha,Taguatinga,1
"Calagem, Adubação",5 - 10 ha,Gurupi,1
"Aceiros, Calagem, Adubação",200 - 320 ha,Miracema,1
"Rotação de Cultura, Aceiros, Consórcio",20 - 50 ha,Porto,1
"Calagem, Plantio direto, Adubação",100 - 200 ha,Paraiso,1
Adubação verde,20 - 50 ha,Paraiso,1
"Calagem, Adubação",50 - 100 ha,Porto,1
"Adubação verde, Aceiros",100 - 200 ha,Paraiso,1
"Reaproveitamento de residuos, Aceiros, Consórcio",100 - 200 ha,Taguatinga,1
"Rotação de Cultura, Aceiros",20 - 50 ha,Paraiso,1
"Curva de nível, Aceiros, Calagem, Recuperação de pastagens, Plantio direto, Adubação",50 - 100 ha,Taguatinga,1
"Aceiros, Não Usa",20 - 50 ha,Paraiso,1
"Curva de nível, Adubação verde, Aceiros, Calagem, Recuperação de pastagens, Adubação",Acima de 320 ha,Colinas,1
"Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguatins,1
"Reaproveitamento de residuos, Descarte correto de embalagens",20 - 50 ha,Araguatins,1
Rotação de Cultura,20 - 50 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Adubação",20 - 50 ha,Miracema,1
"Adubação verde, Rotação de Cultura, Aceiros, Recuperação de pastagens, Plantio direto",20 - 50 ha,Araguaina,1
"Adubação verde, Aceiros, Calagem, Adubação",20 - 50 ha,Miracema,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Descarte correto de embalagens",20 - 50 ha,Taguatinga,1
Não Usa,100 - 200 ha,Paraiso,1
"Reaproveitamento de residuos, Aceiros, Calagem, Descarte correto de embalagens, Adubação",20 - 50 ha,Miracema,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",20 - 50 ha,Paraiso,1
"Rotação de Cultura, Recuperação de pastagens",50 - 100 ha,Taguatinga,1
"Aceiros, Descarte correto de embalagens, Plantio direto",1 - 5 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens",50 - 100 ha,Araguaina,1
"Adubação verde, Rotação de Cultura",5 - 10 ha,Taguatinga,1
"Aceiros, Consórcio, Adubação",20 - 50 ha,Miracema,1
"Aceiros, Plantio direto, Adubação",20 - 50 ha,Araguatins,1
"Calagem, Adubação",10 - 20 ha,Miracema,1
"Aceiros, Adubação, Não Usa",10 - 20 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",200 - 320 ha,Taguatinga,1
"Adubação verde, Rotação de Cultura",20 - 50 ha,Taguatinga,1
"Calagem, Consórcio, Recuperação de pastagens, Adubação",20 - 50 ha,Araguaina,1
"Adubação verde, Rotação de Cultura, Plantio direto",1 - 5 ha,Porto,1
"Aceiros, Calagem, Recuperação de pastagens",50 - 100 ha,Taguatinga,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",50 - 100 ha,Araguaina,1
"Adubação verde, Calagem, Consórcio, Adubação",10 - 20 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Calagem, Plantio direto, Adubação",20 - 50 ha,Araguatins,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Adubação",10 - 20 ha,Taguatinga,1
"Curva de nível, Adubação verde, Rotação de Cultura, Aceiros",20 - 50 ha,Taguatinga,1
"Rotação de Cultura, Descarte correto de embalagens",10 - 20 ha,Araguatins,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",10 - 20 ha,Paraiso,1
Não Usa,Até 1 ha,Araguatins,1
Não Usa,50 - 100 ha,Araguaina,1
"Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",20 - 50 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Adubação",5 - 10 ha,Paraiso,1
"Aceiros, Descarte correto de embalagens",1 - 5 ha,Araguatins,1
"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Plantio direto, Adubação",20 - 50 ha,Paraiso,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens",5 - 10 ha,Araguatins,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",50 - 100 ha,Araguaina,1
"Aceiros, Adubação",100 - 200 ha,Paraiso,1
Aceiros,10 - 20 ha,Colinas,1
"Curva de nível, Adubação verde, Calagem, Adubação",50 - 100 ha,Colinas,1
"Consórcio, Recuperação de pastagens, Adubação",50 - 100 ha,Paraiso,1
"Aceiros, Calagem, Adubação",10 - 20 ha,Gurupi,1
"Calagem, Consórcio, Adubação",20 - 50 ha,Gurupi,1
"Curva de nível, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",200 - 320 ha,Taguatinga,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",10 - 20 ha,Paraiso,1
"Aceiros, Recuperação de pastagens, Adubação",50 - 100 ha,Paraiso,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Plantio direto, Adubação",10 - 20 ha,Taguatinga,1
"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",100 - 200 ha,Porto,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Descarte correto de embalagens, Adubação",1 - 5 ha,Miracema,1
"Aceiros, Recuperação de pastagens, Adubação",5 - 10 ha,Paraiso,1
"Rotação de Cultura, Calagem, Consórcio, Adubação",5 - 10 ha,Paraiso,1
"Rotação de Cultura, Aceiros, Calagem",50 - 100 ha,Araguaina,1
"Curva de nível, Adubação verde, Rotação de Cultura, Calagem, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto, Adubação",Acima de 320 ha,Colinas,1
"Adubação verde, Aceiros, Calagem, Adubação",20 - 50 ha,Paraiso,1
"Rotação de Cultura, Consórcio, Recuperação de pastagens, Adubação",100 - 200 ha,Paraiso,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Paraiso,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Plantio direto, Adubação",5 - 10 ha,Araguatins,1
"Aceiros, Consórcio",20 - 50 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",50 - 100 ha,Araguaina,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Calagem, Consórcio, Adubação",20 - 50 ha,Taguatinga,1
"Adubação verde, Rotação de Cultura, Plantio direto, Adubação",20 - 50 ha,Paraiso,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",10 - 20 ha,Taguatinga,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",1 - 5 ha,Miracema,1
"Aceiros, Calagem, Recuperação de pastagens, Plantio direto",200 - 320 ha,Araguaina,1
"Aceiros, Calagem",100 - 200 ha,Miracema,1
"Aceiros, Calagem",1 - 5 ha,Taguatinga,1
"Adubação verde, Aceiros, Calagem, Adubação",50 - 100 ha,Paraiso,1
"Curva de nível, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem",20 - 50 ha,Araguaina,1
"Aceiros, Calagem, Plantio direto, Adubação",1 - 5 ha,Miracema,1
Aceiros,Até 1 ha,Paraiso,1
Reaproveitamento de residuos,10 - 20 ha,Paraiso,1
"Reaproveitamento de residuos, Rotação de Cultura, Plantio direto, Adubação",1 - 5 ha,Paraiso,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",20 - 50 ha,Araguatins,1
"Descarte correto de embalagens, Recuperação de pastagens, Adubação",1 - 5 ha,Taguatinga,1
"Adubação verde, Reaproveitamento de residuos, Adubação",5 - 10 ha,Paraiso,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",Até 1 ha,Paraiso,1
"Aceiros, Calagem, Plantio direto, Adubação",100 - 200 ha,Paraiso,1
"Rotação de Cultura, Calagem, ILP - Integração Lavoura Pecuária, Plantio direto, Adubação",100 - 200 ha,Paraiso,1
Adubação,Até 1 ha,Araguaina,1
"Plantio direto, Adubação",20 - 50 ha,Miracema,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",1 - 5 ha,Paraiso,1
"Aceiros, Plantio direto",20 - 50 ha,Araguaina,1
"Rotação de Cultura, Descarte correto de embalagens, Adubação",1 - 5 ha,Araguatins,1
"Rotação de Cultura, Aceiros, Consórcio, Adubação",50 - 100 ha,Araguatins,1
"Rotação de Cultura, Aceiros",20 - 50 ha,Miracema,1
"Aceiros, Recuperação de pastagens, Adubação",20 - 50 ha,Araguatins,1
"Adubação verde, Calagem, Adubação",Até 1 ha,Araguatins,1
"Adubação verde, Rotação de Cultura, Aceiros, Recuperação de pastagens, Plantio direto",10 - 20 ha,Porto,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",50 - 100 ha,Araguaina,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",20 - 50 ha,Paraiso,1
"Aceiros, Recuperação de pastagens, Adubação",100 - 200 ha,Paraiso,1
"Curva de nível, Adubação verde, Aceiros, Calagem",50 - 100 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",20 - 50 ha,Araguaina,1
"Aceiros, Recuperação de pastagens",20 - 50 ha,Taguatinga,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Adubação",10 - 20 ha,Miracema,1
"Rotação de Cultura, Aceiros, Calagem",200 - 320 ha,Araguaina,1
"Reaproveitamento de residuos, Aceiros",20 - 50 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",5 - 10 ha,Araguatins,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",10 - 20 ha,Araguatins,1
Adubação,50 - 100 ha,Araguaina,1
"Aceiros, Adubação",5 - 10 ha,Araguaina,1
"Aceiros, Plantio direto",100 - 200 ha,Miracema,1
"Calagem, Adubação",20 - 50 ha,Araguaina,1
"Reaproveitamento de residuos, Rotação de Cultura, Adubação",50 - 100 ha,Paraiso,1
"Adubação verde, Rotação de Cultura, Aceiros, Consórcio",10 - 20 ha,Miracema,1
"Adubação verde, Aceiros, Recuperação de pastagens, Adubação",20 - 50 ha,Porto,1
"Calagem, Consórcio, ILP - Integração Lavoura Pecuária, Recuperação de pastagens",200 - 320 ha,Gurupi,1
"Aceiros, Recuperação de pastagens, Plantio direto",20 - 50 ha,Miracema,1
"Calagem, Adubação",20 - 50 ha,Taguatinga,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",5 - 10 ha,Araguatins,1
"Reaproveitamento de residuos, Calagem, Descarte correto de embalagens, Adubação",20 - 50 ha,Miracema,1
"Adubação verde, Rotação de Cultura, Aceiros, Recuperação de pastagens",1 - 5 ha,Taguatinga,1
"Aceiros, Recuperação de pastagens",10 - 20 ha,Araguaina,1
"Aceiros, Calagem, Plantio direto",50 - 100 ha,Porto,1
"Rotação de Cultura, Calagem, ILPF - Integração Lavoura Pecuária e Floresta",50 - 100 ha,Taguatinga,1
Consórcio,10 - 20 ha,Araguaina,1
"Adubação verde, Plantio direto",1 - 5 ha,Paraiso,1
"Adubação verde, Plantio direto, Adubação",1 - 5 ha,Paraiso,1
"Aceiros, Recuperação de pastagens, Adubação",10 - 20 ha,Paraiso,1
"Consórcio, Adubação",10 - 20 ha,Miracema,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Adubação",20 - 50 ha,Araguatins,1
"Aceiros, Calagem",1 - 5 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Adubação",Até 1 ha,Araguatins,1
"Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Gurupi,1
"Adubação verde, Aceiros",10 - 20 ha,Miracema,1
"Rotação de Cultura, Aceiros, Calagem, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguatins,1
"Rotação de Cultura, Consórcio, Adubação",Até 1 ha,Araguatins,1
Adubação,50 - 100 ha,Miracema,1
"Aceiros, Calagem, Adubação",50 - 100 ha,Araguatins,1
"Rotação de Cultura, Aceiros",10 - 20 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Adubação",1 - 5 ha,Taguatinga,1
"Aceiros, Adubação",1 - 5 ha,Taguatinga,1
"Curva de nível, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",50 - 100 ha,Porto,1
"Rotação de Cultura, Consórcio, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguatins,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Plantio direto, Adubação",50 - 100 ha,Paraiso,1
"Adubação verde, Plantio direto, Adubação",10 - 20 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",1 - 5 ha,Araguatins,1
"Adubação verde, Adubação",1 - 5 ha,Porto,1
"Adubação verde, Calagem, Plantio direto, Adubação",10 - 20 ha,Taguatinga,1
"Aceiros, Consórcio, Adubação",5 - 10 ha,Araguaina,1
"Rotação de Cultura, ILPF - Integração Lavoura Pecuária e Floresta, Descarte correto de embalagens",1 - 5 ha,Araguatins,1
Reaproveitamento de residuos,20 - 50 ha,Araguatins,1
"Aceiros, Não Usa",1 - 5 ha,Araguaina,1
"Aceiros, Descarte correto de embalagens, Adubação",50 - 100 ha,Araguatins,1
"Aceiros, Calagem",10 - 20 ha,Miracema,1
"Recuperação de pastagens, Adubação",20 - 50 ha,Araguatins,1
"Reaproveitamento de residuos, Aceiros, Adubação",20 - 50 ha,Taguatinga,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",10 - 20 ha,Paraiso,1
"Aceiros, Calagem, Adubação",5 - 10 ha,Colinas,1
"Aceiros, Descarte correto de embalagens",1 - 5 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Calagem",20 - 50 ha,Gurupi,1
"Aceiros, Adubação",100 - 200 ha,Miracema,1
"Rotação de Cultura, Plantio direto, Adubação",1 - 5 ha,Taguatinga,1
"Adubação verde, Reaproveitamento de residuos, Calagem, Adubação",5 - 10 ha,Porto,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura",10 - 20 ha,Paraiso,1
"Adubação verde, Rotação de Cultura, Adubação",Até 1 ha,Araguatins,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",20 - 50 ha,Miracema,1
"Curva de nível, Adubação verde, Aceiros, Calagem",5 - 10 ha,Taguatinga,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Descarte correto de embalagens, Plantio direto, Adubação",1 - 5 ha,Araguatins,1
"Reaproveitamento de residuos, Aceiros, Adubação",10 - 20 ha,Araguaina,1
"Rotação de Cultura, Adubação",10 - 20 ha,Araguaina,1
"Aceiros, Adubação",1 - 5 ha,Porto,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens, Recuperação de pastagens",20 - 50 ha,Araguatins,1
"Adubação verde, Calagem, Adubação",20 - 50 ha,Araguatins,1
Recuperação de pastagens,1 - 5 ha,Araguatins,1
"Calagem, Adubação",Até 1 ha,Araguatins,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",20 - 50 ha,Paraiso,1
Plantio direto,20 - 50 ha,Araguatins,1
"Adubação verde, Plantio direto",20 - 50 ha,Porto,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens",1 - 5 ha,Araguaina,1
"Adubação verde, Rotação de Cultura, Calagem, Plantio direto, Adubação",1 - 5 ha,Taguatinga,1
"Aceiros, Calagem, Adubação",10 - 20 ha,Taguatinga,1
Plantio direto,200 - 320 ha,Paraiso,1
"Adubação verde, Calagem, Plantio direto, Adubação",20 - 50 ha,Paraiso,1
"Rotação de Cultura, Calagem, Plantio direto, Adubação",1 - 5 ha,Taguatinga,1
"Adubação verde, Não Usa",Até 1 ha,Paraiso,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio",20 - 50 ha,Araguatins,1
"Adubação verde, Aceiros, Plantio direto, Adubação",1 - 5 ha,Miracema,1
"Calagem, Adubação",50 - 100 ha,Miracema,1
"Adubação verde, Calagem, Plantio direto, Adubação",10 - 20 ha,Paraiso,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",1 - 5 ha,Araguatins,1
"Curva de nível, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",20 - 50 ha,Paraiso,1
"Aceiros, Calagem, Adubação",1 - 5 ha,Taguatinga,1
"Adubação verde, Reaproveitamento de residuos, Calagem, Adubação",20 - 50 ha,Paraiso,1
"Descarte correto de embalagens, Plantio direto",1 - 5 ha,Colinas,1
"Adubação verde, Aceiros, Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Gurupi,1
"Aceiros, Calagem, Descarte correto de embalagens",20 - 50 ha,Araguaina,1
"Plantio direto, Adubação",1 - 5 ha,Paraiso,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",20 - 50 ha,Araguatins,1
Calagem,1 - 5 ha,Miracema,1
"Aceiros, Não Usa",100 - 200 ha,Gurupi,1
Rotação de Cultura,5 - 10 ha,Taguatinga,1
"Consórcio, Adubação",5 - 10 ha,Paraiso,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",10 - 20 ha,Araguatins,1
"Curva de nível, Reaproveitamento de residuos, Calagem, Consórcio, Adubação",5 - 10 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Calagem, Descarte correto de embalagens",20 - 50 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",5 - 10 ha,Taguatinga,1
"Rotação de Cultura, Adubação",1 - 5 ha,Paraiso,1
Plantio direto,5 - 10 ha,Miracema,1
"Reaproveitamento de residuos, Aceiros, Calagem, Recuperação de pastagens",20 - 50 ha,Miracema,1
"Rotação de Cultura, Calagem, Adubação",10 - 20 ha,Gurupi,1
Consórcio,5 - 10 ha,Miracema,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Consórcio",20 - 50 ha,Paraiso,1
Descarte correto de embalagens,20 - 50 ha,Colinas,1
"Adubação verde, Aceiros, Plantio direto",20 - 50 ha,Porto,1
"Calagem, Adubação",5 - 10 ha,Miracema,1
"Aceiros, Calagem, Adubação",1 - 5 ha,Araguaina,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",10 - 20 ha,Miracema,1
"Calagem, Adubação",20 - 50 ha,Araguatins,1
"Adubação verde, Aceiros, Calagem, Adubação",5 - 10 ha,Porto,1
"Curva de nível, Aceiros, Calagem, Adubação",20 - 50 ha,Gurupi,1
"Adubação verde, Adubação",5 - 10 ha,Araguaina,1
"Curva de nível, Reaproveitamento de residuos",1 - 5 ha,Colinas,1
"Reaproveitamento de residuos, Calagem, Plantio direto, Adubação",10 - 20 ha,Paraiso,1
Consórcio,1 - 5 ha,Porto,1
"Rotação de Cultura, Aceiros, Plantio direto, Adubação",20 - 50 ha,Araguatins,1
"Rotação de Cultura, Plantio direto, Adubação",10 - 20 ha,Miracema,1
"Rotação de Cultura, Calagem, Recuperação de pastagens, Não Usa",5 - 10 ha,Araguatins,1
"Reaproveitamento de residuos, Calagem, Plantio direto, Adubação",1 - 5 ha,Paraiso,1
"Rotação de Cultura, Consórcio",100 - 200 ha,Taguatinga,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",10 - 20 ha,Paraiso,1
"Rotação de Cultura, Aceiros",20 - 50 ha,Taguatinga,1
"Rotação de Cultura, Calagem, Adubação",1 - 5 ha,Araguatins,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",50 - 100 ha,Araguaina,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",5 - 10 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Adubação",10 - 20 ha,Miracema,1
Rotação de Cultura,20 - 50 ha,Porto,1
"Aceiros, Recuperação de pastagens",20 - 50 ha,Gurupi,1
"Rotação de Cultura, Consórcio, Adubação",20 - 50 ha,Miracema,1
"Rotação de Cultura, Aceiros, Calagem, Plantio direto, Adubação",10 - 20 ha,Paraiso,1
"Rotação de Cultura, Descarte correto de embalagens, Recuperação de pastagens, Adubação",20 - 50 ha,Araguatins,1
"Rotação de Cultura, Aceiros, Adubação",20 - 50 ha,Taguatinga,1
"Adubação verde, Plantio direto",1 - 5 ha,Porto,1
"Recuperação de pastagens, Plantio direto",20 - 50 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Adubação",50 - 100 ha,Araguatins,1
"Calagem, Plantio direto",20 - 50 ha,Taguatinga,1
"Reaproveitamento de residuos, Plantio direto, Adubação",1 - 5 ha,Paraiso,1
"Adubação verde, Plantio direto",10 - 20 ha,Paraiso,1
"Adubação verde, Aceiros, Calagem, Adubação",10 - 20 ha,Gurupi,1
"Reaproveitamento de residuos, Aceiros, Consórcio",20 - 50 ha,Araguatins,1
"Aceiros, Consórcio",5 - 10 ha,Miracema,1
"Reaproveitamento de residuos, Calagem, Consórcio, Adubação",1 - 5 ha,Paraiso,1
"Reaproveitamento de residuos, Aceiros, Calagem",20 - 50 ha,Paraiso,1
Rotação de Cultura,10 - 20 ha,Taguatinga,1
Calagem,20 - 50 ha,Porto,1
"Aceiros, Calagem, Consórcio",50 - 100 ha,Gurupi,1
Não Usa,5 - 10 ha,Taguatinga,1
"Aceiros, Descarte correto de embalagens, Plantio direto, Adubação",10 - 20 ha,Araguatins,1
"Rotação de Cultura, Aceiros, Calagem",20 - 50 ha,Araguaina,1
"Reaproveitamento de residuos, Aceiros, Calagem, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguatins,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Gurupi,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Araguatins,1
"Aceiros, Consórcio, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguaina,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Adubação",1 - 5 ha,Araguatins,1
"Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens",20 - 50 ha,Porto,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",20 - 50 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",20 - 50 ha,Araguatins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",1 - 5 ha,Paraiso,1
"Calagem, Adubação",1 - 5 ha,Paraiso,1
"Rotação de Cultura, Calagem, Adubação",1 - 5 ha,Miracema,1
"Rotação de Cultura, Aceiros, Adubação",1 - 5 ha,Paraiso,1
"Rotação de Cultura, Aceiros",10 - 20 ha,Araguatins,1
"Rotação de Cultura, Aceiros, Consórcio",100 - 200 ha,Paraiso,1
"Aceiros, Recuperação de pastagens",10 - 20 ha,Paraiso,1
"Aceiros, Calagem, Adubação",10 - 20 ha,Araguaina,1
"Adubação verde, Reaproveitamento de residuos, Calagem, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",50 - 100 ha,Araguatins,1
Não Usa,10 - 20 ha,Araguatins,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio",20 - 50 ha,Taguatinga,1
"Aceiros, Calagem",50 - 100 ha,Araguaina,1
"Rotação de Cultura, Consórcio",10 - 20 ha,Miracema,1
"Adubação verde, Aceiros, Calagem",20 - 50 ha,Porto,1
"Adubação verde, Adubação",20 - 50 ha,Porto,1
Plantio direto,5 - 10 ha,Paraiso,1
"Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens",20 - 50 ha,Araguaina,1
"Não Usa,",20 - 50 ha,Paraiso,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",5 - 10 ha,Miracema,1
"Reaproveitamento de residuos, Aceiros, Adubação",1 - 5 ha,Taguatinga,1
"Rotação de Cultura, Calagem",100 - 200 ha,Paraiso,1
Calagem,Até 1 ha,Araguatins,1
"Aceiros, Consórcio, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguatins,1
"Aceiros, Calagem",10 - 20 ha,Taguatinga,1
"Rotação de Cultura, Adubação",50 - 100 ha,Araguaina,1
"Aceiros, Calagem, Descarte correto de embalagens",100 - 200 ha,Araguaina,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio",1 - 5 ha,Taguatinga,1
"Adubação verde, Rotação de Cultura, Recuperação de pastagens",10 - 20 ha,Porto,1
"Aceiros, Adubação",Até 1 ha,Araguatins,1
"Aceiros, Adubação",20 - 50 ha,Taguatinga,1
"Rotação de Cultura, Calagem, Consórcio, Plantio direto, Adubação",1 - 5 ha,Paraiso,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Adubação",10 - 20 ha,Gurupi,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Adubação",20 - 50 ha,Miracema,1
"Adubação verde, Aceiros, Calagem, Recuperação de pastagens, Adubação",50 - 100 ha,Paraiso,1
"Rotação de Cultura, Aceiros",1 - 5 ha,Araguatins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Adubação",20 - 50 ha,Taguatinga,1
"Aceiros, Calagem, Consórcio, Recuperação de pastagens, Plantio direto, Adubação",20 - 50 ha,Paraiso,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, ILPF - Integração Lavoura Pecuária e Floresta, ILP - Integração Lavoura Pecuária, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",5 - 10 ha,Araguatins,1
"Adubação verde, Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",20 - 50 ha,Porto,1
