municipio_ibge,uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional
Ipueiras,Gradagem,Degradação Média,1,Porto Nacional
Ipueiras,Gradagem,Não possui degradação,1,Porto Nacional
Ipueiras,Gradagem,Pouco degradado,2,Porto Nacional
Ipueiras,Monocultura,Degradação Média,1,Porto Nacional
Ipueiras,Pastagem nativa,Não possui degradação,1,Porto Nacional
Ipueiras,Pastagem nativa,Pouco degradado,2,Porto Nacional
Ipueiras,Plantio convencional,Degradação Média,1,Porto Nacional
Ipueiras,Plantio convencional,Pouco degradado,3,Porto Nacional
Ipueiras,Roça de toco,Pouco degradado,1,Porto Nacional
Ipueiras,Uso de agrotóxicos,Degradação Média,1,Porto Nacional
Ipueiras,Uso de agrotóxicos,Pouco degradado,3,Porto Nacional
Itaguatins,Aração,Não possui degradação,2,Araguatins
Itaguatins,Aração,Pouco degradado,2,Araguatins
Itaguatins,Gradagem,Não possui degradação,2,Araguatins
Itaguatins,Gradagem,Pouco degradado,2,Araguatins
Itaguatins,Pastagem nativa,Não possui degradação,1,Araguatins
Itaguatins,Plantio convencional,Não possui degradação,1,Araguatins
Itaguatins,Plantio convencional,Pouco degradado,2,Araguatins
Itaguatins,Uso de agrotóxicos,Pouco degradado,2,Araguatins
Itaporã do Tocantins,Plantio convencional,Não possui degradação,2,Colinas
Itaporã do Tocantins,Uso de agrotóxicos,Não possui degradação,2,Colinas
Jaú do Tocantins,Aração,Degradação Média,2,Gurupi
Jaú do Tocantins,Aração,Pouco degradado,1,Gurupi
Jaú do Tocantins,Gradagem,Degradação Média,2,Gurupi
Jaú do Tocantins,Gradagem,Pouco degradado,1,Gurupi
Jaú do Tocantins,Monocultura,Pouco degradado,1,Gurupi
Jaú do Tocantins,Pastagem nativa,Degradação Média,2,Gurupi
Jaú do Tocantins,Pastagem nativa,Pouco degradado,1,Gurupi
Jaú do Tocantins,Plantio convencional,Degradação Média,3,Gurupi
Jaú do Tocantins,Plantio convencional,Pouco degradado,3,Gurupi
Jaú do Tocantins,Queimadas,Degradação Média,1,Gurupi
Jaú do Tocantins,Queimadas,Pouco degradado,2,Gurupi
Jaú do Tocantins,Uso de agrotóxicos,Degradação Média,3,Gurupi
Jaú do Tocantins,Uso de agrotóxicos,Pouco degradado,2,Gurupi
Lagoa da Confusão,Aração,Degradação Média,1,Paraiso
Lagoa da Confusão,Aração,Não possui degradação,4,Paraiso
Lagoa da Confusão,Aração,Pouco degradado,1,Paraiso
Lagoa da Confusão,Gradagem,Degradação Média,1,Paraiso
Lagoa da Confusão,Gradagem,Não possui degradação,4,Paraiso
Lagoa da Confusão,Gradagem,Pouco degradado,1,Paraiso
Lagoa da Confusão,Pastagem nativa,Degradação Média,1,Paraiso
Lagoa da Confusão,Pastagem nativa,Não possui degradação,2,Paraiso
Lagoa da Confusão,Plantio convencional,Não possui degradação,3,Paraiso
Lagoa da Confusão,Roça de toco,Degradação Média,1,Paraiso
Lagoa da Confusão,Roça de toco,Pouco degradado,1,Paraiso
Lagoa da Confusão,Uso de agrotóxicos,Degradação Média,1,Paraiso
Lagoa da Confusão,Uso de agrotóxicos,Não possui degradação,3,Paraiso
Lajeado,Aração,Não possui degradação,1,Porto Nacional
Lajeado,Gradagem,Não possui degradação,1,Porto Nacional
Luzinópolis,Aração,Degradação Média,2,Araguatins
Luzinópolis,Aração,Não possui degradação,2,Araguatins
Luzinópolis,Gradagem,Degradação Média,2,Araguatins
Luzinópolis,Gradagem,Não possui degradação,2,Araguatins
Luzinópolis,Monocultura,Degradação Média,1,Araguatins
Luzinópolis,Monocultura,Não possui degradação,1,Araguatins
Luzinópolis,Pastagem nativa,Não possui degradação,2,Araguatins
Luzinópolis,Plantio convencional,Não possui degradação,2,Araguatins
Luzinópolis,Queimadas,Degradação Média,1,Araguatins
Luzinópolis,Queimadas,Não possui degradação,1,Araguatins
Luzinópolis,Roça de toco,Degradação Média,1,Araguatins
Luzinópolis,Uso de agrotóxicos,Degradação Média,3,Araguatins
Luzinópolis,Uso de agrotóxicos,Não possui degradação,2,Araguatins
Marianópolis do Tocantins,Aração,Degradação Média,2,Paraiso
Marianópolis do Tocantins,Aração,Não possui degradação,7,Paraiso
Marianópolis do Tocantins,Aração,Pouco degradado,1,Paraiso
Marianópolis do Tocantins,Gradagem,Degradação Média,2,Paraiso
Marianópolis do Tocantins,Gradagem,Não possui degradação,7,Paraiso
Marianópolis do Tocantins,Gradagem,Pouco degradado,1,Paraiso
Marianópolis do Tocantins,Monocultura,Degradação Média,2,Paraiso
Marianópolis do Tocantins,Monocultura,Muito degradado,1,Paraiso
Marianópolis do Tocantins,Não usa,Degradação Média,3,Paraiso
Marianópolis do Tocantins,Pastagem nativa,Degradação Média,5,Paraiso
Marianópolis do Tocantins,Pastagem nativa,Muito degradado,2,Paraiso
Marianópolis do Tocantins,Plantio convencional,Degradação Média,11,Paraiso
Marianópolis do Tocantins,Plantio convencional,Muito degradado,1,Paraiso
Marianópolis do Tocantins,Plantio convencional,Não possui degradação,3,Paraiso
Marianópolis do Tocantins,Uso de agrotóxicos,Degradação Média,9,Paraiso
Marianópolis do Tocantins,Uso de agrotóxicos,Não possui degradação,3,Paraiso
Marianópolis do Tocantins,Uso de agrotóxicos,Pouco degradado,1,Paraiso
Miracema do Tocantins,Aração,Degradação Média,1,Miracema
Miracema do Tocantins,Aração,Não possui degradação,4,Miracema
Miracema do Tocantins,Aração,Pouco degradado,8,Miracema
Miracema do Tocantins,Gradagem,Degradação Média,1,Miracema
Miracema do Tocantins,Gradagem,Não possui degradação,4,Miracema
Miracema do Tocantins,Gradagem,Pouco degradado,8,Miracema
Miracema do Tocantins,Pastagem nativa,Não possui degradação,1,Miracema
Miracema do Tocantins,Pastagem nativa,Pouco degradado,3,Miracema
Miracema do Tocantins,Plantio convencional,Degradação Média,2,Miracema
Miracema do Tocantins,Plantio convencional,Não possui degradação,2,Miracema
Miracema do Tocantins,Plantio convencional,Pouco degradado,8,Miracema
Miracema do Tocantins,Roça de toco,Pouco degradado,1,Miracema
Miracema do Tocantins,Uso de agrotóxicos,Degradação Média,1,Miracema
Miracema do Tocantins,Uso de agrotóxicos,Não possui degradação,1,Miracema
Miracema do Tocantins,Uso de agrotóxicos,Pouco degradado,6,Miracema
Miranorte,Aração,Não possui degradação,27,Miracema
Miranorte,Aração,Pouco degradado,7,Miracema
Miranorte,Gradagem,Não possui degradação,27,Miracema
Miranorte,Gradagem,Pouco degradado,7,Miracema
Miranorte,Monocultura,Não possui degradação,1,Miracema
Miranorte,Monocultura,Pouco degradado,1,Miracema
Miranorte,Não usa,Não possui degradação,1,Miracema
Miranorte,Não usa,Pouco degradado,3,Miracema
Miranorte,Pastagem nativa,Pouco degradado,1,Miracema
Miranorte,Plantio convencional,Não possui degradação,14,Miracema
Miranorte,Plantio convencional,Pouco degradado,1,Miracema
Miranorte,Roça de toco,Não possui degradação,1,Miracema
Miranorte,Uso de agrotóxicos,Não possui degradação,30,Miracema
Miranorte,Uso de agrotóxicos,Pouco degradado,3,Miracema
Monte Santo do Tocantins,Aração,Degradação Média,1,Paraiso
Monte Santo do Tocantins,Aração,Não possui degradação,4,Paraiso
Monte Santo do Tocantins,Aração,Pouco degradado,2,Paraiso
Monte Santo do Tocantins,Gradagem,Degradação Média,1,Paraiso
Monte Santo do Tocantins,Gradagem,Não possui degradação,4,Paraiso
Monte Santo do Tocantins,Gradagem,Pouco degradado,2,Paraiso
Monte Santo do Tocantins,Monocultura,Pouco degradado,1,Paraiso
Monte Santo do Tocantins,Pastagem nativa,Pouco degradado,3,Paraiso
Monte Santo do Tocantins,Plantio convencional,Degradação Média,2,Paraiso
Monte Santo do Tocantins,Plantio convencional,Não possui degradação,4,Paraiso
Monte Santo do Tocantins,Plantio convencional,Pouco degradado,2,Paraiso
Monte Santo do Tocantins,Roça de toco,Pouco degradado,2,Paraiso
Monte Santo do Tocantins,Uso de agrotóxicos,Não possui degradação,2,Paraiso
Monte Santo do Tocantins,Uso de agrotóxicos,Pouco degradado,2,Paraiso
Monte do Carmo,Aração,Degradação Média,1,Porto Nacional
Monte do Carmo,Aração,Pouco degradado,1,Porto Nacional
Monte do Carmo,Gradagem,Degradação Média,1,Porto Nacional
Monte do Carmo,Gradagem,Pouco degradado,1,Porto Nacional
Monte do Carmo,Monocultura,Degradação Média,1,Porto Nacional
Monte do Carmo,Monocultura,Pouco degradado,5,Porto Nacional
Monte do Carmo,Pastagem nativa,Degradação Média,1,Porto Nacional
Monte do Carmo,Plantio convencional,Degradação Média,2,Porto Nacional
Monte do Carmo,Plantio convencional,Pouco degradado,5,Porto Nacional
Monte do Carmo,Roça de toco,Degradação Média,1,Porto Nacional
Monte do Carmo,Roça de toco,Pouco degradado,5,Porto Nacional
Monte do Carmo,Uso de agrotóxicos,Degradação Média,1,Porto Nacional
Muricilândia,Aração,Degradação Média,2,Araguína
Muricilândia,Aração,Pouco degradado,1,Araguína
Muricilândia,Gradagem,Degradação Média,2,Araguína
Muricilândia,Gradagem,Pouco degradado,1,Araguína
Muricilândia,Queimadas,Degradação Média,2,Araguína
Muricilândia,Queimadas,Pouco degradado,4,Araguína
Muricilândia,Roça de toco,Degradação Média,1,Araguína
Muricilândia,Roça de toco,Pouco degradado,2,Araguína
Muricilândia,Uso de agrotóxicos,Degradação Média,1,Araguína
Muricilândia,Uso de agrotóxicos,Pouco degradado,4,Araguína
Nova Olinda,Aração,Degradação Média,5,Araguína
Nova Olinda,Aração,Não possui degradação,6,Araguína
Nova Olinda,Aração,Pouco degradado,4,Araguína
Nova Olinda,Gradagem,Degradação Média,5,Araguína
Nova Olinda,Gradagem,Não possui degradação,6,Araguína
Nova Olinda,Gradagem,Pouco degradado,4,Araguína
Nova Olinda,Monocultura,Degradação Média,5,Araguína
Nova Olinda,Monocultura,Não possui degradação,1,Araguína
Nova Olinda,Monocultura,Pouco degradado,2,Araguína
Nova Olinda,Pastagem nativa,Degradação Média,4,Araguína
Nova Olinda,Pastagem nativa,Não possui degradação,5,Araguína
Nova Olinda,Pastagem nativa,Pouco degradado,4,Araguína
Nova Olinda,Plantio convencional,Degradação Média,5,Araguína
Nova Olinda,Plantio convencional,Não possui degradação,3,Araguína
Nova Olinda,Plantio convencional,Pouco degradado,3,Araguína
Nova Olinda,Queimadas,Degradação Média,1,Araguína
Nova Olinda,Roça de toco,Não possui degradação,4,Araguína
Nova Olinda,Roça de toco,Pouco degradado,3,Araguína
Nova Olinda,Uso de agrotóxicos,Degradação Média,4,Araguína
Nova Olinda,Uso de agrotóxicos,Não possui degradação,4,Araguína
Nova Olinda,Uso de agrotóxicos,Pouco degradado,2,Araguína
Nova Rosalândia,Aração,Degradação Média,7,Paraiso
Nova Rosalândia,Gradagem,Degradação Média,7,Paraiso
Nova Rosalândia,Monocultura,Degradação Média,2,Paraiso
Nova Rosalândia,Não usa,Degradação Média,1,Paraiso
Nova Rosalândia,Pastagem nativa,Degradação Média,1,Paraiso
Nova Rosalândia,Plantio convencional,Degradação Média,12,Paraiso
Nova Rosalândia,Queimadas,Degradação Média,3,Paraiso
Nova Rosalândia,Roça de toco,Degradação Média,1,Paraiso
Novo Acordo,Aração,Pouco degradado,3,Porto Nacional
Novo Acordo,Gradagem,Pouco degradado,3,Porto Nacional
Novo Acordo,Não usa,Pouco degradado,1,Porto Nacional
Novo Acordo,Pastagem nativa,Pouco degradado,3,Porto Nacional
Novo Acordo,Plantio convencional,Pouco degradado,3,Porto Nacional
Novo Acordo,Roça de toco,Muito degradado,1,Porto Nacional
Novo Acordo,Roça de toco,Pouco degradado,2,Porto Nacional
Novo Acordo,Uso de agrotóxicos,Pouco degradado,1,Porto Nacional
Novo Jardim,Aração,Não possui degradação,6,Taguatinga do Tocantins
Novo Jardim,Aração,Pouco degradado,1,Taguatinga do Tocantins
Novo Jardim,Gradagem,Não possui degradação,6,Taguatinga do Tocantins
Novo Jardim,Gradagem,Pouco degradado,1,Taguatinga do Tocantins
Novo Jardim,Monocultura,Não possui degradação,1,Taguatinga do Tocantins
Novo Jardim,Plantio convencional,Não possui degradação,4,Taguatinga do Tocantins
Novo Jardim,Plantio convencional,Pouco degradado,1,Taguatinga do Tocantins
Novo Jardim,Queimadas,Não possui degradação,1,Taguatinga do Tocantins
Novo Jardim,Roça de toco,Não possui degradação,3,Taguatinga do Tocantins
Novo Jardim,Uso de agrotóxicos,Não possui degradação,1,Taguatinga do Tocantins
Palmas,Aração,Não possui degradação,2,Porto Nacional
Palmas,Gradagem,Não possui degradação,2,Porto Nacional
Palmas,Pastagem nativa,Não possui degradação,2,Porto Nacional
Palmas,Plantio convencional,Não possui degradação,1,Porto Nacional
Palmas,Plantio convencional,Pouco degradado,1,Porto Nacional
Palmas,Roça de toco,Não possui degradação,1,Porto Nacional
Palmas,Uso de agrotóxicos,Não possui degradação,1,Porto Nacional
Palmeiras do Tocantins,Aração,Não possui degradação,5,Araguatins
Palmeiras do Tocantins,Aração,Pouco degradado,8,Araguatins
Palmeiras do Tocantins,Gradagem,Não possui degradação,5,Araguatins
Palmeiras do Tocantins,Gradagem,Pouco degradado,8,Araguatins
Palmeiras do Tocantins,Plantio convencional,Degradação Média,1,Araguatins
Palmeiras do Tocantins,Plantio convencional,Não possui degradação,4,Araguatins
Palmeiras do Tocantins,Plantio convencional,Pouco degradado,8,Araguatins
Palmeiras do Tocantins,Uso de agrotóxicos,Degradação Média,1,Araguatins
Palmeiras do Tocantins,Uso de agrotóxicos,Não possui degradação,4,Araguatins
Palmeiras do Tocantins,Uso de agrotóxicos,Pouco degradado,7,Araguatins
Palmeirópolis,Aração,Pouco degradado,2,Gurupi
Palmeirópolis,Gradagem,Pouco degradado,2,Gurupi
Palmeirópolis,Plantio convencional,Pouco degradado,1,Gurupi
Palmeirópolis,Uso de agrotóxicos,Pouco degradado,1,Gurupi
Paranã,Aração,Degradação Média,2,Taguatinga do Tocantins
Paranã,Aração,Não possui degradação,7,Taguatinga do Tocantins
Paranã,Aração,Pouco degradado,13,Taguatinga do Tocantins
Paranã,Gradagem,Degradação Média,2,Taguatinga do Tocantins
Paranã,Gradagem,Não possui degradação,7,Taguatinga do Tocantins
Paranã,Gradagem,Pouco degradado,13,Taguatinga do Tocantins
Paranã,Monocultura,Não possui degradação,1,Taguatinga do Tocantins
Paranã,Pastagem nativa,Degradação Média,3,Taguatinga do Tocantins
Paranã,Pastagem nativa,Não possui degradação,12,Taguatinga do Tocantins
Paranã,Pastagem nativa,Pouco degradado,12,Taguatinga do Tocantins
Paranã,Plantio convencional,Degradação Média,2,Taguatinga do Tocantins
Paranã,Plantio convencional,Não possui degradação,4,Taguatinga do Tocantins
Paranã,Plantio convencional,Pouco degradado,12,Taguatinga do Tocantins
Paranã,Queimadas,Degradação Média,3,Taguatinga do Tocantins
Paranã,Queimadas,Pouco degradado,12,Taguatinga do Tocantins
Paranã,Roça de toco,Degradação Média,1,Taguatinga do Tocantins
Paranã,Roça de toco,Não possui degradação,14,Taguatinga do Tocantins
Paranã,Roça de toco,Pouco degradado,1,Taguatinga do Tocantins
Paranã,Uso de agrotóxicos,Não possui degradação,1,Taguatinga do Tocantins
Paranã,Uso de agrotóxicos,Pouco degradado,3,Taguatinga do Tocantins
Paraíso do Tocantins,Aração,Não possui degradação,1,Paraiso
Paraíso do Tocantins,Aração,Pouco degradado,4,Paraiso
Paraíso do Tocantins,Gradagem,Não possui degradação,1,Paraiso
Paraíso do Tocantins,Gradagem,Pouco degradado,4,Paraiso
Paraíso do Tocantins,Monocultura,Pouco degradado,4,Paraiso
Paraíso do Tocantins,Plantio convencional,Degradação Média,1,Paraiso
Paraíso do Tocantins,Plantio convencional,Pouco degradado,10,Paraiso
Paraíso do Tocantins,Queimadas,Pouco degradado,1,Paraiso
Paraíso do Tocantins,Roça de toco,Pouco degradado,2,Paraiso
Paraíso do Tocantins,Uso de agrotóxicos,Não possui degradação,1,Paraiso
Paraíso do Tocantins,Uso de agrotóxicos,Pouco degradado,4,Paraiso
Pedro Afonso,Aração,Degradação Média,2,Miracema
Pedro Afonso,Aração,Não possui degradação,5,Miracema
Pedro Afonso,Aração,Pouco degradado,3,Miracema
Pedro Afonso,Gradagem,Degradação Média,2,Miracema
Pedro Afonso,Gradagem,Não possui degradação,5,Miracema
Pedro Afonso,Gradagem,Pouco degradado,3,Miracema
Pedro Afonso,Pastagem nativa,Não possui degradação,2,Miracema
Pedro Afonso,Roça de toco,Não possui degradação,2,Miracema
Peixe,Aração,Degradação Média,3,Gurupi
Peixe,Aração,Pouco degradado,9,Gurupi
Peixe,Gradagem,Degradação Média,3,Gurupi
Peixe,Gradagem,Pouco degradado,9,Gurupi
Peixe,Plantio convencional,Degradação Média,1,Gurupi
Peixe,Plantio convencional,Pouco degradado,8,Gurupi
Peixe,Roça de toco,Pouco degradado,1,Gurupi
Peixe,Uso de agrotóxicos,Degradação Média,1,Gurupi
Peixe,Uso de agrotóxicos,Pouco degradado,4,Gurupi
Piraquê,Aração,Degradação Média,2,Araguína
Piraquê,Aração,Não possui degradação,4,Araguína
Piraquê,Aração,Pouco degradado,11,Araguína
Piraquê,Gradagem,Degradação Média,2,Araguína
Piraquê,Gradagem,Não possui degradação,4,Araguína
Piraquê,Gradagem,Pouco degradado,11,Araguína
Piraquê,Pastagem nativa,Pouco degradado,2,Araguína
Piraquê,Plantio convencional,Não possui degradação,1,Araguína
Piraquê,Plantio convencional,Pouco degradado,2,Araguína
Piraquê,Queimadas,Não possui degradação,1,Araguína
Piraquê,Queimadas,Pouco degradado,4,Araguína
Piraquê,Roça de toco,Degradação Média,1,Araguína
Piraquê,Roça de toco,Não possui degradação,2,Araguína
Piraquê,Roça de toco,Pouco degradado,3,Araguína
Piraquê,Uso de agrotóxicos,Degradação Média,2,Araguína
Piraquê,Uso de agrotóxicos,Não possui degradação,5,Araguína
Piraquê,Uso de agrotóxicos,Pouco degradado,10,Araguína
Pium,Aração,Degradação Média,3,Paraiso
Pium,Aração,Não possui degradação,8,Paraiso
Pium,Aração,Pouco degradado,10,Paraiso
Pium,Gradagem,Degradação Média,3,Paraiso
Pium,Gradagem,Não possui degradação,8,Paraiso
Pium,Gradagem,Pouco degradado,10,Paraiso
Pium,Não usa,Não possui degradação,2,Paraiso
Pium,Não usa,Pouco degradado,1,Paraiso
Pium,Pastagem nativa,Degradação Média,2,Paraiso
Pium,Pastagem nativa,Não possui degradação,3,Paraiso
Pium,Pastagem nativa,Pouco degradado,5,Paraiso
Pium,Plantio convencional,Degradação Média,1,Paraiso
Pium,Queimadas,Pouco degradado,1,Paraiso
Pium,Roça de toco,Degradação Média,1,Paraiso
Pium,Roça de toco,Pouco degradado,2,Paraiso
Pium,Uso de agrotóxicos,Degradação Média,1,Paraiso
Pium,Uso de agrotóxicos,Não possui degradação,4,Paraiso
Pium,Uso de agrotóxicos,Pouco degradado,5,Paraiso
Ponte Alta do Bom Jesus,Aração,Degradação Média,1,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Aração,Não possui degradação,2,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Aração,Pouco degradado,5,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Gradagem,Degradação Média,1,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Gradagem,Não possui degradação,2,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Gradagem,Pouco degradado,5,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Não usa,Pouco degradado,2,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Pastagem nativa,Degradação Média,1,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Pastagem nativa,Pouco degradado,1,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Plantio convencional,Degradação Média,2,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Plantio convencional,Não possui degradação,1,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Plantio convencional,Pouco degradado,2,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Roça de toco,Degradação Média,1,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Roça de toco,Pouco degradado,1,Taguatinga do Tocantins
Porto Alegre do Tocantins,Aração,Degradação Média,4,Taguatinga do Tocantins
Porto Alegre do Tocantins,Gradagem,Degradação Média,4,Taguatinga do Tocantins
Porto Alegre do Tocantins,Roça de toco,Degradação Média,2,Taguatinga do Tocantins
Porto Alegre do Tocantins,Uso de agrotóxicos,Degradação Média,1,Taguatinga do Tocantins
Praia Norte,Uso de agrotóxicos,Degradação Média,1,Araguatins
Pugmil,Aração,Não possui degradação,1,Paraiso
Pugmil,Aração,Pouco degradado,2,Paraiso
Pugmil,Gradagem,Não possui degradação,1,Paraiso
Pugmil,Gradagem,Pouco degradado,2,Paraiso
Pugmil,Plantio convencional,Não possui degradação,1,Paraiso
Pugmil,Plantio convencional,Pouco degradado,2,Paraiso
Pugmil,Uso de agrotóxicos,Não possui degradação,1,Paraiso
Pugmil,Uso de agrotóxicos,Pouco degradado,2,Paraiso
Riachinho,Aração,Não possui degradação,5,Araguatins
Riachinho,Aração,Pouco degradado,2,Araguatins
Riachinho,Gradagem,Não possui degradação,5,Araguatins
Riachinho,Gradagem,Pouco degradado,2,Araguatins
Riachinho,Plantio convencional,Não possui degradação,4,Araguatins
Riachinho,Plantio convencional,Pouco degradado,1,Araguatins
Riachinho,Roça de toco,Não possui degradação,2,Araguatins
Riachinho,Roça de toco,Pouco degradado,1,Araguatins
Riachinho,Uso de agrotóxicos,Não possui degradação,2,Araguatins
Rio Sono,Aração,Não possui degradação,4,Miracema
Rio Sono,Aração,Pouco degradado,4,Miracema
Rio Sono,Gradagem,Não possui degradação,4,Miracema
Rio Sono,Gradagem,Pouco degradado,4,Miracema
Rio Sono,Não usa,Não possui degradação,2,Miracema
Rio Sono,Pastagem nativa,Não possui degradação,4,Miracema
Rio Sono,Plantio convencional,Não possui degradação,8,Miracema
Rio Sono,Plantio convencional,Pouco degradado,1,Miracema
Rio Sono,Queimadas,Pouco degradado,1,Miracema
Rio Sono,Roça de toco,Não possui degradação,6,Miracema
Rio Sono,Uso de agrotóxicos,Não possui degradação,1,Miracema
Rio Sono,Uso de agrotóxicos,Pouco degradado,2,Miracema
Rio da Conceição,Aração,Muito degradado,1,Taguatinga do Tocantins
Rio da Conceição,Aração,Não possui degradação,1,Taguatinga do Tocantins
Rio da Conceição,Gradagem,Muito degradado,1,Taguatinga do Tocantins
Rio da Conceição,Gradagem,Não possui degradação,1,Taguatinga do Tocantins
Rio da Conceição,Não usa,Pouco degradado,1,Taguatinga do Tocantins
Rio da Conceição,Pastagem nativa,Não possui degradação,1,Taguatinga do Tocantins
Rio da Conceição,Plantio convencional,Muito degradado,1,Taguatinga do Tocantins
Rio da Conceição,Uso de agrotóxicos,Muito degradado,1,Taguatinga do Tocantins
Rio da Conceição,Uso de agrotóxicos,Não possui degradação,1,Taguatinga do Tocantins
Rio dos Bois,Aração,Não possui degradação,3,Miracema
Rio dos Bois,Aração,Pouco degradado,5,Miracema
Rio dos Bois,Gradagem,Não possui degradação,3,Miracema
Rio dos Bois,Gradagem,Pouco degradado,5,Miracema
Rio dos Bois,Monocultura,Pouco degradado,2,Miracema
Rio dos Bois,Pastagem nativa,Não possui degradação,1,Miracema
Rio dos Bois,Plantio convencional,Não possui degradação,1,Miracema
Rio dos Bois,Uso de agrotóxicos,Não possui degradação,3,Miracema
Rio dos Bois,Uso de agrotóxicos,Pouco degradado,7,Miracema
Santa Fé do Araguaia,Aração,Degradação Média,2,Araguína
Santa Fé do Araguaia,Aração,Muito degradado,1,Araguína
Santa Fé do Araguaia,Aração,Pouco degradado,6,Araguína
Santa Fé do Araguaia,Gradagem,Degradação Média,2,Araguína
Santa Fé do Araguaia,Gradagem,Muito degradado,1,Araguína
Santa Fé do Araguaia,Gradagem,Pouco degradado,6,Araguína
Santa Fé do Araguaia,Plantio convencional,Muito degradado,1,Araguína
Santa Fé do Araguaia,Plantio convencional,Pouco degradado,1,Araguína
Santa Fé do Araguaia,Queimadas,Pouco degradado,3,Araguína
Santa Fé do Araguaia,Roça de toco,Degradação Média,1,Araguína
Santa Fé do Araguaia,Roça de toco,Muito degradado,1,Araguína
Santa Fé do Araguaia,Uso de agrotóxicos,Degradação Média,2,Araguína
Santa Fé do Araguaia,Uso de agrotóxicos,Muito degradado,1,Araguína
Santa Fé do Araguaia,Uso de agrotóxicos,Pouco degradado,6,Araguína
Santa Maria do Tocantins,Aração,Pouco degradado,2,Miracema
Santa Maria do Tocantins,Gradagem,Pouco degradado,2,Miracema
Santa Maria do Tocantins,Pastagem nativa,Pouco degradado,2,Miracema
Santa Maria do Tocantins,Uso de agrotóxicos,Pouco degradado,1,Miracema
Santa Rita do Tocantins,Aração,Degradação Média,1,Gurupi
Santa Rita do Tocantins,Aração,Muito degradado,1,Gurupi
Santa Rita do Tocantins,Aração,Pouco degradado,2,Gurupi
Santa Rita do Tocantins,Gradagem,Degradação Média,1,Gurupi
Santa Rita do Tocantins,Gradagem,Muito degradado,1,Gurupi
Santa Rita do Tocantins,Gradagem,Pouco degradado,2,Gurupi
Santa Rita do Tocantins,Monocultura,Degradação Média,1,Gurupi
Santa Rita do Tocantins,Monocultura,Muito degradado,1,Gurupi
Santa Rita do Tocantins,Monocultura,Pouco degradado,2,Gurupi
Santa Rita do Tocantins,Plantio convencional,Degradação Média,1,Gurupi
Santa Rita do Tocantins,Plantio convencional,Muito degradado,1,Gurupi
Santa Rita do Tocantins,Plantio convencional,Pouco degradado,2,Gurupi
Santa Rita do Tocantins,Uso de agrotóxicos,Degradação Média,1,Gurupi
Santa Rita do Tocantins,Uso de agrotóxicos,Pouco degradado,1,Gurupi
Santa Terezinha do Tocantins,Aração,Degradação Média,1,Araguatins
Santa Terezinha do Tocantins,Aração,Não possui degradação,2,Araguatins
Santa Terezinha do Tocantins,Aração,Pouco degradado,1,Araguatins
Santa Terezinha do Tocantins,Gradagem,Degradação Média,1,Araguatins
Santa Terezinha do Tocantins,Gradagem,Não possui degradação,2,Araguatins
Santa Terezinha do Tocantins,Gradagem,Pouco degradado,1,Araguatins
Santa Terezinha do Tocantins,Pastagem nativa,Não possui degradação,2,Araguatins
Santa Terezinha do Tocantins,Pastagem nativa,Pouco degradado,1,Araguatins
Santa Terezinha do Tocantins,Plantio convencional,Não possui degradação,2,Araguatins
Santa Terezinha do Tocantins,Plantio convencional,Pouco degradado,1,Araguatins
Santa Terezinha do Tocantins,Queimadas,Não possui degradação,2,Araguatins
Santa Terezinha do Tocantins,Roça de toco,Pouco degradado,1,Araguatins
Santa Terezinha do Tocantins,Uso de agrotóxicos,Degradação Média,1,Araguatins
Santa Terezinha do Tocantins,Uso de agrotóxicos,Não possui degradação,2,Araguatins
Santa Terezinha do Tocantins,Uso de agrotóxicos,Pouco degradado,1,Araguatins
Silvanópolis,Aração,Degradação Média,5,Porto Nacional
Silvanópolis,Aração,Pouco degradado,5,Porto Nacional
Silvanópolis,Gradagem,Degradação Média,5,Porto Nacional
Silvanópolis,Gradagem,Pouco degradado,5,Porto Nacional
Silvanópolis,Monocultura,Degradação Média,1,Porto Nacional
Silvanópolis,Monocultura,Muito degradado,1,Porto Nacional
Silvanópolis,Pastagem nativa,Degradação Média,3,Porto Nacional
Silvanópolis,Pastagem nativa,Muito degradado,1,Porto Nacional
Silvanópolis,Pastagem nativa,Pouco degradado,4,Porto Nacional
Silvanópolis,Plantio convencional,Degradação Média,3,Porto Nacional
Silvanópolis,Plantio convencional,Pouco degradado,4,Porto Nacional
Silvanópolis,Queimadas,Muito degradado,1,Porto Nacional
Silvanópolis,Queimadas,Pouco degradado,1,Porto Nacional
Silvanópolis,Roça de toco,Degradação Média,1,Porto Nacional
