municipio_ibge,uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional
Goiatins,Descarte correto de embalagens,Pouco degradado,3,Araguína
Goiatins,Plantio direto,Pouco degradado,1,Araguína
Goiatins,Recuperação de pastagens,Pouco degradado,4,Araguína
Goiatins,Rotação de cultura,Pouco degradado,2,Araguína
Guaraí,Aceiros,Não possui degradação,9,Colinas
Guaraí,Aceiros,Pouco degradado,8,Colinas
Guaraí,Adubação,Não possui degradação,11,Colinas
Guaraí,Adubação,Pouco degradado,8,Colinas
Guaraí,Adubação verde,Não possui degradação,1,Colinas
Guaraí,Adubação verde,Pouco degradado,3,Colinas
Guaraí,Calagem,Não possui degradação,11,Colinas
Guaraí,Calagem,Pouco degradado,8,Colinas
Guaraí,Consórcio,Pouco degradado,2,Colinas
Guaraí,Curva de nível,Não possui degradação,1,Colinas
Guaraí,Curva de nível,Pouco degradado,1,Colinas
Guaraí,Não usa,Não possui degradação,2,Colinas
Guaraí,Recuperação de pastagens,Pouco degradado,1,Colinas
Gurupi,Aceiros,Degradação Média,1,Gurupi
Gurupi,Aceiros,Não possui degradação,4,Gurupi
Gurupi,Aceiros,Pouco degradado,10,Gurupi
Gurupi,Adubação,Não possui degradação,1,Gurupi
Gurupi,Adubação,Pouco degradado,3,Gurupi
Gurupi,Adubação verde,Pouco degradado,1,Gurupi
Gurupi,Calagem,Não possui degradação,2,Gurupi
Gurupi,Calagem,Pouco degradado,8,Gurupi
Gurupi,Não usa,Degradação Média,2,Gurupi
Gurupi,Reaproveitamento de residuos,Pouco degradado,1,Gurupi
Gurupi,Rotação de cultura,Pouco degradado,1,Gurupi
Ipueiras,Aceiros,Degradação Média,1,Porto Nacional
Ipueiras,Aceiros,Não possui degradação,1,Porto Nacional
Ipueiras,Aceiros,Pouco degradado,4,Porto Nacional
Ipueiras,Adubação,Degradação Média,1,Porto Nacional
Ipueiras,Adubação,Não possui degradação,1,Porto Nacional
Ipueiras,Adubação,Pouco degradado,2,Porto Nacional
Ipueiras,Adubação verde,Degradação Média,1,Porto Nacional
Ipueiras,Calagem,Degradação Média,1,Porto Nacional
Ipueiras,Calagem,Não possui degradação,1,Porto Nacional
Ipueiras,Calagem,Pouco degradado,3,Porto Nacional
Ipueiras,Consórcio,Degradação Média,1,Porto Nacional
Ipueiras,Descarte correto de embalagens,Degradação Média,1,Porto Nacional
Ipueiras,Recuperação de pastagens,Pouco degradado,1,Porto Nacional
Ipueiras,Rotação de cultura,Degradação Média,1,Porto Nacional
Itaguatins,Aceiros,Não possui degradação,1,Araguatins
Itaguatins,Aceiros,Pouco degradado,2,Araguatins
Itaguatins,Adubação,Não possui degradação,1,Araguatins
Itaguatins,Adubação,Pouco degradado,1,Araguatins
Itaguatins,Calagem,Pouco degradado,1,Araguatins
Itaguatins,Consórcio,Pouco degradado,1,Araguatins
Itaguatins,Descarte correto de embalagens,Não possui degradação,1,Araguatins
Itaguatins,Recuperação de pastagens,Pouco degradado,1,Araguatins
Itaguatins,Rotação de cultura,Não possui degradação,2,Araguatins
Itaguatins,Rotação de cultura,Pouco degradado,1,Araguatins
Itaporã do Tocantins,Descarte correto de embalagens,Não possui degradação,2,Colinas
Itaporã do Tocantins,Plantio direto,Não possui degradação,1,Colinas
Jaú do Tocantins,Aceiros,Degradação Média,3,Gurupi
Jaú do Tocantins,Aceiros,Pouco degradado,2,Gurupi
Jaú do Tocantins,Adubação,Degradação Média,1,Gurupi
Jaú do Tocantins,Adubação,Pouco degradado,2,Gurupi
Jaú do Tocantins,Calagem,Degradação Média,2,Gurupi
Jaú do Tocantins,Descarte correto de embalagens,Pouco degradado,1,Gurupi
Lagoa da Confusão,Aceiros,Degradação Média,1,Paraiso
Lagoa da Confusão,Aceiros,Não possui degradação,2,Paraiso
Lagoa da Confusão,Aceiros,Pouco degradado,1,Paraiso
Lagoa da Confusão,Adubação,Degradação Média,1,Paraiso
Lagoa da Confusão,Adubação,Não possui degradação,1,Paraiso
Lagoa da Confusão,Adubação verde,Não possui degradação,1,Paraiso
Lagoa da Confusão,Calagem,Não possui degradação,1,Paraiso
Lagoa da Confusão,Consórcio,Degradação Média,1,Paraiso
Lagoa da Confusão,Consórcio,Pouco degradado,1,Paraiso
Lagoa da Confusão,Ilp - integração lavoura pecuária,Não possui degradação,1,Paraiso
Lagoa da Confusão,Plantio direto,Não possui degradação,1,Paraiso
Lagoa da Confusão,Recuperação de pastagens,Degradação Média,1,Paraiso
Lagoa da Confusão,Recuperação de pastagens,Não possui degradação,1,Paraiso
Lagoa da Confusão,Rotação de cultura,Não possui degradação,2,Paraiso
Lagoa da Confusão,Rotação de cultura,Pouco degradado,1,Paraiso
Lajeado,Aceiros,Não possui degradação,1,Porto Nacional
Lajeado,Adubação,Não possui degradação,1,Porto Nacional
Lajeado,Adubação verde,Não possui degradação,1,Porto Nacional
Lajeado,Calagem,Não possui degradação,1,Porto Nacional
Lajeado,Recuperação de pastagens,Não possui degradação,1,Porto Nacional
Luzinópolis,Aceiros,Degradação Média,2,Araguatins
Luzinópolis,Aceiros,Não possui degradação,2,Araguatins
Luzinópolis,Adubação,Não possui degradação,2,Araguatins
Luzinópolis,Calagem,Não possui degradação,2,Araguatins
Luzinópolis,Consórcio,Não possui degradação,2,Araguatins
Luzinópolis,Descarte correto de embalagens,Não possui degradação,2,Araguatins
Luzinópolis,Não usa,Não possui degradação,1,Araguatins
Luzinópolis,Recuperação de pastagens,Degradação Média,3,Araguatins
Luzinópolis,Recuperação de pastagens,Não possui degradação,2,Araguatins
Luzinópolis,Rotação de cultura,Não possui degradação,2,Araguatins
Marianópolis do Tocantins,Aceiros,Degradação Média,1,Paraiso
Marianópolis do Tocantins,Aceiros,Não possui degradação,7,Paraiso
Marianópolis do Tocantins,Aceiros,Pouco degradado,1,Paraiso
Marianópolis do Tocantins,Adubação,Degradação Média,6,Paraiso
Marianópolis do Tocantins,Adubação,Não possui degradação,5,Paraiso
Marianópolis do Tocantins,Adubação verde,Degradação Média,1,Paraiso
Marianópolis do Tocantins,Calagem,Degradação Média,1,Paraiso
Marianópolis do Tocantins,Calagem,Não possui degradação,4,Paraiso
Marianópolis do Tocantins,Não usa,Degradação Média,11,Paraiso
Marianópolis do Tocantins,Não usa,Muito degradado,2,Paraiso
Marianópolis do Tocantins,Reaproveitamento de residuos,Não possui degradação,1,Paraiso
Marianópolis do Tocantins,Recuperação de pastagens,Degradação Média,1,Paraiso
Marianópolis do Tocantins,Recuperação de pastagens,Não possui degradação,1,Paraiso
Miracema do Tocantins,Aceiros,Degradação Média,2,Miracema
Miracema do Tocantins,Aceiros,Não possui degradação,3,Miracema
Miracema do Tocantins,Aceiros,Pouco degradado,5,Miracema
Miracema do Tocantins,Adubação,Não possui degradação,2,Miracema
Miracema do Tocantins,Adubação,Pouco degradado,4,Miracema
Miracema do Tocantins,Adubação verde,Pouco degradado,1,Miracema
Miracema do Tocantins,Calagem,Não possui degradação,1,Miracema
Miracema do Tocantins,Calagem,Pouco degradado,3,Miracema
Miracema do Tocantins,Descarte correto de embalagens,Degradação Média,1,Miracema
Miracema do Tocantins,Descarte correto de embalagens,Pouco degradado,5,Miracema
Miracema do Tocantins,Não usa,Pouco degradado,1,Miracema
Miracema do Tocantins,Plantio direto,Degradação Média,1,Miracema
Miracema do Tocantins,Recuperação de pastagens,Degradação Média,1,Miracema
Miracema do Tocantins,Recuperação de pastagens,Não possui degradação,1,Miracema
Miracema do Tocantins,Recuperação de pastagens,Pouco degradado,5,Miracema
Miracema do Tocantins,Rotação de cultura,Pouco degradado,1,Miracema
Miranorte,Aceiros,Não possui degradação,37,Miracema
Miranorte,Aceiros,Pouco degradado,4,Miracema
Miranorte,Adubação,Não possui degradação,33,Miracema
Miranorte,Adubação,Pouco degradado,5,Miracema
Miranorte,Adubação verde,Não possui degradação,1,Miracema
Miranorte,Calagem,Não possui degradação,17,Miracema
Miranorte,Calagem,Pouco degradado,4,Miracema
Miranorte,Não usa,Pouco degradado,1,Miracema
Miranorte,Plantio direto,Não possui degradação,1,Miracema
Miranorte,Rotação de cultura,Não possui degradação,3,Miracema
Miranorte,Rotação de cultura,Pouco degradado,2,Miracema
Monte Santo do Tocantins,Aceiros,Degradação Média,1,Paraiso
Monte Santo do Tocantins,Aceiros,Não possui degradação,3,Paraiso
Monte Santo do Tocantins,Aceiros,Pouco degradado,2,Paraiso
Monte Santo do Tocantins,Adubação,Não possui degradação,1,Paraiso
Monte Santo do Tocantins,Adubação,Pouco degradado,3,Paraiso
Monte Santo do Tocantins,Adubação verde,Degradação Média,1,Paraiso
Monte Santo do Tocantins,Adubação verde,Não possui degradação,3,Paraiso
Monte Santo do Tocantins,Calagem,Não possui degradação,1,Paraiso
Monte Santo do Tocantins,Calagem,Pouco degradado,2,Paraiso
Monte Santo do Tocantins,Plantio direto,Degradação Média,1,Paraiso
Monte Santo do Tocantins,Plantio direto,Não possui degradação,3,Paraiso
Monte Santo do Tocantins,Reaproveitamento de residuos,Não possui degradação,1,Paraiso
Monte Santo do Tocantins,Reaproveitamento de residuos,Pouco degradado,1,Paraiso
Monte Santo do Tocantins,Recuperação de pastagens,Não possui degradação,1,Paraiso
Monte Santo do Tocantins,Rotação de cultura,Não possui degradação,1,Paraiso
Monte Santo do Tocantins,Rotação de cultura,Pouco degradado,3,Paraiso
Monte do Carmo,Aceiros,Degradação Média,2,Porto Nacional
Monte do Carmo,Aceiros,Pouco degradado,5,Porto Nacional
Monte do Carmo,Adubação,Degradação Média,1,Porto Nacional
Monte do Carmo,Calagem,Degradação Média,1,Porto Nacional
Monte do Carmo,Recuperação de pastagens,Degradação Média,1,Porto Nacional
Muricilândia,Aceiros,Degradação Média,2,Araguína
Muricilândia,Aceiros,Pouco degradado,4,Araguína
Muricilândia,Adubação,Degradação Média,1,Araguína
Muricilândia,Adubação,Pouco degradado,2,Araguína
Muricilândia,Calagem,Degradação Média,1,Araguína
Muricilândia,Calagem,Pouco degradado,2,Araguína
Nova Olinda,Aceiros,Degradação Média,4,Araguína
Nova Olinda,Aceiros,Não possui degradação,5,Araguína
Nova Olinda,Aceiros,Pouco degradado,4,Araguína
Nova Olinda,Adubação,Degradação Média,3,Araguína
Nova Olinda,Adubação,Não possui degradação,3,Araguína
Nova Olinda,Adubação,Pouco degradado,2,Araguína
Nova Olinda,Adubação verde,Não possui degradação,2,Araguína
Nova Olinda,Calagem,Degradação Média,3,Araguína
Nova Olinda,Calagem,Não possui degradação,4,Araguína
Nova Olinda,Calagem,Pouco degradado,2,Araguína
Nova Olinda,Consórcio,Degradação Média,3,Araguína
Nova Olinda,Consórcio,Não possui degradação,3,Araguína
Nova Olinda,Curva de nível,Degradação Média,1,Araguína
Nova Olinda,Curva de nível,Não possui degradação,3,Araguína
Nova Olinda,Ilp - integração lavoura pecuária,Não possui degradação,1,Araguína
Nova Olinda,Reaproveitamento de residuos,Degradação Média,2,Araguína
Nova Olinda,Reaproveitamento de residuos,Não possui degradação,4,Araguína
Nova Olinda,Reaproveitamento de residuos,Pouco degradado,1,Araguína
Nova Olinda,Recuperação de pastagens,Degradação Média,3,Araguína
Nova Olinda,Rotação de cultura,Degradação Média,1,Araguína
Nova Olinda,Rotação de cultura,Não possui degradação,5,Araguína
Nova Olinda,Rotação de cultura,Pouco degradado,1,Araguína
Nova Rosalândia,Adubação,Degradação Média,14,Paraiso
Nova Rosalândia,Adubação verde,Degradação Média,6,Paraiso
Nova Rosalândia,Calagem,Degradação Média,8,Paraiso
Nova Rosalândia,Consórcio,Degradação Média,1,Paraiso
Nova Rosalândia,Plantio direto,Degradação Média,13,Paraiso
Nova Rosalândia,Reaproveitamento de residuos,Degradação Média,7,Paraiso
Nova Rosalândia,Rotação de cultura,Degradação Média,3,Paraiso
Novo Acordo,Aceiros,Muito degradado,1,Porto Nacional
Novo Acordo,Aceiros,Pouco degradado,3,Porto Nacional
Novo Acordo,Adubação,Pouco degradado,1,Porto Nacional
Novo Acordo,Consórcio,Pouco degradado,3,Porto Nacional
Novo Acordo,Descarte correto de embalagens,Pouco degradado,1,Porto Nacional
Novo Acordo,Rotação de cultura,Pouco degradado,3,Porto Nacional
Novo Jardim,Aceiros,Não possui degradação,5,Taguatinga do Tocantins
Novo Jardim,Aceiros,Pouco degradado,1,Taguatinga do Tocantins
Novo Jardim,Adubação,Não possui degradação,6,Taguatinga do Tocantins
Novo Jardim,Adubação,Pouco degradado,1,Taguatinga do Tocantins
Novo Jardim,Calagem,Não possui degradação,1,Taguatinga do Tocantins
Novo Jardim,Não usa,Não possui degradação,1,Taguatinga do Tocantins
Novo Jardim,Rotação de cultura,Não possui degradação,1,Taguatinga do Tocantins
Palmas,Aceiros,Não possui degradação,2,Porto Nacional
Palmas,Aceiros,Pouco degradado,1,Porto Nacional
Palmas,Adubação,Não possui degradação,1,Porto Nacional
Palmas,Adubação verde,Não possui degradação,3,Porto Nacional
Palmas,Plantio direto,Não possui degradação,1,Porto Nacional
Palmas,Recuperação de pastagens,Não possui degradação,1,Porto Nacional
Palmas,Rotação de cultura,Não possui degradação,1,Porto Nacional
Palmeiras do Tocantins,Aceiros,Degradação Média,1,Araguatins
Palmeiras do Tocantins,Aceiros,Não possui degradação,5,Araguatins
Palmeiras do Tocantins,Aceiros,Pouco degradado,7,Araguatins
Palmeiras do Tocantins,Adubação,Degradação Média,1,Araguatins
Palmeiras do Tocantins,Adubação,Não possui degradação,2,Araguatins
Palmeiras do Tocantins,Adubação,Pouco degradado,8,Araguatins
Palmeiras do Tocantins,Calagem,Não possui degradação,1,Araguatins
Palmeiras do Tocantins,Calagem,Pouco degradado,4,Araguatins
Palmeiras do Tocantins,Consórcio,Pouco degradado,2,Araguatins
Palmeiras do Tocantins,Curva de nível,Pouco degradado,2,Araguatins
Palmeiras do Tocantins,Descarte correto de embalagens,Degradação Média,1,Araguatins
Palmeiras do Tocantins,Descarte correto de embalagens,Não possui degradação,4,Araguatins
Palmeiras do Tocantins,Descarte correto de embalagens,Pouco degradado,7,Araguatins
Palmeiras do Tocantins,Ilp - integração lavoura pecuária,Pouco degradado,2,Araguatins
Palmeiras do Tocantins,Plantio direto,Degradação Média,1,Araguatins
Palmeiras do Tocantins,Reaproveitamento de residuos,Não possui degradação,1,Araguatins
Palmeiras do Tocantins,Recuperação de pastagens,Não possui degradação,3,Araguatins
Palmeiras do Tocantins,Recuperação de pastagens,Pouco degradado,2,Araguatins
Palmeiras do Tocantins,Rotação de cultura,Não possui degradação,2,Araguatins
Palmeiras do Tocantins,Rotação de cultura,Pouco degradado,2,Araguatins
Palmeirópolis,Aceiros,Pouco degradado,1,Gurupi
Palmeirópolis,Adubação,Pouco degradado,1,Gurupi
Palmeirópolis,Calagem,Pouco degradado,1,Gurupi
Palmeirópolis,Não usa,Pouco degradado,1,Gurupi
Paranã,Aceiros,Degradação Média,3,Taguatinga do Tocantins
Paranã,Aceiros,Não possui degradação,4,Taguatinga do Tocantins
Paranã,Aceiros,Pouco degradado,13,Taguatinga do Tocantins
Paranã,Adubação,Pouco degradado,4,Taguatinga do Tocantins
Paranã,Adubação verde,Não possui degradação,3,Taguatinga do Tocantins
Paranã,Adubação verde,Pouco degradado,2,Taguatinga do Tocantins
Paranã,Calagem,Não possui degradação,1,Taguatinga do Tocantins
Paranã,Consórcio,Degradação Média,3,Taguatinga do Tocantins
Paranã,Consórcio,Não possui degradação,2,Taguatinga do Tocantins
Paranã,Consórcio,Pouco degradado,13,Taguatinga do Tocantins
Paranã,Curva de nível,Não possui degradação,1,Taguatinga do Tocantins
Paranã,Descarte correto de embalagens,Pouco degradado,5,Taguatinga do Tocantins
Paranã,Floresta,Não possui degradação,1,Taguatinga do Tocantins
Paranã,Ilpf - integração lavoura pecuária,Não possui degradação,1,Taguatinga do Tocantins
Paranã,Plantio direto,Degradação Média,3,Taguatinga do Tocantins
Paranã,Plantio direto,Pouco degradado,12,Taguatinga do Tocantins
Paranã,Reaproveitamento de residuos,Não possui degradação,1,Taguatinga do Tocantins
Paranã,Reaproveitamento de residuos,Pouco degradado,2,Taguatinga do Tocantins
Paranã,Recuperação de pastagens,Degradação Média,2,Taguatinga do Tocantins
Paranã,Recuperação de pastagens,Não possui degradação,1,Taguatinga do Tocantins
Paranã,Recuperação de pastagens,Pouco degradado,11,Taguatinga do Tocantins
Paranã,Rotação de cultura,Degradação Média,3,Taguatinga do Tocantins
Paranã,Rotação de cultura,Não possui degradação,15,Taguatinga do Tocantins
Paranã,Rotação de cultura,Pouco degradado,13,Taguatinga do Tocantins
Paraíso do Tocantins,Aceiros,Degradação Média,1,Paraiso
Paraíso do Tocantins,Aceiros,Não possui degradação,1,Paraiso
Paraíso do Tocantins,Aceiros,Pouco degradado,9,Paraiso
Paraíso do Tocantins,Adubação,Pouco degradado,6,Paraiso
Paraíso do Tocantins,Adubação verde,Pouco degradado,2,Paraiso
Paraíso do Tocantins,Calagem,Pouco degradado,5,Paraiso
Paraíso do Tocantins,Consórcio,Pouco degradado,1,Paraiso
Paraíso do Tocantins,Não usa,Pouco degradado,3,Paraiso
Paraíso do Tocantins,Reaproveitamento de residuos,Pouco degradado,1,Paraiso
Paraíso do Tocantins,Recuperação de pastagens,Pouco degradado,1,Paraiso
Paraíso do Tocantins,Rotação de cultura,Pouco degradado,2,Paraiso
Pedro Afonso,Aceiros,Degradação Média,2,Miracema
Pedro Afonso,Aceiros,Não possui degradação,5,Miracema
Pedro Afonso,Aceiros,Pouco degradado,3,Miracema
Pedro Afonso,Adubação,Não possui degradação,1,Miracema
Pedro Afonso,Adubação verde,Não possui degradação,1,Miracema
Pedro Afonso,Plantio direto,Não possui degradação,1,Miracema
Peixe,Aceiros,Degradação Média,3,Gurupi
Peixe,Aceiros,Pouco degradado,7,Gurupi
Peixe,Adubação,Degradação Média,2,Gurupi
Peixe,Adubação,Pouco degradado,9,Gurupi
Peixe,Adubação verde,Pouco degradado,1,Gurupi
Peixe,Calagem,Pouco degradado,5,Gurupi
Peixe,Recuperação de pastagens,Pouco degradado,4,Gurupi
Peixe,Rotação de cultura,Pouco degradado,3,Gurupi
Piraquê,Aceiros,Degradação Média,1,Araguína
Piraquê,Aceiros,Não possui degradação,4,Araguína
Piraquê,Aceiros,Pouco degradado,12,Araguína
Piraquê,Adubação,Não possui degradação,1,Araguína
Piraquê,Adubação,Pouco degradado,5,Araguína
Piraquê,Calagem,Degradação Média,1,Araguína
Piraquê,Calagem,Pouco degradado,3,Araguína
Piraquê,Descarte correto de embalagens,Não possui degradação,1,Araguína
Piraquê,Plantio direto,Degradação Média,1,Araguína
Piraquê,Recuperação de pastagens,Degradação Média,1,Araguína
Piraquê,Recuperação de pastagens,Não possui degradação,3,Araguína
Piraquê,Recuperação de pastagens,Pouco degradado,6,Araguína
Piraquê,Rotação de cultura,Degradação Média,1,Araguína
Piraquê,Rotação de cultura,Não possui degradação,2,Araguína
Piraquê,Rotação de cultura,Pouco degradado,2,Araguína
Pium,Aceiros,Degradação Média,3,Paraiso
Pium,Aceiros,Não possui degradação,11,Paraiso
Pium,Aceiros,Pouco degradado,11,Paraiso
Pium,Adubação,Degradação Média,3,Paraiso
Pium,Adubação,Não possui degradação,8,Paraiso
Pium,Adubação,Pouco degradado,10,Paraiso
Pium,Calagem,Degradação Média,1,Paraiso
Pium,Calagem,Não possui degradação,3,Paraiso
Pium,Calagem,Pouco degradado,4,Paraiso
Pium,Consórcio,Pouco degradado,1,Paraiso
Pium,Plantio direto,Pouco degradado,1,Paraiso
Pium,Recuperação de pastagens,Não possui degradação,1,Paraiso
Pium,Recuperação de pastagens,Pouco degradado,1,Paraiso
Pium,Rotação de cultura,Degradação Média,1,Paraiso
Pium,Rotação de cultura,Não possui degradação,1,Paraiso
Pium,Rotação de cultura,Pouco degradado,3,Paraiso
Ponte Alta do Bom Jesus,Aceiros,Degradação Média,2,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Aceiros,Não possui degradação,2,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Aceiros,Pouco degradado,7,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Calagem,Degradação Média,1,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Calagem,Não possui degradação,1,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Calagem,Pouco degradado,2,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Descarte correto de embalagens,Degradação Média,1,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Recuperação de pastagens,Pouco degradado,2,Taguatinga do Tocantins
Ponte Alta do Bom Jesus,Rotação de cultura,Degradação Média,1,Taguatinga do Tocantins
Porto Alegre do Tocantins,Aceiros,Degradação Média,4,Taguatinga do Tocantins
Porto Alegre do Tocantins,Calagem,Degradação Média,3,Taguatinga do Tocantins
Praia Norte,Aceiros,Degradação Média,1,Araguatins
Praia Norte,Consórcio,Degradação Média,1,Araguatins
Praia Norte,Rotação de cultura,Degradação Média,1,Araguatins
Pugmil,Aceiros,Não possui degradação,1,Paraiso
Pugmil,Aceiros,Pouco degradado,2,Paraiso
Pugmil,Adubação,Não possui degradação,1,Paraiso
Pugmil,Adubação,Pouco degradado,2,Paraiso
Pugmil,Adubação verde,Não possui degradação,1,Paraiso
Pugmil,Calagem,Não possui degradação,1,Paraiso
Pugmil,Calagem,Pouco degradado,2,Paraiso
Pugmil,Consórcio,Pouco degradado,2,Paraiso
Pugmil,Ilp - integração lavoura pecuária,Pouco degradado,1,Paraiso
Pugmil,Plantio direto,Não possui degradação,1,Paraiso
Pugmil,Plantio direto,Pouco degradado,1,Paraiso
Pugmil,Reaproveitamento de residuos,Pouco degradado,1,Paraiso
Pugmil,Recuperação de pastagens,Não possui degradação,1,Paraiso
Pugmil,Recuperação de pastagens,Pouco degradado,1,Paraiso
Pugmil,Rotação de cultura,Não possui degradação,1,Paraiso
Pugmil,Rotação de cultura,Pouco degradado,2,Paraiso
Riachinho,Aceiros,Não possui degradação,4,Araguatins
Riachinho,Aceiros,Pouco degradado,2,Araguatins
Riachinho,Adubação,Não possui degradação,4,Araguatins
Riachinho,Adubação,Pouco degradado,1,Araguatins
Riachinho,Calagem,Não possui degradação,1,Araguatins
Riachinho,Calagem,Pouco degradado,1,Araguatins
Riachinho,Consórcio,Pouco degradado,1,Araguatins
Riachinho,Curva de nível,Não possui degradação,1,Araguatins
Riachinho,Descarte correto de embalagens,Não possui degradação,3,Araguatins
Riachinho,Plantio direto,Não possui degradação,2,Araguatins
Riachinho,Plantio direto,Pouco degradado,1,Araguatins
Riachinho,Reaproveitamento de residuos,Não possui degradação,1,Araguatins
Riachinho,Recuperação de pastagens,Não possui degradação,1,Araguatins
Riachinho,Recuperação de pastagens,Pouco degradado,1,Araguatins
Riachinho,Rotação de cultura,Não possui degradação,4,Araguatins
Riachinho,Rotação de cultura,Pouco degradado,1,Araguatins
Rio Sono,Aceiros,Não possui degradação,8,Miracema
Rio Sono,Aceiros,Pouco degradado,4,Miracema
Rio Sono,Adubação,Não possui degradação,3,Miracema
Rio Sono,Adubação,Pouco degradado,2,Miracema
Rio Sono,Calagem,Não possui degradação,4,Miracema
Rio Sono,Calagem,Pouco degradado,1,Miracema
Rio Sono,Plantio direto,Não possui degradação,4,Miracema
Rio Sono,Plantio direto,Pouco degradado,1,Miracema
Rio Sono,Recuperação de pastagens,Não possui degradação,2,Miracema
Rio da Conceição,Adubação,Muito degradado,1,Taguatinga do Tocantins
Rio da Conceição,Adubação,Não possui degradação,1,Taguatinga do Tocantins
Rio da Conceição,Adubação,Pouco degradado,1,Taguatinga do Tocantins
Rio da Conceição,Adubação verde,Muito degradado,1,Taguatinga do Tocantins
Rio da Conceição,Adubação verde,Não possui degradação,1,Taguatinga do Tocantins
Rio da Conceição,Adubação verde,Pouco degradado,1,Taguatinga do Tocantins
Rio da Conceição,Calagem,Muito degradado,1,Taguatinga do Tocantins
Rio da Conceição,Calagem,Não possui degradação,1,Taguatinga do Tocantins
Rio da Conceição,Calagem,Pouco degradado,1,Taguatinga do Tocantins
Rio da Conceição,Plantio direto,Pouco degradado,1,Taguatinga do Tocantins
Rio da Conceição,Rotação de cultura,Muito degradado,1,Taguatinga do Tocantins
Rio da Conceição,Rotação de cultura,Não possui degradação,1,Taguatinga do Tocantins
Rio dos Bois,Aceiros,Não possui degradação,3,Miracema
Rio dos Bois,Aceiros,Pouco degradado,6,Miracema
Rio dos Bois,Adubação,Não possui degradação,2,Miracema
Rio dos Bois,Adubação,Pouco degradado,6,Miracema
Rio dos Bois,Adubação verde,Não possui degradação,1,Miracema
Rio dos Bois,Calagem,Não possui degradação,2,Miracema
Rio dos Bois,Calagem,Pouco degradado,6,Miracema
Rio dos Bois,Descarte correto de embalagens,Pouco degradado,2,Miracema
Rio dos Bois,Reaproveitamento de residuos,Pouco degradado,5,Miracema
Rio dos Bois,Recuperação de pastagens,Pouco degradado,2,Miracema
Santa Fé do Araguaia,Aceiros,Degradação Média,3,Araguína
Santa Fé do Araguaia,Aceiros,Muito degradado,1,Araguína
Santa Fé do Araguaia,Aceiros,Pouco degradado,7,Araguína
Santa Fé do Araguaia,Adubação,Degradação Média,1,Araguína
Santa Fé do Araguaia,Adubação,Pouco degradado,7,Araguína
Santa Fé do Araguaia,Calagem,Degradação Média,1,Araguína
Santa Fé do Araguaia,Calagem,Pouco degradado,6,Araguína
Santa Fé do Araguaia,Reaproveitamento de residuos,Muito degradado,1,Araguína
Santa Fé do Araguaia,Rotação de cultura,Muito degradado,1,Araguína
Santa Maria do Tocantins,Aceiros,Pouco degradado,2,Miracema
Santa Maria do Tocantins,Adubação,Pouco degradado,2,Miracema
Santa Maria do Tocantins,Adubação verde,Pouco degradado,1,Miracema
Santa Maria do Tocantins,Plantio direto,Pouco degradado,1,Miracema
Santa Rita do Tocantins,Aceiros,Muito degradado,1,Gurupi
Santa Rita do Tocantins,Aceiros,Pouco degradado,2,Gurupi
Santa Rita do Tocantins,Adubação,Pouco degradado,1,Gurupi
Santa Rita do Tocantins,Calagem,Degradação Média,1,Gurupi
Santa Rita do Tocantins,Calagem,Muito degradado,1,Gurupi
Santa Rita do Tocantins,Calagem,Pouco degradado,2,Gurupi
Santa Terezinha do Tocantins,Aceiros,Degradação Média,1,Araguatins
Santa Terezinha do Tocantins,Aceiros,Não possui degradação,2,Araguatins
Santa Terezinha do Tocantins,Aceiros,Pouco degradado,1,Araguatins
Santa Terezinha do Tocantins,Adubação,Não possui degradação,2,Araguatins
Santa Terezinha do Tocantins,Adubação,Pouco degradado,1,Araguatins
Santa Terezinha do Tocantins,Consórcio,Não possui degradação,2,Araguatins
Santa Terezinha do Tocantins,Descarte correto de embalagens,Degradação Média,1,Araguatins
Santa Terezinha do Tocantins,Descarte correto de embalagens,Não possui degradação,1,Araguatins
Silvanópolis,Aceiros,Degradação Média,5,Porto Nacional
Silvanópolis,Aceiros,Muito degradado,1,Porto Nacional
Silvanópolis,Aceiros,Pouco degradado,5,Porto Nacional
Silvanópolis,Adubação,Degradação Média,4,Porto Nacional
Silvanópolis,Adubação,Muito degradado,1,Porto Nacional
Silvanópolis,Adubação,Pouco degradado,2,Porto Nacional
Silvanópolis,Calagem,Degradação Média,5,Porto Nacional
Silvanópolis,Calagem,Muito degradado,1,Porto Nacional
Silvanópolis,Calagem,Pouco degradado,5,Porto Nacional
Silvanópolis,Descarte correto de embalagens,Pouco degradado,1,Porto Nacional
Silvanópolis,Plantio direto,Pouco degradado,1,Porto Nacional
Silvanópolis,Recuperação de pastagens,Degradação Média,3,Porto Nacional
Silvanópolis,Recuperação de pastagens,Pouco degradado,4,Porto Nacional
Silvanópolis,Rotação de cultura,Degradação Média,1,Porto Nacional
Sucupira,Aceiros,Muito degradado,1,Gurupi
