enfrenta_dificuldades_para_manter_atividade_produtiva_e_o_atendimento_domestico_em_virtude_de_escass,municipio_ibge,regional
"Sim, período de seca",Chapada da Natividade,Porto Nacional
Não,Cariri do Tocantins,Gurupi
Não,Rio dos Bois,Miracema
Não,Pedro Afonso,Miracema
Não,Figueirópolis,Gurupi
Não,Cariri do Tocantins,Gurupi
"Sim, período de seca",Chapada da Natividade,Porto Nacional
"Sim, período de seca",Peixe,Gurupi
Não,Divinópolis do Tocantins,Paraiso
Não,São Bento do Tocantins,Araguatins
"Sim, período de seca",Chapada da Natividade,Porto Nacional
"Sim, período de seca",Chapada da Natividade,Porto Nacional
Não,Figueirópolis,Gurupi
Não,Paraíso do Tocantins,Paraiso
"Sim, período de seca",Peixe,Gurupi
Não,Cariri do Tocantins,Gurupi
Não,Paraíso do Tocantins,Paraiso
Não,São Bento do Tocantins,Araguatins
Não,Silvanópolis,Porto Nacional
"Sim, período de seca",Goiatins,Araguína
Não,Rio Sono,Miracema
"Sim, período de seca",Porto Alegre do Tocantins,Taguatinga do Tocantins
Não,Paranã,Taguatinga do Tocantins
Não,Porto Alegre do Tocantins,Taguatinga do Tocantins
Não,Chapada de Areia,Paraiso
Não,Rio Sono,Miracema
Não,Figueirópolis,Gurupi
Não,Colméia,Colinas
Não,Cristalândia,Paraiso
"Sim, período de seca",Paranã,Taguatinga do Tocantins
"Sim, período de seca",Silvanópolis,Porto Nacional
Não,Santa Fé do Araguaia,Araguína
Não,dois Irmãos do Tocantins,Paraiso
Não,Divinópolis do Tocantins,Paraiso
Não,Rio Sono,Miracema
Não,Xambioá,Araguína
"Sim, período de seca",Monte do Carmo,Porto Nacional
Não,Paraíso do Tocantins,Paraiso
Não,Filadélfia,Araguína
Não,Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Santa Rita do Tocantins,Gurupi
Não,Cariri do Tocantins,Gurupi
Não,Dianópolis,Taguatinga do Tocantins
Não,Porto Alegre do Tocantins,Taguatinga do Tocantins
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
"Sim, período de seca",Goiatins,Araguína
Não,Miranorte,Miracema
Não,Santa Terezinha do Tocantins,Araguatins
"Sim, período de seca",Miranorte,Miracema
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
Não,Araguaína,Araguína
"Sim, período de seca",Araguaína,Araguína
Não,Pedro Afonso,Miracema
Não,Miranorte,Miracema
Não,Caseara,Paraiso
Não,Cariri do Tocantins,Gurupi
Não,Filadélfia,Araguína
Não,Cachoeirinha,Araguatins
Não,Aliança do Tocantins,Gurupi
"Sim, período de seca",Paraíso do Tocantins,Paraiso
"Sim, período de seca",Pium,Paraiso
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
Não,Miranorte,Miracema
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
Não,Aragominas,Araguína
"Sim, período de seca",Paranã,Taguatinga do Tocantins
Não,Pedro Afonso,Miracema
Não,Nova Olinda,Araguína
Não,Wanderlândia,Araguína
"Sim, período de seca",Xambioá,Araguína
Não,Araguaína,Araguína
Não,Piraquê,Araguína
"Sim, período de seca",Monte Santo do Tocantins,Paraiso
Não,Monte Santo do Tocantins,Paraiso
Não,Chapada de Areia,Paraiso
"Sim, período de seca",Chapada de Areia,Paraiso
Não,Miranorte,Miracema
"Sim, período de seca",Esperantina,Araguatins
"Sim, período de seca",Monte Santo do Tocantins,Paraiso
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Angico,Araguatins
"Sim, período de seca",Paranã,Taguatinga do Tocantins
"Sim, período de seca",Paranã,Taguatinga do Tocantins
Não,Dianópolis,Taguatinga do Tocantins
"Sim, o ano todo",Babaçulândia,Araguína
"Sim, período de seca",São Miguel do Tocantins,Araguatins
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
Não,Miranorte,Miracema
Não,Ipueiras,Porto Nacional
"Sim, período de seca",Babaçulândia,Araguína
"Sim, período de seca",Aliança do Tocantins,Gurupi
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
Não,Palmeiras do Tocantins,Araguatins
Não,Palmeiras do Tocantins,Araguatins
"Sim, período de seca",Piraquê,Araguína
Não,Pedro Afonso,Miracema
"Sim, período de seca",Fátima,Porto Nacional
Não,Piraquê,Araguína
"Sim, período de seca",Piraquê,Araguína
Não,Piraquê,Araguína
"Sim, período de seca",Xambioá,Araguína
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
"Sim, período de seca",Fortaleza do Tabocão,Miracema
"Sim, período de seca",Aragominas,Araguína
"Sim, período de seca",Gurupi,Gurupi
"Sim, período de seca",Crixás do Tocantins,Gurupi
"Sim, período de seca",Palmas,Porto Nacional
Não,Miranorte,Miracema
"Sim, período de seca",Gurupi,Gurupi
"Sim, período de seca",Gurupi,Gurupi
Não,Miranorte,Miracema
Não,Fortaleza do Tabocão,Miracema
Não,Piraquê,Araguína
Não,Guaraí,Colinas
Não,Almas,Taguatinga do Tocantins
"Sim, período de seca",Chapada de Areia,Paraiso
Não,Pedro Afonso,Miracema
Não,dois Irmãos do Tocantins,Paraiso
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
Não,Guaraí,Colinas
"Sim, período de seca",Chapada de Areia,Paraiso
"Sim, período de seca",Xambioá,Araguína
"Sim, período de seca",Araguaína,Araguína
"Sim, período de seca",Praia Norte,Araguatins
Não,Bandeirantes do Tocantins,Colinas
"Sim, período de seca",Araguaína,Araguína
Não,Piraquê,Araguína
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Novo Acordo,Porto Nacional
"Sim, período de seca",Bandeirantes do Tocantins,Colinas
Não,Nova Olinda,Araguína
Não,Silvanópolis,Porto Nacional
Não,Piraquê,Araguína
Não,Angico,Araguatins
Não,Piraquê,Araguína
Não,Angico,Araguatins
Não,Piraquê,Araguína
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
Não,Gurupi,Gurupi
Não,Piraquê,Araguína
Não,Fortaleza do Tabocão,Miracema
"Sim, período de seca",Nova Olinda,Araguína
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
Não,Palmeiras do Tocantins,Araguatins
Não,Tupirama,Miracema
Não,Xambioá,Araguína
"Sim, período de seca",Araguanã,Araguína
"Sim, período de seca",Araguanã,Araguína
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
Não,Divinópolis do Tocantins,Paraiso
Não,Babaçulândia,Araguína
Não,Santa Terezinha do Tocantins,Araguatins
Não,Paraíso do Tocantins,Paraiso
Não,Centenário,Miracema
Não,Ananás,Araguatins
"Sim, período de seca",Almas,Taguatinga do Tocantins
Não,Cristalândia,Paraiso
"Sim, período de seca",Marianópolis do Tocantins,Paraiso
Não,Fortaleza do Tabocão,Miracema
"Sim, período de seca",Palmeiras do Tocantins,Araguatins
"Sim, período de seca",Tupirama,Miracema
Não,Caseara,Paraiso
Não,Caseara,Paraiso
Não,Caseara,Paraiso
"Sim, período de seca",Chapada de Areia,Paraiso
Não,Lagoa da Confusão,Paraiso
"Sim, período de seca",Miracema do Tocantins,Miracema
"Sim, o ano todo",Novo Jardim,Taguatinga do Tocantins
Não,Tupirama,Miracema
Não,Miranorte,Miracema
Não,Araguaína,Araguína
"Sim, período de seca",Gurupi,Gurupi
Não,Paranã,Taguatinga do Tocantins
Não,São Miguel do Tocantins,Araguatins
"Sim, período de seca",Caseara,Paraiso
Não,Figueirópolis,Gurupi
Não,Couto Magalhães,Colinas
Não,Tocantínia,Miracema
Não,Tupirama,Miracema
Não,Tocantínia,Miracema
Não,Sítio Novo do Tocantins,Araguatins
Não,São Miguel do Tocantins,Araguatins
"Sim, o ano todo",Dianópolis,Taguatinga do Tocantins
Não,Axixá do Tocantins,Araguatins
Não,Axixá do Tocantins,Araguatins
Não,Tocantínia,Miracema
"Sim, período de seca",Bom Jesus do Tocantins,Miracema
Não,Barrolândia,Paraiso
Não,Palmeiras do Tocantins,Araguatins
Não,Abreulândia,Paraiso
"Sim, período de seca",Monte Santo do Tocantins,Paraiso
Não,Pedro Afonso,Miracema
"Sim, período de seca",Monte Santo do Tocantins,Paraiso
Não,São Miguel do Tocantins,Araguatins
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Axixá do Tocantins,Araguatins
Não,Axixá do Tocantins,Araguatins
"Sim, período de seca",Sítio Novo do Tocantins,Araguatins
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
"Sim, período de seca",Barrolândia,Paraiso
"Sim, período de seca",Ananás,Araguatins
"Sim, o ano todo",Wanderlândia,Araguína
"Sim, período de seca",Almas,Taguatinga do Tocantins
Não,Nova Rosalândia,Paraiso
"Sim, o ano todo",Rio dos Bois,Miracema
Não,São Miguel do Tocantins,Araguatins
"Sim, período de seca",Ananás,Araguatins
"Sim, período de seca",Xambioá,Araguína
Não,Lagoa da Confusão,Paraiso
Não,Lagoa da Confusão,Paraiso
Não,Lagoa da Confusão,Paraiso
Não,Dianópolis,Taguatinga do Tocantins
Não,São Miguel do Tocantins,Araguatins
"Sim, período de seca",darcinópolis,Araguatins
Não,Wanderlândia,Araguína
Não,São Salvador do Tocantins,Gurupi
"Sim, período de seca",Pugmil,Paraiso
"Sim, período de seca",Carmolândia,Araguína
Não,Peixe,Gurupi
"Sim, período de seca",Paraíso do Tocantins,Paraiso
"Sim, período de seca",Silvanópolis,Porto Nacional
"Sim, período de seca",Gurupi,Gurupi
Não,Wanderlândia,Araguína
"Sim, período de seca",Nova Olinda,Araguína
"Sim, período de seca",darcinópolis,Araguatins
Não,Nova Rosalândia,Paraiso
"Sim, período de seca",Carmolândia,Araguína
"Sim, período de seca",Aguiarnópolis,Araguatins
"Sim, período de seca",darcinópolis,Araguatins
Não,Axixá do Tocantins,Araguatins
"Sim, o ano todo",Chapada de Areia,Paraiso
Não,Filadélfia,Araguína
"Sim, período de seca",darcinópolis,Araguatins
Não,Palmas,Porto Nacional
Não,Paraíso do Tocantins,Paraiso
Não,Porto Alegre do Tocantins,Taguatinga do Tocantins
Não,Nova Rosalândia,Paraiso
Não,São Miguel do Tocantins,Araguatins
Não,Tupirama,Miracema
Não,Porto Nacional,Porto Nacional
Não,Tupirama,Miracema
Não,Silvanópolis,Porto Nacional
Não,Divinópolis do Tocantins,Paraiso
"Sim, período de seca",Palmeiras do Tocantins,Araguatins
Não,Araguaína,Araguína
Não,Divinópolis do Tocantins,Paraiso
Não,Palmeiras do Tocantins,Araguatins
"Sim, período de seca",Sítio Novo do Tocantins,Araguatins
Não,Tupirama,Miracema
"Sim, período de seca",Miracema do Tocantins,Miracema
"Sim, período de seca",Palmeiras do Tocantins,Araguatins
Não,Barrolândia,Paraiso
Não,Caseara,Paraiso
"Sim, o ano todo",Lajeado,Porto Nacional
"Sim, período de seca",Porto Nacional,Porto Nacional
"Sim, período de seca",Miracema do Tocantins,Miracema
"Sim, período de seca",Monte Santo do Tocantins,Paraiso
"Sim, período de seca",Riachinho,Araguatins
"Sim, período de seca",Xambioá,Araguína
Não,São Miguel do Tocantins,Araguatins
"Sim, período de seca",Palmeiras do Tocantins,Araguatins
Não,Babaçulândia,Araguína
"Sim, período de seca",Esperantina,Araguatins
Não,Lajeado,Porto Nacional
Não,Lajeado,Porto Nacional
Não,Miranorte,Miracema
Não,Lajeado,Porto Nacional
Não,Lajeado,Porto Nacional
Não,Lajeado,Porto Nacional
Não,Xambioá,Araguína
Não,Tocantínia,Miracema
Não,Dianópolis,Taguatinga do Tocantins
Não,Tocantínia,Miracema
"Sim, período de seca",Silvanópolis,Porto Nacional
Não,Barrolândia,Paraiso
Não,Porto Nacional,Porto Nacional
Não,Palmeiras do Tocantins,Araguatins
Não,São Miguel do Tocantins,Araguatins
Não,Barrolândia,Paraiso
Não,Nova Olinda,Araguína
Não,Palmas,Porto Nacional
Não,Alvorada,Gurupi
Não,Lajeado,Porto Nacional
"Sim, período de seca",Sítio Novo do Tocantins,Araguatins
Não,Pedro Afonso,Miracema
Não,dois Irmãos do Tocantins,Paraiso
"Sim, período de seca",Fátima,Porto Nacional
Não,Aurora do Tocantins,Taguatinga do Tocantins
Não,Rio dos Bois,Miracema
"Sim, período de seca",Sítio Novo do Tocantins,Araguatins
Não,Nova Olinda,Araguína
"Sim, período de seca",Tupirama,Miracema
"Sim, período de seca",Palmas,Porto Nacional
Não,Caseara,Paraiso
Não,Nova Olinda,Araguína
Não,Bom Jesus do Tocantins,Miracema
Não,Nova Olinda,Araguína
Não,Tupirama,Miracema
Não,dois Irmãos do Tocantins,Paraiso
Não,Tupirama,Miracema
"Sim, período de seca",Esperantina,Araguatins
"Sim, período de seca",Nova Olinda,Araguína
Não,Palmas,Porto Nacional
Não,Palmas,Porto Nacional
Não,Esperantina,Araguatins
Não,Nova Olinda,Araguína
Não,Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Santa Maria do Tocantins,Miracema
Não,Nova Olinda,Araguína
Não,dois Irmãos do Tocantins,Paraiso
Não,Caseara,Paraiso
"Sim, período de seca",Nova Olinda,Araguína
"Sim, o ano todo",Porto Nacional,Porto Nacional
Não,dois Irmãos do Tocantins,Paraiso
"Sim, o ano todo",Pedro Afonso,Miracema
Não,dois Irmãos do Tocantins,Paraiso
"Sim, período de seca",Bom Jesus do Tocantins,Miracema
"Sim, período de seca",Paraíso do Tocantins,Paraiso
"Sim, período de seca",Palmas,Porto Nacional
"Sim, período de seca",,
Não,Rio dos Bois,Miracema
Não,Pium,Paraiso
Não,Luzinópolis,Araguatins
"Sim, período de seca",Chapada de Areia,Paraiso
Não,dois Irmãos do Tocantins,Paraiso
"Sim, período de seca",Miranorte,Miracema
Não,Novo Jardim,Taguatinga do Tocantins
"Sim, período de seca",Araguatins,Araguatins
Não,Guaraí,Colinas
Não,Guaraí,Colinas
"Sim, período de seca",Miranorte,Miracema
"Sim, o ano todo",Araguaína,Araguína
Não,dois Irmãos do Tocantins,Paraiso
Não,Divinópolis do Tocantins,Paraiso
"Sim, período de seca",Couto Magalhães,Colinas
"Sim, período de seca",Pugmil,Paraiso
"Sim, período de seca",darcinópolis,Araguatins
"Sim, período de seca",Monte Santo do Tocantins,Paraiso
Não,Nova Olinda,Araguína
"Sim, período de seca",Araguaína,Araguína
Não,Couto Magalhães,Colinas
Não,Nova Rosalândia,Paraiso
Não,Caseara,Paraiso
Não,dois Irmãos do Tocantins,Paraiso
Não,Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Pium,Paraiso
"Sim, período de seca",Monte Santo do Tocantins,Paraiso
"Sim, período de seca",Araguaína,Araguína
Não,Nova Olinda,Araguína
"Sim, período de seca",Nova Olinda,Araguína
Não,Monte do Carmo,Porto Nacional
Não,dois Irmãos do Tocantins,Paraiso
"Sim, período de seca",Araguaína,Araguína
Não,Esperantina,Araguatins
Não,dois Irmãos do Tocantins,Paraiso
Não,Nova Olinda,Araguína
"Sim, período de seca",Fátima,Porto Nacional
"Sim, período de seca",Fátima,Porto Nacional
Não,Barrolândia,Paraiso
"Sim, período de seca",Araguaína,Araguína
"Sim, período de seca",dois Irmãos do Tocantins,Paraiso
"Sim, período de seca",Couto Magalhães,Colinas
Não,Nova Olinda,Araguína
"Sim, período de seca",Itaguatins,Araguatins
"Sim, período de seca",Fátima,Porto Nacional
Não,Nova Olinda,Araguína
Não,Nova Olinda,Araguína
Não,Nova Olinda,Araguína
Não,Palmas,Porto Nacional
"Sim, período de seca",Cristalândia,Paraiso
"Sim, período de seca",Nova Olinda,Araguína
Não,Piraquê,Araguína
"Sim, período de seca",Novo Acordo,Porto Nacional
"Sim, período de seca",Couto Magalhães,Colinas
Não,Nova Rosalândia,Paraiso
Não,Pedro Afonso,Miracema
Não,Pedro Afonso,Miracema
Não,Rio dos Bois,Miracema
Não,Rio dos Bois,Miracema
Não,Bom Jesus do Tocantins,Miracema
Não,Pedro Afonso,Miracema
"Sim, período de seca",Santa Maria do Tocantins,Miracema
"Sim, período de seca",Porto Nacional,Porto Nacional
Não,Esperantina,Araguatins
Não,darcinópolis,Araguatins
Não,Nova Rosalândia,Paraiso
"Sim, período de seca",Araguanã,Araguína
Não,Filadélfia,Araguína
Não,Chapada de Areia,Paraiso
Não,Abreulândia,Paraiso
Não,darcinópolis,Araguatins
Não,Palmeiras do Tocantins,Araguatins
"Sim, período de seca",Araguaína,Araguína
Não,Tocantínia,Miracema
Não,Barrolândia,Paraiso
Não,Araguaína,Araguína
"Sim, período de seca",Ananás,Araguatins
"Sim, período de seca",Ananás,Araguatins
"Sim, período de seca",Araguaína,Araguína
Não,darcinópolis,Araguatins
Não,dois Irmãos do Tocantins,Paraiso
Não,Pedro Afonso,Miracema
Não,Araguaína,Araguína
"Sim, período de seca",Bom Jesus do Tocantins,Miracema
Não,Wanderlândia,Araguína
Não,Wanderlândia,Araguína
"Sim, período de seca",Nova Rosalândia,Paraiso
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
Não,Monte do Carmo,Porto Nacional
Não,Palmeirópolis,Gurupi
"Sim, o ano todo",Dianópolis,Taguatinga do Tocantins
Não,Palmeiras do Tocantins,Araguatins
Não,Araguatins,Araguatins
Não,Piraquê,Araguína
"Sim, período de seca",Araguaína,Araguína
Não,Nova Olinda,Araguína
Não,Araguatins,Araguatins
Não,Paraíso do Tocantins,Paraiso
"Sim, período de seca",Bom Jesus do Tocantins,Miracema
Não,Chapada de Areia,Paraiso
Não,Paraíso do Tocantins,Paraiso
Não,Miranorte,Miracema
Não,Caseara,Paraiso
Não,Crixás do Tocantins,Gurupi
"Sim, período de seca",Monte Santo do Tocantins,Paraiso
"Sim, período de seca",Monte Santo do Tocantins,Paraiso
Não,Novo Jardim,Taguatinga do Tocantins
Não,Pium,Paraiso
Não,Caseara,Paraiso
"Sim, período de seca",Santa Maria do Tocantins,Miracema
Não,Silvanópolis,Porto Nacional
"Sim, período de seca",Nova Olinda,Araguína
Não,Bandeirantes do Tocantins,Colinas
"Sim, período de seca",Gurupi,Gurupi
Não,Praia Norte,Araguatins
Não,Paraíso do Tocantins,Paraiso
"Sim, período de seca",Ananás,Araguatins
Não,Ananás,Araguatins
Não,Miranorte,Miracema
Não,Palmeiras do Tocantins,Araguatins
Não,Filadélfia,Araguína
Não,Palmeiras do Tocantins,Araguatins
Não,Palmeiras do Tocantins,Araguatins
"Sim, período de seca",Miranorte,Miracema
"Sim, período de seca",Ananás,Araguatins
Não,Ananás,Araguatins
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
Não,Araguanã,Araguína
Não,Filadélfia,Araguína
Não,Aurora do Tocantins,Taguatinga do Tocantins
Não,Ananás,Araguatins
Não,Miranorte,Miracema
"Sim, período de seca",Ananás,Araguatins
Não,Muricilândia,Araguína
"Sim, período de seca",Barrolândia,Paraiso
"Sim, período de seca",Ananás,Araguatins
"Sim, período de seca",Ananás,Araguatins
"Sim, período de seca",Miranorte,Miracema
"Sim, período de seca",Ananás,Araguatins
Não,Itaguatins,Araguatins
Não,Riachinho,Araguatins
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Gurupi,Gurupi
Não,Bom Jesus do Tocantins,Miracema
Não,Rio Sono,Miracema
Não,Araguaína,Araguína
Não,Axixá do Tocantins,Araguatins
Não,Xambioá,Araguína
Não,Palmeiras do Tocantins,Araguatins
Não,Miranorte,Miracema
Não,Santa Maria do Tocantins,Miracema
"Sim, período de seca",Pium,Paraiso
Não,Itaporã do Tocantins,Colinas
"Sim, período de seca",Pugmil,Paraiso
Não,Filadélfia,Araguína
Não,Nova Rosalândia,Paraiso
Não,Pium,Paraiso
Não,dois Irmãos do Tocantins,Paraiso
Não,Aragominas,Araguína
Não,Aragominas,Araguína
Não,Miranorte,Miracema
Não,Miranorte,Miracema
Não,Divinópolis do Tocantins,Paraiso
Não,Miranorte,Miracema
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
Não,dois Irmãos do Tocantins,Paraiso
Não,Araguaína,Araguína
Não,Araguaína,Araguína
Não,Babaçulândia,Araguína
Não,Itaguatins,Araguatins
"Sim, o ano todo",São Salvador do Tocantins,Gurupi
Não,Rio dos Bois,Miracema
Não,Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Pium,Paraiso
"Sim, período de seca",Araguanã,Araguína
Não,Araguaína,Araguína
Não,Cristalândia,Paraiso
"Sim, o ano todo",Chapada de Areia,Paraiso
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Pium,Paraiso
Não,Rio dos Bois,Miracema
Não,Filadélfia,Araguína
"Sim, período de seca",Almas,Taguatinga do Tocantins
"Sim, período de seca",Pium,Paraiso
"Sim, período de seca",Gurupi,Gurupi
Não,Talismã,Gurupi
Não,Silvanópolis,Porto Nacional
"Sim, período de seca",Cristalândia,Paraiso
"Sim, período de seca",Araguatins,Araguatins
Não,Araguaína,Araguína
Não,Nova Rosalândia,Paraiso
Não,Silvanópolis,Porto Nacional
"Sim, período de seca",Pium,Paraiso
Não,Novo Jardim,Taguatinga do Tocantins
"Sim, período de seca",Novo Jardim,Taguatinga do Tocantins
"Sim, período de seca",Pium,Paraiso
Não,Tocantínia,Miracema
Não,Santa Fé do Araguaia,Araguína
"Sim, período de seca",Cristalândia,Paraiso
Não,Nova Rosalândia,Paraiso
Não,Cristalândia,Paraiso
Não,Araguaína,Araguína
"Sim, período de seca",Silvanópolis,Porto Nacional
Não,Caseara,Paraiso
Não,São Bento do Tocantins,Araguatins
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Araguanã,Araguína
"Sim, período de seca",,
Não,Pium,Paraiso
Não,Muricilândia,Araguína
Não,Santa Fé do Araguaia,Araguína
Não,Araguaína,Araguína
Não,Araguatins,Araguatins
Não,Araguatins,Araguatins
"Sim, período de seca",Araguaçu,Gurupi
Não,Guaraí,Colinas
Não,Guaraí,Colinas
Não,Aparecida do Rio Negro,Porto Nacional
"Sim, período de seca",Araguatins,Araguatins
"Sim, período de seca",Rio da Conceição,Taguatinga do Tocantins
Não,Angico,Araguatins
Não,Pium,Paraiso
Não,Muricilândia,Araguína
Não,Santa Terezinha do Tocantins,Araguatins
"Sim, período de seca",Fátima,Porto Nacional
Não,Miracema do Tocantins,Miracema
"Sim, período de seca",Peixe,Gurupi
"Sim, período de seca",Peixe,Gurupi
"Sim, período de seca",Aliança do Tocantins,Gurupi
Não,Cristalândia,Paraiso
Não,Paraíso do Tocantins,Paraiso
"Sim, período de seca",Chapada de Areia,Paraiso
Não,Pium,Paraiso
Não,Colméia,Colinas
Não,Colméia,Colinas
"Sim, período de seca",Chapada da Natividade,Porto Nacional
Não,Rio Sono,Miracema
Não,Pugmil,Paraiso
Não,dois Irmãos do Tocantins,Paraiso
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Ipueiras,Porto Nacional
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Araguaína,Araguína
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
Não,Rio Sono,Miracema
Não,Nova Olinda,Araguína
Não,Miranorte,Miracema
Não,Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Bandeirantes do Tocantins,Colinas
"Sim, período de seca",Almas,Taguatinga do Tocantins
Não,Araguaína,Araguína
"Sim, período de seca",Xambioá,Araguína
Não,Piraquê,Araguína
Não,Araguaína,Araguína
"Sim, período de seca",Pium,Paraiso
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
Não,Dianópolis,Taguatinga do Tocantins
Não,Piraquê,Araguína
Não,Fortaleza do Tabocão,Miracema
Não,Axixá do Tocantins,Araguatins
Não,Miranorte,Miracema
Não,Axixá do Tocantins,Araguatins
Não,Chapada de Areia,Paraiso
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
Não,Chapada de Areia,Paraiso
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Novo Acordo,Porto Nacional
Não,Bandeirantes do Tocantins,Colinas
Não,Dianópolis,Taguatinga do Tocantins
Não,Araguaína,Araguína
Não,Bom Jesus do Tocantins,Miracema
Não,Nova Olinda,Araguína
Não,Bandeirantes do Tocantins,Colinas
Não,Nova Olinda,Araguína
Não,Chapada de Areia,Paraiso
"Sim, período de seca",Dianópolis,Taguatinga do Tocantins
"Sim, período de seca",Chapada de Areia,Paraiso
Não,Araguaína,Araguína
"Sim, período de seca",Goiatins,Araguína
"Sim, período de seca",Chapada de Areia,Paraiso
Não,Rio dos Bois,Miracema
"Sim, período de seca",Babaçulândia,Araguína
Não,Piraquê,Araguína
"Sim, período de seca",Chapada de Areia,Paraiso
Não,dois Irmãos do Tocantins,Paraiso
Não,Rio dos Bois,Miracema
Não,Miracema do Tocantins,Miracema
Não,Dianópolis,Taguatinga do Tocantins
Não,Miranorte,Miracema
Não,Rio Sono,Miracema
Não,Rio Sono,Miracema
"Sim, período de seca",Palmeiras do Tocantins,Araguatins
Não,Rio Sono,Miracema
Não,Pedro Afonso,Miracema
Não,Miracema do Tocantins,Miracema
Não,Miracema do Tocantins,Miracema
Não,Tocantínia,Miracema
Não,Rio da Conceição,Taguatinga do Tocantins
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
"Sim, período de seca",Xambioá,Araguína
Não,darcinópolis,Araguatins
Não,Palmeiras do Tocantins,Araguatins
Não,Cristalândia,Paraiso
Não,Abreulândia,Paraiso
Não,Rio Sono,Miracema
Não,Santa Maria do Tocantins,Miracema
Não,Palmeirópolis,Gurupi
"Sim, período de seca",Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Tocantínia,Miracema
Não,Tupirama,Miracema
Não,Caseara,Paraiso
"Sim, período de seca",Sítio Novo do Tocantins,Araguatins
Não,Rio da Conceição,Taguatinga do Tocantins
Não,Palmeiras do Tocantins,Araguatins
Não,Rio da Conceição,Taguatinga do Tocantins
"Sim, período de seca",Pugmil,Paraiso
Não,Palmeiras do Tocantins,Araguatins
"Sim, período de seca",Riachinho,Araguatins
Não,darcinópolis,Araguatins
Não,Alvorada,Gurupi
Não,,
Não,Palmeiras do Tocantins,Araguatins
Não,Palmeiras do Tocantins,Araguatins
Não,Nova Rosalândia,Paraiso
