atividade_produtiva,area_da_propriedade__hectares__,count
Suinocultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Avicultura,1 - 5 ha,1
Suinocultura,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Fruticultura,1 - 5 ha,1
Bovinocultura de corte,5 - 10 ha,1
Avicultura,5 - 10 ha,1
Suinocultura,5 - 10 ha,1
Pisicultura,5 - 10 ha,1
Bovinocultura de leite,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Bovinocultura de corte,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Pisicultura,50 - 100 ha,1
Bovinocultura de corte,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Fruticultura,10 - 20 ha,1
Olericultura,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Suinocultura,10 - 20 ha,1
Pisicultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Olericultura,10 - 20 ha,1
Bovinocultura de leite,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Apicultura,10 - 20 ha,1
Meliponicultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Bovinocultura de corte,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Olericultura,50 - 100 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Extrativismo vegetal,20 - 50 ha,1
Bovinocultura de corte,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Bovinocultura de leite,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Extrativismo vegetal,20 - 50 ha,1
Avicultura,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Fruticultura,1 - 5 ha,1
Olericultura,1 - 5 ha,1
Culturas anuais,1 - 5 ha,1
Bovinocultura de corte,1 - 5 ha,1
Avicultura,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Culturas anuais,1 - 5 ha,1
Avicultura,1 - 5 ha,1
Suinocultura,1 - 5 ha,1
Pisicultura,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Olericultura,1 - 5 ha,1
Bovinocultura de corte,1 - 5 ha,1
Avicultura,1 - 5 ha,1
Suinocultura,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Bovinocultura de corte,5 - 10 ha,1
Avicultura,5 - 10 ha,1
Suinocultura,5 - 10 ha,1
Olericultura,5 - 10 ha,1
Avicultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Avicultura,5 - 10 ha,1
Apicultura,5 - 10 ha,1
Meliponicultura,5 - 10 ha,1
Mandiocultura,5 - 10 ha,1
Fruticultura,5 - 10 ha,1
Culturas anuais,5 - 10 ha,1
Bovinocultura de leite,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Suinocultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Bovinocultura de corte,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Ovinocaprinocultura,50 - 100 ha,1
Pisicultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Avicultura,1 - 5 ha,1
Olericultura,1 - 5 ha,1
Culturas anuais,1 - 5 ha,1
Bovinocultura de corte,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Bovinocultura de corte,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Extrativismo vegetal,50 - 100 ha,1
Cupuaçu,50 - 100 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Pisicultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Culturas anuais,50 - 100 ha,1
Avicultura,1 - 5 ha,1
Suinocultura,1 - 5 ha,1
Pisicultura,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Culturas anuais,1 - 5 ha,1
Bovinocultura de corte,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Bovinocultura de corte,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Apicultura,50 - 100 ha,1
Meliponicultura,50 - 100 ha,1
Cana -de-açucar,50 - 100 ha,1
Extrativismo vegetal,200 - 320 ha,1
Pesca,200 - 320 ha,1
Pisicultura,20 - 50 ha,1
Avicultura,10 - 20 ha,1
Suinocultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Fruticultura,10 - 20 ha,1
Culturas anuais,10 - 20 ha,1
Bovinocultura de corte,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Olericultura,50 - 100 ha,1
Bovinocultura de leite,Até 1 ha,1
Avicultura,Até 1 ha,1
Mandiocultura,Até 1 ha,1
Fruticultura,Até 1 ha,1
Olericultura,Até 1 ha,1
Bovinocultura de leite,5 - 10 ha,1
Avicultura,5 - 10 ha,1
Suinocultura,5 - 10 ha,1
Mandiocultura,5 - 10 ha,1
Fruticultura,5 - 10 ha,1
Bovinocultura de corte,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Pisicultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Bovinocultura de corte,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Bovinocultura de corte,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Bovinocultura de leite,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Bovinocultura de corte,100 - 200 ha,1
Fruticultura,100 - 200 ha,1
Extrativismo vegetal,100 - 200 ha,1
,100 - 200 ha,1
Bovinocultura de corte,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Suinocultura,10 - 20 ha,1
Fruticultura,10 - 20 ha,1
Bovinocultura de leite,1 - 5 ha,1
Avicultura,1 - 5 ha,1
Suinocultura,1 - 5 ha,1
Olericultura,1 - 5 ha,1
Bovinocultura de corte,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Pisicultura,10 - 20 ha,1
Fruticultura,10 - 20 ha,1
Bovinocultura de corte,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Ovinocaprinocultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Avicultura,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Culturas anuais,50 - 100 ha,1
Bovinocultura de leite,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Milho,20 - 50 ha,1
Mandiocultura,100 - 200 ha,1
Avicultura,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Olericultura,50 - 100 ha,1
Culturas anuais,50 - 100 ha,1
Bovinocultura de corte,20 - 50 ha,1
Bovinocultura de leite,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Avicultura,Até 1 ha,1
Mandiocultura,Até 1 ha,1
Fruticultura,Até 1 ha,1
Olericultura,Até 1 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Bovinocultura de corte,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Fruticultura,1 - 5 ha,1
Suinocultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Bovinocultura de leite,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Apicultura,50 - 100 ha,1
Meliponicultura,50 - 100 ha,1
Bovinocultura de leite,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Pisicultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Avicultura,10 - 20 ha,1
Suinocultura,10 - 20 ha,1
Fruticultura,10 - 20 ha,1
Culturas anuais,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Suinocultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Cana de açucar,10 - 20 ha,1
Avicultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Avicultura,1 - 5 ha,1
Ovinocaprinocultura,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Fruticultura,1 - 5 ha,1
Bovinocultura de corte,100 - 200 ha,1
Avicultura,100 - 200 ha,1
Suinocultura,100 - 200 ha,1
Silvicultura,100 - 200 ha,1
Bovinocultura de corte,10 - 20 ha,1
Bovinocultura de leite,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Suinocultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Bovinocultura de leite,1 - 5 ha,1
Fruticultura,1 - 5 ha,1
Olericultura,1 - 5 ha,1
Bovinocultura de leite,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Olericultura,10 - 20 ha,1
Culturas anuais,5 - 10 ha,1
Bovinocultura de corte,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Bovinocultura de corte,200 - 320 ha,1
Ovinocaprinocultura,200 - 320 ha,1
Bovinocultura de leite,1 - 5 ha,1
Avicultura,1 - 5 ha,1
Suinocultura,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Extrativismo vegetal,20 - 50 ha,1
Bovinocultura de leite,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Suinocultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Fruticultura,10 - 20 ha,1
Olericultura,10 - 20 ha,1
Bovinocultura de leite,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Pisicultura,10 - 20 ha,1
Bovinocultura de leite,Até 1 ha,1
Avicultura,Até 1 ha,1
Suinocultura,Até 1 ha,1
Mandiocultura,Até 1 ha,1
Bovinocultura de corte,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Bovinocultura de corte,100 - 200 ha,1
Avicultura,100 - 200 ha,1
Suinocultura,100 - 200 ha,1
Mandiocultura,100 - 200 ha,1
Suinocultura,1 - 5 ha,1
Olericultura,1 - 5 ha,1
Culturas anuais,1 - 5 ha,1
Bovinocultura de corte,50 - 100 ha,1
Pisicultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Bovinocultura de corte,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Banana,20 - 50 ha,1
Mandiocultura,10 - 20 ha,1
Fruticultura,10 - 20 ha,1
Olericultura,10 - 20 ha,1
Bovinocultura de corte,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Culturas anuais,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Bovinocultura de leite,10 - 20 ha,1
Turismo,10 - 20 ha,1
Artesanato,10 - 20 ha,1
Bovinocultura de leite,5 - 10 ha,1
Avicultura,5 - 10 ha,1
Pisicultura,5 - 10 ha,1
Mandiocultura,5 - 10 ha,1
Olericultura,5 - 10 ha,1
Culturas anuais,5 - 10 ha,1
Bovinocultura de corte,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Bovinocultura de corte,100 - 200 ha,1
Extrativismo vegetal,100 - 200 ha,1
Bovinocultura de corte,100 - 200 ha,1
Bovinocultura de leite,100 - 200 ha,1
Avicultura,100 - 200 ha,1
Suinocultura,100 - 200 ha,1
Ovinocaprinocultura,100 - 200 ha,1
Avicultura,100 - 200 ha,1
Suinocultura,100 - 200 ha,1
Bovinocultura de corte,5 - 10 ha,1
Mandiocultura,5 - 10 ha,1
Avicultura,1 - 5 ha,1
Apicultura,1 - 5 ha,1
Meliponicultura,1 - 5 ha,1
Bovinocultura de corte,20 - 50 ha,1
Bovinocultura de leite,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Extrativismo vegetal,20 - 50 ha,1
Avicultura,1 - 5 ha,1
Extrativismo vegetal,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Olericultura,1 - 5 ha,1
Culturas anuais,1 - 5 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Culturas anuais,50 - 100 ha,1
Extrativismo vegetal,50 - 100 ha,1
Bovinocultura de leite,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Ovinocaprinocultura,20 - 50 ha,1
Apicultura,20 - 50 ha,1
Meliponicultura,20 - 50 ha,1
Mandiocultura,Até 1 ha,1
Olericultura,Até 1 ha,1
Culturas anuais,Até 1 ha,1
Fruticultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Apicultura,20 - 50 ha,1
Meliponicultura,20 - 50 ha,1
Pisicultura,1 - 5 ha,1
Fruticultura,1 - 5 ha,1
Bovinocultura de leite,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Extrativismo vegetal,20 - 50 ha,1
Avicultura,1 - 5 ha,1
Fruticultura,1 - 5 ha,1
Bovinocultura de corte,5 - 10 ha,1
Bovinocultura de leite,5 - 10 ha,1
Bovinocultura mista (touro - com características de corte,5 - 10 ha,1
Vaca - cruzada,5 - 10 ha,1
Principais produtos comercializados - bezerros,5 - 10 ha,1
Leite) -,5 - 10 ha,1
Avicultura,5 - 10 ha,1
Mandiocultura,5 - 10 ha,1
Fruticultura,5 - 10 ha,1
Culturas anuais,5 - 10 ha,1
Extrativismo vegetal,5 - 10 ha,1
Bovinocultura de leite,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Apicultura,20 - 50 ha,1
Meliponicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Bovinocultura de corte,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Olericultura,50 - 100 ha,1
Suinocultura,10 - 20 ha,1
Sem atividade produtiva ainda,5 - 10 ha,1
Bovinocultura de corte,200 - 320 ha,1
Avicultura,200 - 320 ha,1
Apicultura,200 - 320 ha,1
Bovinocultura de leite,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Pisicultura,50 - 100 ha,1
Bovinocultura mista (touro - com características de corte,100 - 200 ha,1
Vaca - cruzada,100 - 200 ha,1
Principais produtos comercializados - bezerros,100 - 200 ha,1
Leite) -,100 - 200 ha,1
Avicultura,100 - 200 ha,1
Mandiocultura,100 - 200 ha,1
Fruticultura,100 - 200 ha,1
Olericultura,100 - 200 ha,1
Culturas anuais,100 - 200 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Bovinocultura de corte,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Extrativismo vegetal,20 - 50 ha,1
Bovinocultura de corte,100 - 200 ha,1
Bovinocultura de leite,100 - 200 ha,1
Avicultura,100 - 200 ha,1
Suinocultura,100 - 200 ha,1
Olericultura,100 - 200 ha,1
Culturas anuais,100 - 200 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Extrativismo vegetal,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Bovinocultura de corte,Acima de 320 ha,1
Bovinocultura de leite,Acima de 320 ha,1
Avicultura,10 - 20 ha,1
Pisicultura,10 - 20 ha,1
Mandiocultura,10 - 20 ha,1
Avicultura,5 - 10 ha,1
Apicultura,5 - 10 ha,1
Meliponicultura,5 - 10 ha,1
Pisicultura,5 - 10 ha,1
Mandiocultura,5 - 10 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Pisicultura,50 - 100 ha,1
Extrativismo vegetal,50 - 100 ha,1
Apicultura,1 - 5 ha,1
Meliponicultura,1 - 5 ha,1
Mandiocultura,1 - 5 ha,1
Cana,1 - 5 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Bovinocultura de leite,5 - 10 ha,1
Avicultura,5 - 10 ha,1
Pisicultura,5 - 10 ha,1
Bovinocultura mista (touro - com características de corte,5 - 10 ha,1
Vaca - cruzada,5 - 10 ha,1
Principais produtos comercializados - bezerros,5 - 10 ha,1
Leite) -,5 - 10 ha,1
Bovinocultura de corte,20 - 50 ha,1
Bovinocultura de leite,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Ovinocaprinocultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Extrativismo vegetal,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Bovinocultura de corte,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Mandiocultura,50 - 100 ha,1
Culturas anuais,50 - 100 ha,1
Bovinocultura de corte,5 - 10 ha,1
Avicultura,5 - 10 ha,1
Pisicultura,5 - 10 ha,1
Bovinocultura mista (touro - com características de corte,10 - 20 ha,1
Vaca - cruzada,10 - 20 ha,1
Principais produtos comercializados - bezerros,10 - 20 ha,1
Leite) -,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Fruticultura,20 - 50 ha,1
Mandiocultura,Até 1 ha,1
Culturas anuais,Até 1 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,5 - 10 ha,1
Vaca - cruzada,5 - 10 ha,1
Principais produtos comercializados - bezerros,5 - 10 ha,1
Leite) -,5 - 10 ha,1
Culturas anuais,5 - 10 ha,1
Bovinocultura de corte,100 - 200 ha,1
Avicultura,100 - 200 ha,1
Fruticultura,100 - 200 ha,1
Bovinocultura de leite,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Bovinocultura de corte,1 - 5 ha,1
Bovinocultura mista (touro - com características de corte,1 - 5 ha,1
Vaca - cruzada,1 - 5 ha,1
Principais produtos comercializados - bezerros,1 - 5 ha,1
Leite) -,1 - 5 ha,1
Avicultura,20 - 50 ha,1
Ovinocaprinocultura,20 - 50 ha,1
Bovinocultura de corte,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,10 - 20 ha,1
Vaca - cruzada,10 - 20 ha,1
Principais produtos comercializados - bezerros,10 - 20 ha,1
Leite) -,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Suinocultura,10 - 20 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Pisicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Pisicultura,50 - 100 ha,1
Bovinocultura mista (touro - com características de corte,10 - 20 ha,1
Vaca - cruzada,10 - 20 ha,1
Principais produtos comercializados - bezerros,10 - 20 ha,1
Leite) -,10 - 20 ha,1
Avicultura,10 - 20 ha,1
Pisicultura,10 - 20 ha,1
Olericultura,10 - 20 ha,1
Bovinocultura de corte,50 - 100 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Suinocultura,20 - 50 ha,1
Olericultura,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Mandiocultura,20 - 50 ha,1
Quiabo,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Apicultura,50 - 100 ha,1
Meliponicultura,50 - 100 ha,1
Gado de cria,20 - 50 ha,1
Bovinocultura de leite,Até 1 ha,1
Bovinocultura de leite,5 - 10 ha,1
Avicultura,5 - 10 ha,1
Bovinocultura de corte,5 - 10 ha,1
Avicultura,5 - 10 ha,1
Suinocultura,5 - 10 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Olericultura,50 - 100 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
Principais produtos comercializados - bezerros,20 - 50 ha,1
Leite) -,20 - 50 ha,1
Avicultura,20 - 50 ha,1
Culturas anuais,20 - 50 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Mandiocultura,50 - 100 ha,1
Olericultura,50 - 100 ha,1
Bovinocultura mista (touro - com características de corte,50 - 100 ha,1
Vaca - cruzada,50 - 100 ha,1
Principais produtos comercializados - bezerros,50 - 100 ha,1
Leite) -,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Ovinocaprinocultura,50 - 100 ha,1
Bovinocultura mista (touro - com características de corte,20 - 50 ha,1
Vaca - cruzada,20 - 50 ha,1
