uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
Aceiros,Pouco degradado,Paranã,1
Consórcio,Pouco degradado,Paranã,1
Descarte correto de embalagens,Pouco degradado,Paranã,1
Recuperação de pastagens,Pouco degradado,Paranã,1
Plantio direto,Pouco degradado,Paranã,1
Aceiros,,Palmas,1
Calagem,,Rio dos Bois,1
Reaproveitamento de residuos,Não possui degradação,Paranã,1
Aceiros,Não possui degradação,Paranã,1
Consórcio,Não possui degradação,Paranã,1
Aceiros,Degradação Média,Filadélfia,1
Não usa,Degradação Média,Filadélfia,1
Reaproveitamento de residuos,,Araguatins,1
Rotação de cultura,,Araguatins,1
Aceiros,,Araguatins,1
Calagem,,Araguatins,1
Consórcio,,Araguatins,1
Descarte correto de embalagens,,Araguatins,1
Plantio direto,,Araguatins,1
Adubação,,Araguatins,1
Calagem,,Filadélfia,1
Adubação,,Filadélfia,1
Adubação verde,,Pedro Afonso,1
Rotação de cultura,,Pedro Afonso,1
Aceiros,,Pedro Afonso,1
Consórcio,,Pedro Afonso,1
Rotação de cultura,Pouco degradado,Peixe,1
Aceiros,Pouco degradado,Peixe,1
Recuperação de pastagens,Pouco degradado,Peixe,1
Adubação,Pouco degradado,Peixe,1
Adubação,,Rio Sono,1
Adubação verde,,Bom Jesus do Tocantins,1
Aceiros,,Bom Jesus do Tocantins,1
Plantio direto,,Bom Jesus do Tocantins,1
Adubação,,Bom Jesus do Tocantins,1
Aceiros,Não possui degradação,Figueirópolis,1
Adubação,Não possui degradação,Figueirópolis,1
Rotação de cultura,Pouco degradado,Divinópolis do Tocantins,1
Aceiros,Pouco degradado,Divinópolis do Tocantins,1
Aceiros,Pouco degradado,Palmas,1
Aceiros,,dois Irmãos do Tocantins,1
Calagem,,dois Irmãos do Tocantins,1
Plantio direto,,dois Irmãos do Tocantins,1
Adubação,,dois Irmãos do Tocantins,1
Rotação de cultura,,Rio Sono,1
Aceiros,,Rio Sono,1
Curva de nível,,Novo Jardim,1
Rotação de cultura,Pouco degradado,Chapada da Natividade,1
Aceiros,Pouco degradado,Chapada da Natividade,1
Calagem,Pouco degradado,Chapada da Natividade,1
Recuperação de pastagens,Pouco degradado,Chapada da Natividade,1
Adubação,Pouco degradado,Chapada da Natividade,1
Adubação verde,,Palmas,1
Reaproveitamento de residuos,,Palmas,1
Rotação de cultura,,Palmas,1
Plantio direto,,Palmas,1
Adubação,,Palmas,1
Aceiros,Pouco degradado,Chapada da Natividade,1
Aceiros,Pouco degradado,Rio Sono,1
Aceiros,Pouco degradado,Tocantínia,1
Descarte correto de embalagens,Pouco degradado,Tocantínia,1
Recuperação de pastagens,Pouco degradado,Tocantínia,1
Adubação,Pouco degradado,Tocantínia,1
Adubação verde,Pouco degradado,Colméia,1
Adubação,Pouco degradado,Colméia,1
Adubação,,Barrolândia,1
Calagem,Pouco degradado,Cariri do Tocantins,1
Recuperação de pastagens,Pouco degradado,Cariri do Tocantins,1
Aceiros,Não possui degradação,Caseara,1
Aceiros,Muito degradado,Silvanópolis,1
Calagem,Muito degradado,Silvanópolis,1
Adubação,Muito degradado,Silvanópolis,1
Rotação de cultura,Pouco degradado,Paraíso do Tocantins,1
Calagem,Pouco degradado,Paraíso do Tocantins,1
Não usa,,Divinópolis do Tocantins,1
,,Divinópolis do Tocantins,1
Aceiros,Pouco degradado,Axixá do Tocantins,1
Recuperação de pastagens,Pouco degradado,Axixá do Tocantins,1
Aceiros,Não possui degradação,Barrolândia,1
Aceiros,Pouco degradado,Itaguatins,1
Recuperação de pastagens,Pouco degradado,Itaguatins,1
Rotação de cultura,Pouco degradado,Xambioá,1
Aceiros,Pouco degradado,Xambioá,1
Descarte correto de embalagens,,Dianópolis,1
Recuperação de pastagens,,Dianópolis,1
Adubação,,Dianópolis,1
Aceiros,Pouco degradado,Silvanópolis,1
Calagem,Pouco degradado,Silvanópolis,1
Recuperação de pastagens,Pouco degradado,Silvanópolis,1
Adubação,Pouco degradado,Silvanópolis,1
Recuperação de pastagens,Pouco degradado,Xambioá,1
Plantio direto,Pouco degradado,Xambioá,1
Aceiros,Pouco degradado,Aliança do Tocantins,1
Não usa,Pouco degradado,Aliança do Tocantins,1
Reaproveitamento de residuos,,Barrolândia,1
Rotação de cultura,,Barrolândia,1
Calagem,,Barrolândia,1
Rotação de cultura,Degradação Média,Tocantínia,1
Consórcio,Degradação Média,Tocantínia,1
Adubação,Degradação Média,Tocantínia,1
Adubação verde,Degradação Média,Xambioá,1
Adubação,Degradação Média,Xambioá,1
Aceiros,Não possui degradação,Axixá do Tocantins,1
Recuperação de pastagens,Não possui degradação,Axixá do Tocantins,1
Não usa,Muito degradado,Marianópolis do Tocantins,1
Adubação verde,Não possui degradação,Pedro Afonso,1
Aceiros,Não possui degradação,Pedro Afonso,1
Aceiros,Degradação Média,dois Irmãos do Tocantins,1
Adubação,Degradação Média,dois Irmãos do Tocantins,1
Aceiros,Pouco degradado,Axixá do Tocantins,1
Recuperação de pastagens,Pouco degradado,Axixá do Tocantins,1
Aceiros,,Dianópolis,1
Consórcio,,Dianópolis,1
Rotação de cultura,,Miracema do Tocantins,1
Adubação,,Miracema do Tocantins,1
Curva de nível,Degradação Média,Couto Magalhães,1
Adubação verde,Degradação Média,Couto Magalhães,1
Reaproveitamento de residuos,Degradação Média,Couto Magalhães,1
Rotação de cultura,Degradação Média,Couto Magalhães,1
Rotação de cultura,Degradação Média,Xambioá,1
Adubação,Degradação Média,Xambioá,1
Aceiros,Degradação Média,Axixá do Tocantins,1
Consórcio,Não possui degradação,Ananás,1
Descarte correto de embalagens,Não possui degradação,Ananás,1
Recuperação de pastagens,Não possui degradação,Ananás,1
Plantio direto,Não possui degradação,Ananás,1
Adubação,Não possui degradação,Ananás,1
Adubação verde,Pouco degradado,Peixe,1
Aceiros,Pouco degradado,Peixe,1
Calagem,Pouco degradado,Peixe,1
Recuperação de pastagens,Pouco degradado,Peixe,1
Adubação,Pouco degradado,Peixe,1
Aceiros,Pouco degradado,Axixá do Tocantins,1
Recuperação de pastagens,Pouco degradado,Axixá do Tocantins,1
Aceiros,,Figueirópolis,1
Calagem,,Figueirópolis,1
Recuperação de pastagens,,Figueirópolis,1
Adubação,,Figueirópolis,1
Rotação de cultura,,Aguiarnópolis,1
Consórcio,,Aguiarnópolis,1
Adubação,,Aguiarnópolis,1
Aceiros,Pouco degradado,Aragominas,1
Plantio direto,Pouco degradado,Aragominas,1
Rotação de cultura,Pouco degradado,Axixá do Tocantins,1
Descarte correto de embalagens,Pouco degradado,Axixá do Tocantins,1
Recuperação de pastagens,Pouco degradado,Axixá do Tocantins,1
Adubação,Pouco degradado,Axixá do Tocantins,1
Rotação de cultura,Pouco degradado,Palmeiras do Tocantins,1
Aceiros,Pouco degradado,Palmeiras do Tocantins,1
Calagem,Pouco degradado,Palmeiras do Tocantins,1
Adubação,Pouco degradado,Palmeiras do Tocantins,1
Aceiros,Pouco degradado,Peixe,1
Adubação,Pouco degradado,Peixe,1
Calagem,Pouco degradado,Peixe,1
Recuperação de pastagens,Pouco degradado,Peixe,1
Adubação,Pouco degradado,Peixe,1
Rotação de cultura,Pouco degradado,Monte Santo do Tocantins,1
Adubação,Pouco degradado,Monte Santo do Tocantins,1
Aceiros,Pouco degradado,Gurupi,1
Calagem,Pouco degradado,Gurupi,1
Adubação,Pouco degradado,Gurupi,1
Aceiros,Não possui degradação,Santa Terezinha do Tocantins,1
Consórcio,Não possui degradação,Santa Terezinha do Tocantins,1
Adubação,Não possui degradação,Santa Terezinha do Tocantins,1
Aceiros,Degradação Média,Monte do Carmo,1
Reaproveitamento de residuos,Pouco degradado,Babaçulândia,1
Rotação de cultura,Pouco degradado,Babaçulândia,1
Aceiros,Pouco degradado,Babaçulândia,1
Consórcio,Pouco degradado,Babaçulândia,1
Recuperação de pastagens,Pouco degradado,Babaçulândia,1
Plantio direto,Pouco degradado,Babaçulândia,1
Adubação verde,Degradação Média,Monte Santo do Tocantins,1
Plantio direto,Degradação Média,Monte Santo do Tocantins,1
Plantio direto,Pouco degradado,Goiatins,1
Adubação,Pouco degradado,Goiatins,1
Aceiros,Não possui degradação,Divinópolis do Tocantins,1
Calagem,Não possui degradação,Divinópolis do Tocantins,1
Recuperação de pastagens,Não possui degradação,Divinópolis do Tocantins,1
Adubação,Não possui degradação,Divinópolis do Tocantins,1
Plantio direto,Pouco degradado,Dianópolis,1
Adubação,Pouco degradado,Dianópolis,1
Reaproveitamento de residuos,Pouco degradado,Monte Santo do Tocantins,1
Rotação de cultura,Pouco degradado,Monte Santo do Tocantins,1
Calagem,Pouco degradado,Monte Santo do Tocantins,1
Adubação,Pouco degradado,Monte Santo do Tocantins,1
Aceiros,Degradação Média,Barrolândia,1
Não usa,Degradação Média,Barrolândia,1
Reaproveitamento de residuos,Pouco degradado,Fortaleza do Tabocão,1
Aceiros,Pouco degradado,Fortaleza do Tabocão,1
Descarte correto de embalagens,Pouco degradado,Fortaleza do Tabocão,1
Adubação,Pouco degradado,Fortaleza do Tabocão,1
Não usa,Não possui degradação,Guaraí,1
Aceiros,Não possui degradação,Novo Jardim,1
Adubação,Não possui degradação,Novo Jardim,1
Rotação de cultura,Degradação Média,Xambioá,1
Plantio direto,Degradação Média,Xambioá,1
Adubação,Degradação Média,Xambioá,1
Adubação verde,Não possui degradação,Almas,1
Reaproveitamento de residuos,Não possui degradação,Almas,1
Aceiros,Não possui degradação,Almas,1
Calagem,Não possui degradação,Almas,1
Adubação,Não possui degradação,Almas,1
Adubação verde,Pouco degradado,Colméia,1
Adubação,Pouco degradado,Colméia,1
Aceiros,Pouco degradado,Piraquê,1
Calagem,Pouco degradado,Piraquê,1
Adubação,Pouco degradado,Piraquê,1
Aceiros,Não possui degradação,Filadélfia,1
Adubação verde,Pouco degradado,Paranã,1
Aceiros,Pouco degradado,Paranã,1
Consórcio,Pouco degradado,Paranã,1
Descarte correto de embalagens,Pouco degradado,Paranã,1
Recuperação de pastagens,Pouco degradado,Paranã,1
Plantio direto,Pouco degradado,Paranã,1
Aceiros,Pouco degradado,,1
Adubação verde,Pouco degradado,Fortaleza do Tabocão,1
Reaproveitamento de residuos,Pouco degradado,Fortaleza do Tabocão,1
Aceiros,Pouco degradado,Fortaleza do Tabocão,1
Calagem,Pouco degradado,Fortaleza do Tabocão,1
Adubação,Pouco degradado,Fortaleza do Tabocão,1
Aceiros,Não possui degradação,Dianópolis,1
Calagem,Não possui degradação,Dianópolis,1
Rotação de cultura,Não possui degradação,Axixá do Tocantins,1
Aceiros,Não possui degradação,Axixá do Tocantins,1
Descarte correto de embalagens,Não possui degradação,Axixá do Tocantins,1
Calagem,Degradação Média,Nova Olinda,1
Consórcio,Degradação Média,Nova Olinda,1
Recuperação de pastagens,Degradação Média,Nova Olinda,1
Adubação,Degradação Média,Nova Olinda,1
Reaproveitamento de residuos,,Barrolândia,1
Rotação de cultura,,Barrolândia,1
Calagem,,Barrolândia,1
Adubação,,Barrolândia,1
Rotação de cultura,Não possui degradação,Piraquê,1
Adubação,Não possui degradação,Piraquê,1
Rotação de cultura,Degradação Média,Praia Norte,1
Aceiros,Degradação Média,Praia Norte,1
Consórcio,Degradação Média,Praia Norte,1
Adubação verde,Pouco degradado,Paraíso do Tocantins,1
Aceiros,Pouco degradado,Paraíso do Tocantins,1
Calagem,Pouco degradado,Paraíso do Tocantins,1
Recuperação de pastagens,Pouco degradado,Paraíso do Tocantins,1
Adubação,Pouco degradado,Paraíso do Tocantins,1
Rotação de cultura,Pouco degradado,Bandeirantes do Tocantins,1
Descarte correto de embalagens,Pouco degradado,Bandeirantes do Tocantins,1
Rotação de cultura,Não possui degradação,Dianópolis,1
Aceiros,Não possui degradação,Dianópolis,1
Adubação,Não possui degradação,Dianópolis,1
Consórcio,Pouco degradado,Cariri do Tocantins,1
Recuperação de pastagens,Pouco degradado,Cariri do Tocantins,1
Reaproveitamento de residuos,Não possui degradação,Araguatins,1
Rotação de cultura,Não possui degradação,Araguatins,1
Aceiros,Não possui degradação,Araguatins,1
Consórcio,Não possui degradação,Araguatins,1
Descarte correto de embalagens,Não possui degradação,Araguatins,1
Recuperação de pastagens,Não possui degradação,Araguatins,1
Plantio direto,Não possui degradação,Araguatins,1
Adubação,Não possui degradação,Araguatins,1
Aceiros,Degradação Média,Piraquê,1
Calagem,Degradação Média,Piraquê,1
Recuperação de pastagens,Degradação Média,Piraquê,1
Plantio direto,Degradação Média,Piraquê,1
Aceiros,Degradação Média,Chapada da Natividade,1
Recuperação de pastagens,Degradação Média,Chapada da Natividade,1
Não usa,Não possui degradação,Alvorada,1
Aceiros,,Miranorte,1
Calagem,,Miranorte,1
Adubação,,Miranorte,1
Reaproveitamento de residuos,Degradação Média,Nova Rosalândia,1
Plantio direto,Degradação Média,Nova Rosalândia,1
Adubação,Degradação Média,Nova Rosalândia,1
Reaproveitamento de residuos,Pouco degradado,Rio dos Bois,1
Aceiros,Pouco degradado,Rio dos Bois,1
Recuperação de pastagens,Pouco degradado,Rio dos Bois,1
Adubação,Pouco degradado,Rio dos Bois,1
Reaproveitamento de residuos,Não possui degradação,Divinópolis do Tocantins,1
Aceiros,Não possui degradação,Divinópolis do Tocantins,1
Calagem,Não possui degradação,Divinópolis do Tocantins,1
Plantio direto,Não possui degradação,Divinópolis do Tocantins,1
Adubação,Não possui degradação,Divinópolis do Tocantins,1
Aceiros,Não possui degradação,Rio Sono,1
Calagem,Não possui degradação,Rio Sono,1
Adubação,Não possui degradação,Rio Sono,1
Aceiros,Pouco degradado,Santa Terezinha do Tocantins,1
Adubação,Pouco degradado,Santa Terezinha do Tocantins,1
Aceiros,,Carmolândia,1
Adubação,,Carmolândia,1
Curva de nível,,Dianópolis,1
Reaproveitamento de residuos,,Dianópolis,1
Calagem,,Dianópolis,1
Consórcio,,Dianópolis,1
Adubação,,Dianópolis,1
Aceiros,,Porto Nacional,1
Calagem,,Porto Nacional,1
Aceiros,,Aragominas,1
Aceiros,Não possui degradação,Sucupira,1
Descarte correto de embalagens,Não possui degradação,Itaporã do Tocantins,1
Plantio direto,Não possui degradação,Itaporã do Tocantins,1
Rotação de cultura,,Ponte Alta do Bom Jesus,1
Aceiros,,Ponte Alta do Bom Jesus,1
Calagem,,Ponte Alta do Bom Jesus,1
Adubação,,Ponte Alta do Bom Jesus,1
Adubação,,Alvorada,1
Reaproveitamento de residuos,,Wanderlândia,1
Calagem,,Wanderlândia,1
Adubação,,Wanderlândia,1
Adubação verde,,Nova Rosalândia,1
Reaproveitamento de residuos,,Nova Rosalândia,1
Calagem,,Nova Rosalândia,1
Adubação,,Nova Rosalândia,1
Aceiros,Pouco degradado,Paraíso do Tocantins,1
Adubação,Pouco degradado,Paraíso do Tocantins,1
Rotação de cultura,Degradação Média,Talismã,1
Aceiros,Degradação Média,Talismã,1
Calagem,Degradação Média,Talismã,1
Aceiros,Pouco degradado,Peixe,1
Calagem,Pouco degradado,Peixe,1
Recuperação de pastagens,Pouco degradado,Peixe,1
Adubação,Pouco degradado,Peixe,1
Plantio direto,Pouco degradado,Rio Sono,1
Aceiros,,Miranorte,1
Adubação,,Miranorte,1
Plantio direto,Pouco degradado,Cristalândia,1
Adubação,Pouco degradado,Peixe,1
Calagem,Degradação Média,Aliança do Tocantins,1
Adubação,Degradação Média,Aliança do Tocantins,1
Rotação de cultura,Pouco degradado,Paranã,1
Calagem,,Abreulândia,1
Adubação,,Abreulândia,1
Calagem,,Filadélfia,1
Adubação,,Filadélfia,1
Reaproveitamento de residuos,,São Miguel do Tocantins,1
Rotação de cultura,,São Miguel do Tocantins,1
Aceiros,,São Miguel do Tocantins,1
Calagem,,São Miguel do Tocantins,1
Adubação,,São Miguel do Tocantins,1
Reaproveitamento de residuos,Não possui degradação,Aurora do Tocantins,1
Aceiros,Não possui degradação,Aurora do Tocantins,1
Adubação,Não possui degradação,Aurora do Tocantins,1
Adubação verde,,Pugmil,1
Reaproveitamento de residuos,,Pugmil,1
Rotação de cultura,,Pugmil,1
Aceiros,Degradação Média,Aragominas,1
Reaproveitamento de residuos,,Riachinho,1
Rotação de cultura,,Riachinho,1
Aceiros,,Riachinho,1
Consórcio,,Riachinho,1
Adubação,,Dianópolis,1
Aceiros,Pouco degradado,Aragominas,1
Reaproveitamento de residuos,Não possui degradação,Colméia,1
Aceiros,Não possui degradação,Colméia,1
Calagem,Não possui degradação,Colméia,1
Adubação,Não possui degradação,Colméia,1
Não usa,,Wanderlândia,1
Adubação verde,Pouco degradado,Guaraí,1
Aceiros,Pouco degradado,Guaraí,1
Calagem,Pouco degradado,Guaraí,1
Consórcio,Pouco degradado,Guaraí,1
Adubação,Pouco degradado,Guaraí,1
Recuperação de pastagens,Não possui degradação,Alvorada,1
Não usa,,Chapada de Areia,1
Rotação de cultura,,Sítio Novo do Tocantins,1
Aceiros,,Sítio Novo do Tocantins,1
Calagem,,Sítio Novo do Tocantins,1
Descarte correto de embalagens,,Sítio Novo do Tocantins,1
Plantio direto,,Sítio Novo do Tocantins,1
Adubação,,Sítio Novo do Tocantins,1
Não usa,,Marianópolis do Tocantins,1
Consórcio,,Chapada de Areia,1
Adubação,,Chapada de Areia,1
Aceiros,,Lagoa da Confusão,1
Adubação,,Lagoa da Confusão,1
Curva de nível,,Monte do Carmo,1
Rotação de cultura,,Monte do Carmo,1
Aceiros,,Monte do Carmo,1
Calagem,,Monte do Carmo,1
Consórcio,,Monte do Carmo,1
Descarte correto de embalagens,,Monte do Carmo,1
Adubação,,Monte do Carmo,1
Reaproveitamento de residuos,Não possui degradação,Caseara,1
Rotação de cultura,Não possui degradação,Caseara,1
Adubação,Não possui degradação,Caseara,1
Rotação de cultura,,Caseara,1
Adubação,,Caseara,1
Rotação de cultura,,Wanderlândia,1
Aceiros,,Wanderlândia,1
Calagem,,Wanderlândia,1
Adubação,,Wanderlândia,1
Aceiros,,darcinópolis,1
Calagem,,darcinópolis,1
Adubação,,darcinópolis,1
Calagem,,darcinópolis,1
Adubação,,darcinópolis,1
Reaproveitamento de residuos,,Tocantínia,1
Aceiros,,Tocantínia,1
Adubação verde,,Monte Santo do Tocantins,1
Plantio direto,,Monte Santo do Tocantins,1
Adubação,,Monte Santo do Tocantins,1
Aceiros,Degradação Média,Muricilândia,1
Consórcio,Pouco degradado,Dianópolis,1
Plantio direto,Pouco degradado,Dianópolis,1
Adubação,Pouco degradado,Dianópolis,1
Aceiros,,Angico,1
Descarte correto de embalagens,,Angico,1
Adubação,,Angico,1
Rotação de cultura,Pouco degradado,Divinópolis do Tocantins,1
Calagem,Pouco degradado,Divinópolis do Tocantins,1
Adubação verde,,Caseara,1
Reaproveitamento de residuos,,Caseara,1
Aceiros,Pouco degradado,Colméia,1
Rotação de cultura,,Miracema do Tocantins,1
Calagem,,Miracema do Tocantins,1
Adubação,,Miracema do Tocantins,1
Aceiros,Não possui degradação,Cristalândia,1
Calagem,Pouco degradado,Alvorada,1
Adubação,Pouco degradado,Alvorada,1
Aceiros,Pouco degradado,Rio Sono,1
Calagem,Pouco degradado,Rio Sono,1
Adubação,Pouco degradado,Rio Sono,1
Aceiros,Pouco degradado,Barrolândia,1
Descarte correto de embalagens,Pouco degradado,Barrolândia,1
Recuperação de pastagens,Pouco degradado,Barrolândia,1
Plantio direto,Pouco degradado,Barrolândia,1
Aceiros,Degradação Média,Dueré,1
Adubação,Degradação Média,Dueré,1
Aceiros,Degradação Média,Silvanópolis,1
Calagem,Degradação Média,Silvanópolis,1
Adubação,Degradação Média,Silvanópolis,1
Rotação de cultura,,Araguatins,1
Aceiros,,Araguatins,1
Consórcio,,Araguatins,1
Plantio direto,,Araguatins,1
Adubação,,Araguatins,1
Aceiros,Degradação Média,Paraíso do Tocantins,1
Rotação de cultura,Não possui degradação,Lagoa da Confusão,1
Recuperação de pastagens,Não possui degradação,Lagoa da Confusão,1
Curva de nível,Não possui degradação,Nova Olinda,1
Adubação verde,Não possui degradação,Nova Olinda,1
Aceiros,Não possui degradação,Nova Olinda,1
Calagem,Não possui degradação,Nova Olinda,1
Rotação de cultura,Não possui degradação,Dianópolis,1
Consórcio,Não possui degradação,Dianópolis,1
Ilpf - integração lavoura pecuária,Não possui degradação,Dianópolis,1
Floresta,Não possui degradação,Dianópolis,1
Recuperação de pastagens,Não possui degradação,Dianópolis,1
Adubação,Não possui degradação,Dianópolis,1
Rotação de cultura,,Tupirama,1
Aceiros,,Tupirama,1
Adubação,,Tupirama,1
Aceiros,,Silvanópolis,1
Calagem,,Silvanópolis,1
Adubação,,Silvanópolis,1
Não usa,,Araguaçu,1
Reaproveitamento de residuos,Não possui degradação,Tocantínia,1
Aceiros,Não possui degradação,Tocantínia,1
Calagem,Não possui degradação,Tocantínia,1
Aceiros,Não possui degradação,Pium,1
Recuperação de pastagens,Não possui degradação,Pium,1
Adubação,Não possui degradação,Pium,1
Adubação verde,Degradação Média,Nova Rosalândia,1
Reaproveitamento de residuos,Degradação Média,Nova Rosalândia,1
Calagem,Degradação Média,Nova Rosalândia,1
Plantio direto,Degradação Média,Nova Rosalândia,1
Adubação,Degradação Média,Nova Rosalândia,1
Adubação verde,,Almas,1
Aceiros,,Almas,1
Curva de nível,Não possui degradação,Nova Olinda,1
Reaproveitamento de residuos,Não possui degradação,Nova Olinda,1
Rotação de cultura,Não possui degradação,Nova Olinda,1
Aceiros,Não possui degradação,Nova Olinda,1
Calagem,Não possui degradação,Nova Olinda,1
Aceiros,Degradação Média,Porto Alegre do Tocantins,1
Adubação verde,Não possui degradação,Dianópolis,1
Reaproveitamento de residuos,Não possui degradação,Dianópolis,1
Rotação de cultura,Não possui degradação,Dianópolis,1
Calagem,Não possui degradação,Dianópolis,1
Consórcio,Não possui degradação,Dianópolis,1
Adubação,Não possui degradação,Dianópolis,1
Rotação de cultura,Pouco degradado,Araguaína,1
Aceiros,Pouco degradado,Araguaína,1
Aceiros,Pouco degradado,Riachinho,1
Consórcio,Pouco degradado,Riachinho,1
Adubação,Pouco degradado,Riachinho,1
Rotação de cultura,,dois Irmãos do Tocantins,1
Aceiros,,dois Irmãos do Tocantins,1
Adubação,,dois Irmãos do Tocantins,1
Adubação verde,,Bandeirantes do Tocantins,1
Reaproveitamento de residuos,,Bandeirantes do Tocantins,1
Rotação de cultura,,Bandeirantes do Tocantins,1
Aceiros,,Bandeirantes do Tocantins,1
Consórcio,,Bandeirantes do Tocantins,1
Descarte correto de embalagens,,Bandeirantes do Tocantins,1
Adubação,,Bandeirantes do Tocantins,1
Reaproveitamento de residuos,Não possui degradação,Riachinho,1
Descarte correto de embalagens,Não possui degradação,Riachinho,1
Reaproveitamento de residuos,Degradação Média,Dianópolis,1
Aceiros,Degradação Média,Dianópolis,1
Consórcio,Degradação Média,Dianópolis,1
Adubação verde,,Lajeado,1
Plantio direto,,Lajeado,1
Adubação,,Lajeado,1
Aceiros,Degradação Média,Monte do Carmo,1
Calagem,Degradação Média,Monte do Carmo,1
Recuperação de pastagens,Degradação Média,Monte do Carmo,1
Adubação,Degradação Média,Monte do Carmo,1
Reaproveitamento de residuos,Pouco degradado,Aparecida do Rio Negro,1
Rotação de cultura,Pouco degradado,Aparecida do Rio Negro,1
Calagem,Pouco degradado,Aparecida do Rio Negro,1
Consórcio,Pouco degradado,Aparecida do Rio Negro,1
Adubação,Pouco degradado,Aparecida do Rio Negro,1
Aceiros,Não possui degradação,,1
Consórcio,Não possui degradação,,1
Adubação,Não possui degradação,,1
Aceiros,Não possui degradação,Novo Jardim,1
Adubação,Não possui degradação,Novo Jardim,1
Não usa,Não possui degradação,Novo Jardim,1
Curva de nível,Não possui degradação,Dianópolis,1
Adubação verde,Não possui degradação,Dianópolis,1
Reaproveitamento de residuos,Não possui degradação,Dianópolis,1
Rotação de cultura,Não possui degradação,Dianópolis,1
Aceiros,Não possui degradação,Dianópolis,1
Calagem,Não possui degradação,Dianópolis,1
Consórcio,Não possui degradação,Dianópolis,1
Aceiros,Muito degradado,Dueré,1
Adubação,Muito degradado,Dueré,1
Rotação de cultura,Não possui degradação,Paranã,1
Recuperação de pastagens,Não possui degradação,Paranã,1
Adubação verde,Pouco degradado,São Bento do Tocantins,1
Reaproveitamento de residuos,Pouco degradado,São Bento do Tocantins,1
Calagem,Pouco degradado,São Bento do Tocantins,1
Descarte correto de embalagens,Pouco degradado,São Bento do Tocantins,1
Recuperação de pastagens,Pouco degradado,São Bento do Tocantins,1
Plantio direto,Pouco degradado,São Bento do Tocantins,1
Adubação,Pouco degradado,São Bento do Tocantins,1
Curva de nível,Não possui degradação,Paranã,1
Rotação de cultura,Não possui degradação,Paranã,1
Aceiros,Não possui degradação,Paranã,1
Aceiros,Degradação Média,Bandeirantes do Tocantins,1
Descarte correto de embalagens,Degradação Média,Bandeirantes do Tocantins,1
Aceiros,Não possui degradação,Xambioá,1
Consórcio,Não possui degradação,Xambioá,1
Descarte correto de embalagens,Não possui degradação,Xambioá,1
Recuperação de pastagens,Não possui degradação,Xambioá,1
Adubação verde,Não possui degradação,Palmas,1
Adubação,Não possui degradação,Palmas,1
Aceiros,Não possui degradação,Santa Terezinha do Tocantins,1
Consórcio,Não possui degradação,Santa Terezinha do Tocantins,1
Descarte correto de embalagens,Não possui degradação,Santa Terezinha do Tocantins,1
Adubação,Não possui degradação,Santa Terezinha do Tocantins,1
Aceiros,,Monte do Carmo,1
Aceiros,Pouco degradado,Bandeirantes do Tocantins,1
Descarte correto de embalagens,Pouco degradado,Bandeirantes do Tocantins,1
Adubação verde,Não possui degradação,Rio dos Bois,1
Aceiros,Não possui degradação,Rio dos Bois,1
Calagem,Não possui degradação,Rio dos Bois,1
Adubação,Não possui degradação,Rio dos Bois,1
Rotação de cultura,Degradação Média,Piraquê,1
Rotação de cultura,Pouco degradado,Araguaína,1
Aceiros,Pouco degradado,Araguaína,1
Adubação,Pouco degradado,Araguaína,1
Rotação de cultura,Degradação Média,Chapada de Areia,1
Aceiros,Degradação Média,Chapada de Areia,1
Adubação,Degradação Média,Chapada de Areia,1
Calagem,Pouco degradado,Fátima,1
Adubação,Pouco degradado,Fátima,1
Reaproveitamento de residuos,Não possui degradação,Monte Santo do Tocantins,1
Rotação de cultura,Não possui degradação,Monte Santo do Tocantins,1
Aceiros,Não possui degradação,Monte Santo do Tocantins,1
Calagem,Não possui degradação,Monte Santo do Tocantins,1
Recuperação de pastagens,Não possui degradação,Monte Santo do Tocantins,1
Adubação,Não possui degradação,Monte Santo do Tocantins,1
Rotação de cultura,Pouco degradado,Novo Acordo,1
Aceiros,Pouco degradado,Novo Acordo,1
Consórcio,Pouco degradado,Novo Acordo,1
Adubação verde,Degradação Média,Nova Rosalândia,1
Plantio direto,Degradação Média,Nova Rosalândia,1
Adubação,Degradação Média,Nova Rosalândia,1
Rotação de cultura,Não possui degradação,Nova Olinda,1
Aceiros,Não possui degradação,Nova Olinda,1
Rotação de cultura,Degradação Média,Pium,1
Aceiros,Degradação Média,Pium,1
Calagem,Degradação Média,Pium,1
Adubação,Degradação Média,Pium,1
Reaproveitamento de residuos,Não possui degradação,dois Irmãos do Tocantins,1
Aceiros,Não possui degradação,dois Irmãos do Tocantins,1
Calagem,Não possui degradação,dois Irmãos do Tocantins,1
Adubação,Não possui degradação,dois Irmãos do Tocantins,1
Reaproveitamento de residuos,Degradação Média,Cristalândia,1
Rotação de cultura,Pouco degradado,Pium,1
Aceiros,Pouco degradado,Pium,1
Adubação,Pouco degradado,Pium,1
Adubação verde,Pouco degradado,Paraíso do Tocantins,1
Aceiros,Pouco degradado,Paraíso do Tocantins,1
Calagem,Pouco degradado,Paraíso do Tocantins,1
Adubação,Pouco degradado,Paraíso do Tocantins,1
Calagem,Não possui degradação,Dianópolis,1
Plantio direto,Não possui degradação,Dianópolis,1
