acessa_ou_ja_acessou_politicas_publicas__,municipio_original,Record Count,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
Bolsa Família,Tocantínia,2,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Miranorte,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",GOIATINS,2,goiatins,17.0,1709005.0,Goiatins,goiatins,,,,,,1709005.0,17.0,Goiatins
Aposentadoria Rural,Esperantina,2,esperantina,17.0,1707405.0,Esperantina,esperantina,,,,,,1707405.0,17.0,Esperantina
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",SÃO MIGUEL DO TOCANTINS,2,sao miguel do tocantins,17.0,1720200.0,São Miguel do Tocantins,sao miguel do tocantins,,,,,,1720200.0,17.0,São Miguel do Tocantins
"Bolsa Família, Aposentadoria Rural",MARIANOPOLIS DO TOCANTINS,2,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",RIO DOS BOIS,2,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
"Compra Direta (PAA), Fomento, Aposentadoria Rural",BABAÇULÂNDIA,2,babaculandia,17.0,1703008.0,Babaçulândia,babaculandia,,,,,,1703008.0,17.0,Babaçulândia
"Compra Direta (PAA), Bolsa Família",MIRANORTE,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Aposentadoria Rural,DIANÓPOLIS,2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
"Crédito Rural, Compra Direta (PAA), Bolsa Família",RIO DOS BOIS,2,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Bolsa Família,Cristalandia,2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
Crédito Rural,MONTE DO CARMO-TO,2,monte do carmo-to,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
Crédito Rural,DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
Crédito Rural,SANTA FÉ DO ARAGUAIA,2,santa fe do araguaia,17.0,1718865.0,Santa Fé do Araguaia,santa fe do araguaia,,,,,,1718865.0,17.0,Santa Fé do Araguaia
Compra Direta (PAA),Nova Rosalãndia,2,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Crédito Rural,Miranorte-To,2,miranorte-to,,,,,miranorte,1713304.0,17.0,Miranorte,miranorte,1713304.0,17.0,Miranorte
Crédito Rural,DOIS IRMÃOS DO TOCANTINS,2,dois irmaos do tocantins,17.0,1707207.0,dois Irmãos do Tocantins,dois irmaos do tocantins,,,,,,1707207.0,17.0,dois Irmãos do Tocantins
"Crédito Rural, Compra Direta (PAA)",Aurora do Tocantins,2,aurora do tocantins,17.0,1702703.0,Aurora do Tocantins,aurora do tocantins,,,,,,1702703.0,17.0,Aurora do Tocantins
Crédito Rural,AXIXA DO TOCANTIS,2,axixa do tocantis,,,,,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins
"Compra Direta (PAA), Merenda Escolar (PENAE)",ALIANÇA DO TOCANTINS,2,alianca do tocantins,17.0,1700350.0,Aliança do Tocantins,alianca do tocantins,,,,,,1700350.0,17.0,Aliança do Tocantins
Bolsa Família,Araguatins,2,araguatins,17.0,1702208.0,Araguatins,araguatins,,,,,,1702208.0,17.0,Araguatins
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Couto Magalhães,2,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
Crédito Rural,NOVA OLINDA,2,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",CASEARA-TO,2,caseara-to,,,,,caseara,1703909.0,17.0,Caseara,caseara,1703909.0,17.0,Caseara
"Crédito Rural, Aposentadoria Rural",Talisma,2,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
Não,DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
Aposentadoria Rural,Xambioa,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Não,Cristalandia,2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Gurupi-TO,2,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
Aposentadoria Rural,Piraquê,2,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
Crédito Rural,Araguaina,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Crédito Rural, Compra Direta (PAA), Bolsa Família",Piraquê,2,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
Não,MIRACEMA,2,miracema,,,,,miracema do tocantins,1713205.0,17.0,Miracema do Tocantins,miracema do tocantins,1713205.0,17.0,Miracema do Tocantins
Crédito Rural,PALMEIRAS,2,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
Bolsa Família,JAU DO TO,2,jau do to,,,,,jau do tocantins,1711506.0,17.0,Jaú do Tocantins,jau do tocantins,1711506.0,17.0,Jaú do Tocantins
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",BOM JESUS DO TOCANTINS,2,bom jesus do tocantins,17.0,1703305.0,Bom Jesus do Tocantins,bom jesus do tocantins,,,,,,1703305.0,17.0,Bom Jesus do Tocantins
"Compra Direta (PAA), Bolsa Família",RIO DOS BOIS,2,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Não,araguaína,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",LUZINOPOLIS-TO,2,luzinopolis-to,,,,,luzinopolis,1712454.0,17.0,Luzinópolis,luzinopolis,1712454.0,17.0,Luzinópolis
Não,"P.A Tamboril, Angico - TO",2,"p.a tamboril, angico - to",,,,,angico,1701051.0,17.0,Angico,angico,1701051.0,17.0,Angico
"Crédito Rural, Bolsa Família",FILADÉLFIA,2,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",PALMEIRAS,2,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
"Fomento, Bolsa Família",NOVA OLINDA,2,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
"Crédito Rural, Aposentadoria Rural",Cristalandia,2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
Compra Direta (PAA),Monte do Carmo,1,monte do carmo,17.0,1713601.0,Monte do Carmo,monte do carmo,,,,,,1713601.0,17.0,Monte do Carmo
Bolsa Família,PORTONACIONAL - TO,1,portonacional - to,,,,,porto nacional,1718204.0,17.0,Porto Nacional,porto nacional,1718204.0,17.0,Porto Nacional
"Crédito Rural, Bolsa Família",AXIXA DO TOCANTINS,1,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
"Bolsa Família, Aposentadoria Rural",Ananás P.A Antonio Moreira,1,ananas p.a antonio moreira,,,,,ananas,1701002.0,17.0,Ananás,ananas,1701002.0,17.0,Ananás
PRONAF A,Araguaçu,1,araguacu,17.0,1702000.0,Araguaçu,araguacu,,,,,,1702000.0,17.0,Araguaçu
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Riachinho,1,riachinho,17.0,1718550.0,Riachinho,riachinho,,,,,,1718550.0,17.0,Riachinho
"Crédito Rural, Merenda Escolar (PENAE), Bolsa Família",Xambioa,1,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
"Crédito Rural, Compra Direta (PAA)",RIACHINHO - TO,1,riachinho - to,,,,,riachinho,1718550.0,17.0,Riachinho,riachinho,1718550.0,17.0,Riachinho
"Crédito Rural, Compra Direta (PAA)",PIUM,1,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
"Compra Direta (PAA), Fomento, Bolsa Família",PUGMIL,1,pugmil,17.0,1718451.0,Pugmil,pugmil,,,,,,1718451.0,17.0,Pugmil
Bolsa Família,ABREULANDIA,1,abreulandia,17.0,1700251.0,Abreulândia,abreulandia,,,,,,1700251.0,17.0,Abreulândia
"Crédito Rural, Bolsa Família",LAJEADO,1,lajeado,17.0,1712009.0,Lajeado,lajeado,,,,,,1712009.0,17.0,Lajeado
"Crédito Rural, Aposentadoria Rural",IPUEIRAS,1,ipueiras,17.0,1709807.0,Ipueiras,ipueiras,,,,,,1709807.0,17.0,Ipueiras
Não,Miracema do tocantins-TO,1,miracema do tocantins-to,,,,,miracema do tocantins,1713205.0,17.0,Miracema do Tocantins,miracema do tocantins,1713205.0,17.0,Miracema do Tocantins
Não,SILVANOPOLIS,1,silvanopolis,17.0,1720655.0,Silvanópolis,silvanopolis,,,,,,1720655.0,17.0,Silvanópolis
"Crédito Rural, Bolsa Família",AXIXÁ DO TOCANTINS,1,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
Fomento,MONTE DO CARMO-TO,1,monte do carmo-to,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
Compra Direta (PAA),Araguanã,1,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
"Compra Direta (PAA), Fomento",Nova Rosalãndia,1,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Aposentadoria Rural,Cristalândia,1,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
Compra Direta (PAA),Darcinópolis,1,darcinopolis,17.0,1706506.0,darcinópolis,darcinopolis,,,,,,1706506.0,17.0,darcinópolis
"Crédito Rural, PNCF",Novo Jardim,1,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
"Crédito Rural, Compra Direta (PAA)",Chapada De Areia,1,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Fomento,ARAGUAÍNA,1,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Não,Pugmil,1,pugmil,17.0,1718451.0,Pugmil,pugmil,,,,,,1718451.0,17.0,Pugmil
"Compra Direta (PAA), Bolsa Família, Aposentadoria Rural",ALMAS,1,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
Compra Direta (PAA),Palmeirópolis,1,palmeiropolis,17.0,1715754.0,Palmeirópolis,palmeiropolis,,,,,,1715754.0,17.0,Palmeirópolis
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",DIVINÓPOLIS,1,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Gurupi,1,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
CAF,MONTE DO CARMO -TO.,1,monte do carmo -to.,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
Crédito Rural,barrolandia,1,barrolandia,17.0,1703107.0,Barrolândia,barrolandia,,,,,,1703107.0,17.0,Barrolândia
Compra Direta (PAA),LUZINOPOLIS -TO,1,luzinopolis -to,,,,,luzinopolis,1712454.0,17.0,Luzinópolis,luzinopolis,1712454.0,17.0,Luzinópolis
"Compra Direta (PAA), Bolsa Família",Araguaína,1,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Não,MIRACEMA DO TOCANTINS,1,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
"Crédito Rural, Aposentadoria Rural",Monte Santo,1,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Palmeiras do Tocantins,1,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
"Crédito Rural, Aposentadoria Rural",ALMAS TO,1,almas to,,,,,almas,1700400.0,17.0,Almas,almas,1700400.0,17.0,Almas
Aposentadoria Rural,MARIANÓPOLIS DO TOCANTINS,1,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Não,Marianopolis - TO,1,marianopolis - to,,,,,dianopolis,1707009.0,17.0,Dianópolis,dianopolis,1707009.0,17.0,Dianópolis
Aposentadoria Rural,TALISMÃ,1,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
Compra Direta (PAA),Miracema do Tocantins,1,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
Crédito Rural,NOVO JARDIM,1,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
"Compra Direta (PAA), Merenda Escolar (PENAE)",TABOCÃO,1,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
Compra Direta (PAA),DIANOPOLIS,1,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Barrolândia,1,barrolandia,17.0,1703107.0,Barrolândia,barrolandia,,,,,,1703107.0,17.0,Barrolândia
Crédito Rural,Palmeirópolis,1,palmeiropolis,17.0,1715754.0,Palmeirópolis,palmeiropolis,,,,,,1715754.0,17.0,Palmeirópolis
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",MIRANORTE,1,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Não,DIANOPOLIS,1,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Programa Quintal Verde,Aliança do Tocantins,1,alianca do tocantins,17.0,1700350.0,Aliança do Tocantins,alianca do tocantins,,,,,,1700350.0,17.0,Aliança do Tocantins
Crédito Rural,Abreulândia - TO,1,abreulandia - to,,,,,abreulandia,1700251.0,17.0,Abreulândia,abreulandia,1700251.0,17.0,Abreulândia
"Crédito Rural, Bolsa Família, Aposentadoria Rural",pium to,1,pium to,,,,,pium,1717503.0,17.0,Pium,pium,1717503.0,17.0,Pium
"Compra Direta (PAA), Merenda Escolar (PENAE), PNCF",Novo Jardim,1,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
Não,PARAISO -TO,1,paraiso -to,,,,,paraiso do tocantins,1716109.0,17.0,Paraíso do Tocantins,paraiso do tocantins,1716109.0,17.0,Paraíso do Tocantins
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",GUARAI,1,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Fomento,SÍTIO NOVO DO TOCANTINS,1,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",PALMEIRAS DO TOCANTINS,1,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
"Merenda Escolar (PENAE), Bolsa Família",CASEARA,1,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
Crédito Rural,RIO SO  TO,1,rio so  to,,,,,aparecida do rio negro,1701101.0,17.0,Aparecida do Rio Negro,aparecida do rio negro,1701101.0,17.0,Aparecida do Rio Negro
Bolsa Família,Babaçulândia,1,babaculandia,17.0,1703008.0,Babaçulândia,babaculandia,,,,,,1703008.0,17.0,Babaçulândia
Não,MONTE VSANTO -TO,1,monte vsanto -to,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
"Crédito Rural, Compra Direta (PAA)",GUARAI,1,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
"Compra Direta (PAA), Fomento",SILVANÓPOLIS,1,silvanopolis,17.0,1720655.0,Silvanópolis,silvanopolis,,,,,,1720655.0,17.0,Silvanópolis
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",GUARAI,1,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Angico,1,angico,17.0,1701051.0,Angico,angico,,,,,,1701051.0,17.0,Angico
Bolsa Família,CARMOLÂNDIA,1,carmolandia,17.0,1703883.0,Carmolândia,carmolandia,,,,,,1703883.0,17.0,Carmolândia
Bolsa Família,ALMAS,1,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
"Bolsa Família, PENSÃO INSS",MARIANÓPOLIS DO TOCANTINS,1,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Não,Wandrlãndia,1,wandrlandia,,,,,wanderlandia,1722081.0,17.0,Wanderlândia,wanderlandia,1722081.0,17.0,Wanderlândia
"Merenda Escolar (PENAE), Fomento, Bolsa Família",SÍTIO NOVO DO TOCANTINS,1,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
"Compra Direta (PAA), Merenda Escolar (PENAE)",CRIXAS DO TOCANTINS,1,crixas do tocantins,17.0,1706258.0,Crixás do Tocantins,crixas do tocantins,,,,,,1706258.0,17.0,Crixás do Tocantins
ATER INGENA,LAGOA DA CONFUSÃO - TO,1,lagoa da confusao - to,,,,,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão
Não,Figueiropolis-TO,1,figueiropolis-to,,,,,figueiropolis,1707652.0,17.0,Figueirópolis,figueiropolis,1707652.0,17.0,Figueirópolis
Bolsa Família,CASEARA,1,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Crédito Rural, Compra Direta (PAA), Fomento",TUPIRAMA-TO,1,tupirama-to,,,,,tupirama,1721257.0,17.0,Tupirama,tupirama,1721257.0,17.0,Tupirama
"Crédito Rural, Bolsa Família",FILADELFIA,1,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Não,Caseara,1,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Compra Direta (PAA), Merenda Escolar (PENAE)",PALMAS,1,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
"Crédito Rural, Aposentadoria Rural",Gurupi,1,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
Fomento,Miracema do tocantins,1,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família, Aposentadoria Rural",Novo Acordo,1,novo acordo,17.0,1715101.0,Novo Acordo,novo acordo,,,,,,1715101.0,17.0,Novo Acordo
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Dianópolis,1,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
"Merenda Escolar (PENAE), Aposentadoria Rural",Araguaina,1,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Crédito Rural, Bolsa Família",MARIANOPOLIS DO TOCANTINS,1,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Não,NOVA OLINDA - TO,1,nova olinda - to,,,,,nova olinda,1714880.0,17.0,Nova Olinda,nova olinda,1714880.0,17.0,Nova Olinda
"Merenda Escolar (PENAE), Bolsa Família",Araguaina,1,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Crédito Rural, Aposentadoria Rural",CHAPADA DA NATIVIDADE,1,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
"Merenda Escolar (PENAE), Aposentadoria Rural",Couto Magalhães,1,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
"Crédito Rural, Compra Direta (PAA), Fomento, Aposentadoria Rural",SANTA MARIA DO TOCANTINS,1,santa maria do tocantins,17.0,1718881.0,Santa Maria do Tocantins,santa maria do tocantins,,,,,,1718881.0,17.0,Santa Maria do Tocantins
"Compra Direta (PAA), Aposentadoria Rural",Miracema do Tocantins,1,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
Compra Direta (PAA),IPUEIRAS -TO,1,ipueiras -to,,,,,ipueiras,1709807.0,17.0,Ipueiras,ipueiras,1709807.0,17.0,Ipueiras
Fomento,PORTO NACIONAL - TO,1,porto nacional - to,,,,,porto nacional,1718204.0,17.0,Porto Nacional,porto nacional,1718204.0,17.0,Porto Nacional
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Aposentadoria Rural",Couto Magalhães,1,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
"Bolsa Família, Aposentadoria Rural",NOVA OLINDA - TO,1,nova olinda - to,,,,,nova olinda,1714880.0,17.0,Nova Olinda,nova olinda,1714880.0,17.0,Nova Olinda
Não,Palmeirópolis,1,palmeiropolis,17.0,1715754.0,Palmeirópolis,palmeiropolis,,,,,,1715754.0,17.0,Palmeirópolis
"Compra Direta (PAA), Merenda Escolar (PENAE)",DOIS IRMÃOS - TO,1,dois irmaos - to,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
"Bolsa Família, Aposentadoria Rural",DOIS IRMÃOS DO TOCANTINS - TO,1,dois irmaos do tocantins - to,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",SANTA MARIA DO TOCANTINS,1,santa maria do tocantins,17.0,1718881.0,Santa Maria do Tocantins,santa maria do tocantins,,,,,,1718881.0,17.0,Santa Maria do Tocantins
Bolsa Família,BOM JESUS DO TOCANTINS,1,bom jesus do tocantins,17.0,1703305.0,Bom Jesus do Tocantins,bom jesus do tocantins,,,,,,1703305.0,17.0,Bom Jesus do Tocantins
Compra Direta (PAA),Chapada de Areia,1,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
"Compra Direta (PAA), Aposentadoria Rural",Dois Irmãos do Tocantins,1,dois irmaos do tocantins,17.0,1707207.0,dois Irmãos do Tocantins,dois irmaos do tocantins,,,,,,1707207.0,17.0,dois Irmãos do Tocantins
"Crédito Rural, Compra Direta (PAA)",Palmeirópolis,1,palmeiropolis,17.0,1715754.0,Palmeirópolis,palmeiropolis,,,,,,1715754.0,17.0,Palmeirópolis
"Compra Direta (PAA), Aposentadoria Rural",ALMAS,1,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
Compra Direta (PAA),araguatins-esperantina,1,araguatins-esperantina,,,,,araguatins,1702208.0,17.0,Araguatins,araguatins,1702208.0,17.0,Araguatins
Não,Colmeia,1,colmeia,17.0,1716703.0,Colméia,colmeia,,,,,,1716703.0,17.0,Colméia
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",COLMÉIA,1,colmeia,17.0,1716703.0,Colméia,colmeia,,,,,,1716703.0,17.0,Colméia
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",BOM JESUS DO TOCANTINS-TO,1,bom jesus do tocantins-to,,,,,bom jesus do tocantins,1703305.0,17.0,Bom Jesus do Tocantins,bom jesus do tocantins,1703305.0,17.0,Bom Jesus do Tocantins
Crédito Rural,PARANÃ -TO,1,parana -to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Novo Acordo,1,novo acordo,17.0,1715101.0,Novo Acordo,novo acordo,,,,,,1715101.0,17.0,Novo Acordo
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Dianópolis - TO,1,dianopolis - to,,,,,dianopolis,1707009.0,17.0,Dianópolis,dianopolis,1707009.0,17.0,Dianópolis
Não,ALMAES TO,1,almaes to,,,,,,,,,,,,
"Compra Direta (PAA), Bolsa Família",Babaçulandia,1,babaculandia,17.0,1703008.0,Babaçulândia,babaculandia,,,,,,1703008.0,17.0,Babaçulândia
