municipio_ibge,atividade_produtiva,total_respostas
Paraíso do Tocantins,Pisicultura,5
Paraíso do Tocantins,Principais produtos comercializados - bezerros,5
Paraíso do Tocantins,Suinocultura,6
Paraíso do Tocantins,Vaca - cruzada,5
Paraíso do Tocantins,Viveiro de mudas frutíferas,1
Pedro Afonso,Avicultura,7
Pedro Afonso,Bovinocultura de corte,5
Pedro Afonso,Bovinocultura mista (touro - com características de corte,4
Pedro Afonso,Culturas anuais,1
Pedro Afonso,Extrativismo vegetal,1
Pedro Afonso,Fruticultura,7
Pedro Afonso,Leite) -,4
Pedro Afonso,Mandiocultura,7
Pedro Afonso,Olericultura,1
Pedro Afonso,Ovinocaprinocultura,1
Pedro Afonso,Pisicultura,2
Pedro Afonso,Principais produtos comercializados - bezerros,4
Pedro Afonso,Suinocultura,2
Pedro Afonso,Vaca - cruzada,4
Peixe,Avicultura,9
Peixe,Bovinocultura de corte,13
Peixe,Fruticultura,2
Peixe,Mandiocultura,5
Peixe,Olericultura,1
Peixe,Quiabo,1
Peixe,Suinocultura,1
Piraquê,Avicultura,19
Piraquê,Bovinocultura de leite,2
Piraquê,Bovinocultura mista (touro - com características de corte,15
Piraquê,Culturas anuais,13
Piraquê,Fruticultura,5
Piraquê,Leite) -,15
Piraquê,Mandiocultura,14
Piraquê,Olericultura,12
Piraquê,Pisicultura,3
Piraquê,Principais produtos comercializados - bezerros,15
Piraquê,Suinocultura,8
Piraquê,Vaca - cruzada,15
Pium,Apicultura,1
Pium,Avicultura,28
Pium,Bovinocultura de corte,22
Pium,Bovinocultura de leite,5
Pium,Bovinocultura mista (touro - com características de corte,4
Pium,Cana açucar,1
Pium,Cultivo da mangaba,1
Pium,Culturas anuais,4
Pium,Extrativismo vegetal,7
Pium,Fruticultura,9
Pium,Leite) -,4
Pium,Mandiocultura,15
Pium,Meliponicultura,1
Pium,Olericultura,4
Pium,Ovinocaprinocultura,2
Pium,Pisicultura,2
Pium,Principais produtos comercializados - bezerros,4
Pium,Suinocultura,9
Pium,Vaca - cruzada,4
Ponte Alta do Bom Jesus,Bovinocultura de corte,11
Ponte Alta do Bom Jesus,Fruticultura,4
Ponte Alta do Bom Jesus,Mandiocultura,5
Ponte Alta do Bom Jesus,Olericultura,1
Porto Alegre do Tocantins,Bovinocultura de corte,3
Porto Alegre do Tocantins,Bovinocultura mista (touro - com características de corte,1
Porto Alegre do Tocantins,Culturas anuais,2
Porto Alegre do Tocantins,Leite) -,1
Porto Alegre do Tocantins,Mandiocultura,2
Porto Alegre do Tocantins,Olericultura,1
Porto Alegre do Tocantins,Principais produtos comercializados - bezerros,1
Porto Alegre do Tocantins,Vaca - cruzada,1
Porto Nacional,Apicultura,1
Porto Nacional,Avicultura,3
Porto Nacional,Fruticultura,1
Porto Nacional,Mandiocultura,2
Porto Nacional,Meliponicultura,1
Porto Nacional,Olericultura,4
Porto Nacional,Suinocultura,3
Porto Nacional,Viveiro de mudas,1
Praia Norte,Avicultura,2
Praia Norte,Bovinocultura mista (touro - com características de corte,1
Praia Norte,Culturas anuais,2
Praia Norte,Leite) -,1
Praia Norte,Mandiocultura,2
Praia Norte,Pisicultura,1
Praia Norte,Principais produtos comercializados - bezerros,1
Praia Norte,Suinocultura,2
Praia Norte,Vaca - cruzada,1
Pugmil,Apicultura,2
Pugmil,Avicultura,2
Pugmil,Bovinocultura de corte,3
Pugmil,Culturas anuais,3
Pugmil,Fruticultura,1
Pugmil,Mandiocultura,5
Pugmil,Meliponicultura,2
Pugmil,Olericultura,2
Pugmil,Pisicultura,3
Riachinho,Avicultura,7
Riachinho,Bovinocultura de corte,5
Riachinho,Bovinocultura de leite,6
Riachinho,Culturas anuais,3
Riachinho,Fruticultura,2
Riachinho,Mandiocultura,2
Riachinho,Olericultura,3
Riachinho,Suinocultura,6
Rio Sono,Avicultura,7
Rio Sono,Bovinocultura de corte,14
Rio Sono,Bovinocultura de leite,1
Rio Sono,Fruticultura,6
Rio Sono,Mandiocultura,8
Rio Sono,Olericultura,1
Rio Sono,Ovinocaprinocultura,1
Rio Sono,Pisicultura,2
Rio da Conceição,Agroindústria láctea,1
Rio da Conceição,Avicultura,3
Rio da Conceição,Bovinocultura de corte,2
Rio da Conceição,Bovinocultura de leite,1
Rio da Conceição,Culturas anuais,2
Rio da Conceição,Fruticultura,5
Rio da Conceição,Mandiocultura,3
Rio da Conceição,Olericultura,6
Rio da Conceição,Suinocultura,2
Rio dos Bois,Avicultura,10
Rio dos Bois,Bovinocultura de corte,8
Rio dos Bois,Bovinocultura de leite,1
Rio dos Bois,Bovinocultura mista (touro - com características de corte,1
Rio dos Bois,Culturas anuais,6
Rio dos Bois,Fruticultura,7
Rio dos Bois,Leite) -,1
Rio dos Bois,Mandiocultura,11
Rio dos Bois,Olericultura,2
Rio dos Bois,Pisicultura,1
Rio dos Bois,Principais produtos comercializados - bezerros,1
Rio dos Bois,Suinocultura,2
Rio dos Bois,Vaca - cruzada,1
Santa Fé do Araguaia,Apicultura,1
Santa Fé do Araguaia,Avicultura,7
Santa Fé do Araguaia,Bovinocultura de corte,10
Santa Fé do Araguaia,Bovinocultura de leite,6
Santa Fé do Araguaia,Extrativismo vegetal,1
Santa Fé do Araguaia,Fruticultura,2
Santa Fé do Araguaia,Mandiocultura,5
Santa Fé do Araguaia,Meliponicultura,1
Santa Fé do Araguaia,Ovinocaprinocultura,3
Santa Fé do Araguaia,Pisicultura,3
Santa Fé do Araguaia,Suinocultura,6
Santa Maria do Tocantins,Avicultura,3
Santa Maria do Tocantins,Bovinocultura de corte,1
Santa Maria do Tocantins,Culturas anuais,2
Santa Maria do Tocantins,Fruticultura,4
Santa Maria do Tocantins,Mandiocultura,5
Santa Maria do Tocantins,Olericultura,1
Santa Maria do Tocantins,Suinocultura,4
Santa Rita do Tocantins,Avicultura,2
Santa Rita do Tocantins,Bovinocultura de corte,3
Santa Rita do Tocantins,Bovinocultura mista (touro - com características de corte,1
Santa Rita do Tocantins,Leite) -,1
Santa Rita do Tocantins,Principais produtos comercializados - bezerros,1
Santa Rita do Tocantins,Vaca - cruzada,1
Santa Terezinha do Tocantins,Apicultura,1
Santa Terezinha do Tocantins,Avicultura,1
Santa Terezinha do Tocantins,Bovinocultura de corte,3
Santa Terezinha do Tocantins,Bovinocultura mista (touro - com características de corte,3
Santa Terezinha do Tocantins,Leite) -,3
Santa Terezinha do Tocantins,Mandiocultura,2
Santa Terezinha do Tocantins,Meliponicultura,1
Santa Terezinha do Tocantins,Olericultura,2
Santa Terezinha do Tocantins,Principais produtos comercializados - bezerros,3
Santa Terezinha do Tocantins,Vaca - cruzada,3
Silvanópolis,Avicultura,9
Silvanópolis,Bovinocultura de corte,10
Silvanópolis,Bovinocultura mista (touro - com características de corte,1
Silvanópolis,Culturas anuais,1
Silvanópolis,Fruticultura,4
Silvanópolis,Leite) -,1
Silvanópolis,Mandiocultura,10
Silvanópolis,Olericultura,3
Silvanópolis,Ovinocaprinocultura,1
Silvanópolis,Pisicultura,2
Silvanópolis,Principais produtos comercializados - bezerros,1
Silvanópolis,Sem atividade produtiva ainda,1
Silvanópolis,Suinocultura,7
Silvanópolis,Vaca - cruzada,1
Sucupira,Avicultura,5
Sucupira,Bovinocultura de corte,4
Sucupira,Bovinocultura de leite,2
Sucupira,Pisicultura,1
Sucupira,Suinocultura,4
São Bento do Tocantins,Apicultura,1
São Bento do Tocantins,Avicultura,1
São Bento do Tocantins,Bovinocultura de corte,4
São Bento do Tocantins,Culturas anuais,1
São Bento do Tocantins,Extrativismo vegetal,1
São Bento do Tocantins,Fruticultura,1
São Bento do Tocantins,Mandiocultura,3
São Bento do Tocantins,Meliponicultura,1
São Bento do Tocantins,Ovinocaprinocultura,1
São Bento do Tocantins,Suinocultura,1
São Miguel do Tocantins,Avicultura,2
São Miguel do Tocantins,Bovinocultura mista (touro - com características de corte,1
São Miguel do Tocantins,Culturas anuais,2
São Miguel do Tocantins,Extrativismo vegetal,2
São Miguel do Tocantins,Leite) -,1
São Miguel do Tocantins,Mandiocultura,7
São Miguel do Tocantins,Olericultura,4
São Miguel do Tocantins,Pisicultura,1
São Miguel do Tocantins,Principais produtos comercializados - bezerros,1
São Miguel do Tocantins,Suinocultura,1
São Miguel do Tocantins,Vaca - cruzada,1
São Salvador do Tocantins,Avicultura,4
São Salvador do Tocantins,Bovinocultura de corte,4
São Salvador do Tocantins,Culturas anuais,1
São Salvador do Tocantins,Fruticultura,1
São Salvador do Tocantins,Mandiocultura,5
São Salvador do Tocantins,Olericultura,4
São Salvador do Tocantins,Suinocultura,2
Sítio Novo do Tocantins,Avicultura,8
Sítio Novo do Tocantins,Bovinocultura de corte,3
Sítio Novo do Tocantins,Bovinocultura de leite,2
Sítio Novo do Tocantins,Culturas anuais,4
Sítio Novo do Tocantins,Extrativismo vegetal,2
Sítio Novo do Tocantins,Fruticultura,4
Sítio Novo do Tocantins,Mandiocultura,9
Sítio Novo do Tocantins,Olericultura,1
Sítio Novo do Tocantins,Suinocultura,2
Talismã,Avicultura,13
Talismã,Bovinocultura de corte,18
Talismã,Mandiocultura,1
Talismã,Olericultura,1
Talismã,Pisicultura,1
Talismã,Suinocultura,10
Tocantínia,Avicultura,7
Tocantínia,Bovinocultura de corte,3
Tocantínia,Bovinocultura de leite,3
Tocantínia,Fruticultura,5
Tocantínia,Mandiocultura,9
Tocantínia,Olericultura,1
Tocantínia,Pisicultura,2
Tocantínia,Suinocultura,1
Tupirama,Avicultura,3
Tupirama,Bovinocultura mista (touro - com características de corte,1
Tupirama,Culturas anuais,6
Tupirama,Fruticultura,5
Tupirama,Leite) -,1
Tupirama,Mandiocultura,5
Tupirama,Olericultura,5
Tupirama,Principais produtos comercializados - bezerros,1
Tupirama,Vaca - cruzada,1
Wanderlândia,Avicultura,8
Wanderlândia,Bovinocultura de corte,1
Wanderlândia,Bovinocultura de leite,2
Wanderlândia,Bovinocultura mista (touro - com características de corte,1
Wanderlândia,Culturas anuais,6
Wanderlândia,Fruticultura,2
Wanderlândia,Leite) -,1
Wanderlândia,Mandiocultura,8
Wanderlândia,Olericultura,4
Wanderlândia,Ovinocaprinocultura,1
Wanderlândia,Pisicultura,1
Wanderlândia,Principais produtos comercializados - bezerros,1
Wanderlândia,Vaca - cruzada,1
Xambioá,Avicultura,13
Xambioá,Bovinocultura de corte,4
Xambioá,Bovinocultura de leite,13
Xambioá,Bovinocultura mista (touro - com características de corte,6
Xambioá,Culturas anuais,3
Xambioá,Extrativismo vegetal,2
Xambioá,Fruticultura,3
Xambioá,Leite) -,6
Xambioá,Mandiocultura,12
Xambioá,Olericultura,9
Xambioá,Pisicultura,5
Xambioá,Principais produtos comercializados - bezerros,6
Xambioá,Suinocultura,6
Xambioá,Vaca - cruzada,6
darcinópolis,Apicultura,2
darcinópolis,Avicultura,4
darcinópolis,Bovinocultura de corte,2
darcinópolis,Culturas anuais,6
darcinópolis,Extrativismo vegetal,1
darcinópolis,Fruticultura,4
darcinópolis,Mandiocultura,5
darcinópolis,Meliponicultura,2
darcinópolis,Olericultura,10
darcinópolis,Pisicultura,1
dois Irmãos do Tocantins,Avicultura,21
dois Irmãos do Tocantins,Banana,1
dois Irmãos do Tocantins,Bovinocultura de corte,14
dois Irmãos do Tocantins,Bovinocultura de leite,6
dois Irmãos do Tocantins,Bovinocultura mista (touro - com características de corte,1
dois Irmãos do Tocantins,Culturas anuais,4
dois Irmãos do Tocantins,Cupuaçu,1
dois Irmãos do Tocantins,Extrativismo vegetal,1
dois Irmãos do Tocantins,Fruticultura,10
dois Irmãos do Tocantins,Leite) -,1
dois Irmãos do Tocantins,Mandiocultura,13
dois Irmãos do Tocantins,Olericultura,2
dois Irmãos do Tocantins,Pisicultura,7
dois Irmãos do Tocantins,Principais produtos comercializados - bezerros,1
dois Irmãos do Tocantins,Suinocultura,11
dois Irmãos do Tocantins,Vaca - cruzada,1
