municipio_ibge,uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas
Miracema do Tocantins,Plantio direto,Degradação Média,1
Miracema do Tocantins,Recuperação de pastagens,Degradação Média,1
Miracema do Tocantins,Recuperação de pastagens,Não possui degradação,1
Miracema do Tocantins,Recuperação de pastagens,Pouco degradado,5
Miracema do Tocantins,Rotação de cultura,Pouco degradado,1
Miranorte,Aceiros,Não possui degradação,37
Miranorte,Aceiros,Pouco degradado,4
Miranorte,Adubação,Não possui degradação,33
Miranorte,Adubação,Pouco degradado,5
Miranorte,Adubação verde,Não possui degradação,1
Miranorte,Calagem,Não possui degradação,17
Miranorte,Calagem,Pouco degradado,4
Miranorte,Não usa,Pouco degradado,1
Miranorte,Plantio direto,Não possui degradação,1
Miranorte,Rotação de cultura,Não possui degradação,3
Miranorte,Rotação de cultura,Pouco degradado,2
Monte Santo do Tocantins,Aceiros,Degradação Média,1
Monte Santo do Tocantins,Aceiros,Não possui degradação,3
Monte Santo do Tocantins,Aceiros,Pouco degradado,2
Monte Santo do Tocantins,Adubação,Não possui degradação,1
Monte Santo do Tocantins,Adubação,Pouco degradado,3
Monte Santo do Tocantins,Adubação verde,Degradação Média,1
Monte Santo do Tocantins,Adubação verde,Não possui degradação,3
Monte Santo do Tocantins,Calagem,Não possui degradação,1
Monte Santo do Tocantins,Calagem,Pouco degradado,2
Monte Santo do Tocantins,Plantio direto,Degradação Média,1
Monte Santo do Tocantins,Plantio direto,Não possui degradação,3
Monte Santo do Tocantins,Reaproveitamento de residuos,Não possui degradação,1
Monte Santo do Tocantins,Reaproveitamento de residuos,Pouco degradado,1
Monte Santo do Tocantins,Recuperação de pastagens,Não possui degradação,1
Monte Santo do Tocantins,Rotação de cultura,Não possui degradação,1
Monte Santo do Tocantins,Rotação de cultura,Pouco degradado,3
Monte do Carmo,Aceiros,Degradação Média,2
Monte do Carmo,Aceiros,Pouco degradado,5
Monte do Carmo,Adubação,Degradação Média,1
Monte do Carmo,Calagem,Degradação Média,1
Monte do Carmo,Recuperação de pastagens,Degradação Média,1
Muricilândia,Aceiros,Degradação Média,2
Muricilândia,Aceiros,Pouco degradado,4
Muricilândia,Adubação,Degradação Média,1
Muricilândia,Adubação,Pouco degradado,2
Muricilândia,Calagem,Degradação Média,1
Muricilândia,Calagem,Pouco degradado,2
Nova Olinda,Aceiros,Degradação Média,4
Nova Olinda,Aceiros,Não possui degradação,5
Nova Olinda,Aceiros,Pouco degradado,4
Nova Olinda,Adubação,Degradação Média,3
Nova Olinda,Adubação,Não possui degradação,3
Nova Olinda,Adubação,Pouco degradado,2
Nova Olinda,Adubação verde,Não possui degradação,2
Nova Olinda,Calagem,Degradação Média,3
Nova Olinda,Calagem,Não possui degradação,4
Nova Olinda,Calagem,Pouco degradado,2
Nova Olinda,Consórcio,Degradação Média,3
Nova Olinda,Consórcio,Não possui degradação,3
Nova Olinda,Curva de nível,Degradação Média,1
Nova Olinda,Curva de nível,Não possui degradação,3
Nova Olinda,Ilp - integração lavoura pecuária,Não possui degradação,1
Nova Olinda,Reaproveitamento de residuos,Degradação Média,2
Nova Olinda,Reaproveitamento de residuos,Não possui degradação,4
Nova Olinda,Reaproveitamento de residuos,Pouco degradado,1
Nova Olinda,Recuperação de pastagens,Degradação Média,3
Nova Olinda,Rotação de cultura,Degradação Média,1
Nova Olinda,Rotação de cultura,Não possui degradação,5
Nova Olinda,Rotação de cultura,Pouco degradado,1
Nova Rosalândia,Adubação,Degradação Média,14
Nova Rosalândia,Adubação verde,Degradação Média,6
Nova Rosalândia,Calagem,Degradação Média,8
Nova Rosalândia,Consórcio,Degradação Média,1
Nova Rosalândia,Plantio direto,Degradação Média,13
Nova Rosalândia,Reaproveitamento de residuos,Degradação Média,7
Nova Rosalândia,Rotação de cultura,Degradação Média,3
Novo Acordo,Aceiros,Muito degradado,1
Novo Acordo,Aceiros,Pouco degradado,3
Novo Acordo,Adubação,Pouco degradado,1
Novo Acordo,Consórcio,Pouco degradado,3
Novo Acordo,Descarte correto de embalagens,Pouco degradado,1
Novo Acordo,Rotação de cultura,Pouco degradado,3
Novo Jardim,Aceiros,Não possui degradação,5
Novo Jardim,Aceiros,Pouco degradado,1
Novo Jardim,Adubação,Não possui degradação,6
Novo Jardim,Adubação,Pouco degradado,1
Novo Jardim,Calagem,Não possui degradação,1
Novo Jardim,Não usa,Não possui degradação,1
Novo Jardim,Rotação de cultura,Não possui degradação,1
Palmas,Aceiros,Não possui degradação,2
Palmas,Aceiros,Pouco degradado,1
Palmas,Adubação,Não possui degradação,1
Palmas,Adubação verde,Não possui degradação,3
Palmas,Plantio direto,Não possui degradação,1
Palmas,Recuperação de pastagens,Não possui degradação,1
Palmas,Rotação de cultura,Não possui degradação,1
Palmeiras do Tocantins,Aceiros,Degradação Média,1
Palmeiras do Tocantins,Aceiros,Não possui degradação,5
Palmeiras do Tocantins,Aceiros,Pouco degradado,7
Palmeiras do Tocantins,Adubação,Degradação Média,1
Palmeiras do Tocantins,Adubação,Não possui degradação,2
Palmeiras do Tocantins,Adubação,Pouco degradado,8
Palmeiras do Tocantins,Calagem,Não possui degradação,1
Palmeiras do Tocantins,Calagem,Pouco degradado,4
Palmeiras do Tocantins,Consórcio,Pouco degradado,2
Palmeiras do Tocantins,Curva de nível,Pouco degradado,2
Palmeiras do Tocantins,Descarte correto de embalagens,Degradação Média,1
Palmeiras do Tocantins,Descarte correto de embalagens,Não possui degradação,4
Palmeiras do Tocantins,Descarte correto de embalagens,Pouco degradado,7
Palmeiras do Tocantins,Ilp - integração lavoura pecuária,Pouco degradado,2
Palmeiras do Tocantins,Plantio direto,Degradação Média,1
Palmeiras do Tocantins,Reaproveitamento de residuos,Não possui degradação,1
Palmeiras do Tocantins,Recuperação de pastagens,Não possui degradação,3
Palmeiras do Tocantins,Recuperação de pastagens,Pouco degradado,2
Palmeiras do Tocantins,Rotação de cultura,Não possui degradação,2
Palmeiras do Tocantins,Rotação de cultura,Pouco degradado,2
Palmeirópolis,Aceiros,Pouco degradado,1
Palmeirópolis,Adubação,Pouco degradado,1
Palmeirópolis,Calagem,Pouco degradado,1
Palmeirópolis,Não usa,Pouco degradado,1
Paranã,Aceiros,Degradação Média,3
Paranã,Aceiros,Não possui degradação,4
Paranã,Aceiros,Pouco degradado,13
Paranã,Adubação,Pouco degradado,4
Paranã,Adubação verde,Não possui degradação,3
Paranã,Adubação verde,Pouco degradado,2
Paranã,Calagem,Não possui degradação,1
Paranã,Consórcio,Degradação Média,3
Paranã,Consórcio,Não possui degradação,2
Paranã,Consórcio,Pouco degradado,13
Paranã,Curva de nível,Não possui degradação,1
Paranã,Descarte correto de embalagens,Pouco degradado,5
Paranã,Floresta,Não possui degradação,1
Paranã,Ilpf - integração lavoura pecuária,Não possui degradação,1
Paranã,Plantio direto,Degradação Média,3
Paranã,Plantio direto,Pouco degradado,12
Paranã,Reaproveitamento de residuos,Não possui degradação,1
Paranã,Reaproveitamento de residuos,Pouco degradado,2
Paranã,Recuperação de pastagens,Degradação Média,2
Paranã,Recuperação de pastagens,Não possui degradação,1
Paranã,Recuperação de pastagens,Pouco degradado,11
Paranã,Rotação de cultura,Degradação Média,3
Paranã,Rotação de cultura,Não possui degradação,15
Paranã,Rotação de cultura,Pouco degradado,13
Paraíso do Tocantins,Aceiros,Degradação Média,1
Paraíso do Tocantins,Aceiros,Não possui degradação,1
Paraíso do Tocantins,Aceiros,Pouco degradado,9
Paraíso do Tocantins,Adubação,Pouco degradado,6
Paraíso do Tocantins,Adubação verde,Pouco degradado,2
Paraíso do Tocantins,Calagem,Pouco degradado,5
Paraíso do Tocantins,Consórcio,Pouco degradado,1
Paraíso do Tocantins,Não usa,Pouco degradado,3
Paraíso do Tocantins,Reaproveitamento de residuos,Pouco degradado,1
Paraíso do Tocantins,Recuperação de pastagens,Pouco degradado,1
Paraíso do Tocantins,Rotação de cultura,Pouco degradado,2
Pedro Afonso,Aceiros,Degradação Média,2
Pedro Afonso,Aceiros,Não possui degradação,5
Pedro Afonso,Aceiros,Pouco degradado,3
Pedro Afonso,Adubação,Não possui degradação,1
Pedro Afonso,Adubação verde,Não possui degradação,1
Pedro Afonso,Plantio direto,Não possui degradação,1
Peixe,Aceiros,Degradação Média,3
Peixe,Aceiros,Pouco degradado,7
Peixe,Adubação,Degradação Média,2
Peixe,Adubação,Pouco degradado,9
Peixe,Adubação verde,Pouco degradado,1
Peixe,Calagem,Pouco degradado,5
Peixe,Recuperação de pastagens,Pouco degradado,4
Peixe,Rotação de cultura,Pouco degradado,3
Piraquê,Aceiros,Degradação Média,1
Piraquê,Aceiros,Não possui degradação,4
Piraquê,Aceiros,Pouco degradado,12
Piraquê,Adubação,Não possui degradação,1
Piraquê,Adubação,Pouco degradado,5
Piraquê,Calagem,Degradação Média,1
Piraquê,Calagem,Pouco degradado,3
Piraquê,Descarte correto de embalagens,Não possui degradação,1
Piraquê,Plantio direto,Degradação Média,1
Piraquê,Recuperação de pastagens,Degradação Média,1
Piraquê,Recuperação de pastagens,Não possui degradação,3
Piraquê,Recuperação de pastagens,Pouco degradado,6
Piraquê,Rotação de cultura,Degradação Média,1
Piraquê,Rotação de cultura,Não possui degradação,2
Piraquê,Rotação de cultura,Pouco degradado,2
Pium,Aceiros,Degradação Média,3
Pium,Aceiros,Não possui degradação,11
Pium,Aceiros,Pouco degradado,11
Pium,Adubação,Degradação Média,3
Pium,Adubação,Não possui degradação,8
Pium,Adubação,Pouco degradado,10
Pium,Calagem,Degradação Média,1
Pium,Calagem,Não possui degradação,3
Pium,Calagem,Pouco degradado,4
Pium,Consórcio,Pouco degradado,1
Pium,Plantio direto,Pouco degradado,1
Pium,Recuperação de pastagens,Não possui degradação,1
Pium,Recuperação de pastagens,Pouco degradado,1
Pium,Rotação de cultura,Degradação Média,1
Pium,Rotação de cultura,Não possui degradação,1
Pium,Rotação de cultura,Pouco degradado,3
Ponte Alta do Bom Jesus,Aceiros,Degradação Média,2
Ponte Alta do Bom Jesus,Aceiros,Não possui degradação,2
Ponte Alta do Bom Jesus,Aceiros,Pouco degradado,7
Ponte Alta do Bom Jesus,Calagem,Degradação Média,1
Ponte Alta do Bom Jesus,Calagem,Não possui degradação,1
Ponte Alta do Bom Jesus,Calagem,Pouco degradado,2
Ponte Alta do Bom Jesus,Descarte correto de embalagens,Degradação Média,1
Ponte Alta do Bom Jesus,Recuperação de pastagens,Pouco degradado,2
Ponte Alta do Bom Jesus,Rotação de cultura,Degradação Média,1
Porto Alegre do Tocantins,Aceiros,Degradação Média,4
Porto Alegre do Tocantins,Calagem,Degradação Média,3
Praia Norte,Aceiros,Degradação Média,1
Praia Norte,Consórcio,Degradação Média,1
Praia Norte,Rotação de cultura,Degradação Média,1
Pugmil,Aceiros,Não possui degradação,1
Pugmil,Aceiros,Pouco degradado,2
Pugmil,Adubação,Não possui degradação,1
Pugmil,Adubação,Pouco degradado,2
Pugmil,Adubação verde,Não possui degradação,1
Pugmil,Calagem,Não possui degradação,1
Pugmil,Calagem,Pouco degradado,2
Pugmil,Consórcio,Pouco degradado,2
Pugmil,Ilp - integração lavoura pecuária,Pouco degradado,1
Pugmil,Plantio direto,Não possui degradação,1
Pugmil,Plantio direto,Pouco degradado,1
Pugmil,Reaproveitamento de residuos,Pouco degradado,1
Pugmil,Recuperação de pastagens,Não possui degradação,1
Pugmil,Recuperação de pastagens,Pouco degradado,1
Pugmil,Rotação de cultura,Não possui degradação,1
Pugmil,Rotação de cultura,Pouco degradado,2
Riachinho,Aceiros,Não possui degradação,4
Riachinho,Aceiros,Pouco degradado,2
Riachinho,Adubação,Não possui degradação,4
Riachinho,Adubação,Pouco degradado,1
Riachinho,Calagem,Não possui degradação,1
Riachinho,Calagem,Pouco degradado,1
Riachinho,Consórcio,Pouco degradado,1
Riachinho,Curva de nível,Não possui degradação,1
Riachinho,Descarte correto de embalagens,Não possui degradação,3
Riachinho,Plantio direto,Não possui degradação,2
Riachinho,Plantio direto,Pouco degradado,1
Riachinho,Reaproveitamento de residuos,Não possui degradação,1
Riachinho,Recuperação de pastagens,Não possui degradação,1
Riachinho,Recuperação de pastagens,Pouco degradado,1
Riachinho,Rotação de cultura,Não possui degradação,4
Riachinho,Rotação de cultura,Pouco degradado,1
Rio Sono,Aceiros,Não possui degradação,8
Rio Sono,Aceiros,Pouco degradado,4
Rio Sono,Adubação,Não possui degradação,3
Rio Sono,Adubação,Pouco degradado,2
Rio Sono,Calagem,Não possui degradação,4
Rio Sono,Calagem,Pouco degradado,1
Rio Sono,Plantio direto,Não possui degradação,4
Rio Sono,Plantio direto,Pouco degradado,1
Rio Sono,Recuperação de pastagens,Não possui degradação,2
Rio da Conceição,Adubação,Muito degradado,1
Rio da Conceição,Adubação,Não possui degradação,1
Rio da Conceição,Adubação,Pouco degradado,1
Rio da Conceição,Adubação verde,Muito degradado,1
Rio da Conceição,Adubação verde,Não possui degradação,1
Rio da Conceição,Adubação verde,Pouco degradado,1
Rio da Conceição,Calagem,Muito degradado,1
Rio da Conceição,Calagem,Não possui degradação,1
Rio da Conceição,Calagem,Pouco degradado,1
Rio da Conceição,Plantio direto,Pouco degradado,1
Rio da Conceição,Rotação de cultura,Muito degradado,1
Rio da Conceição,Rotação de cultura,Não possui degradação,1
Rio dos Bois,Aceiros,Não possui degradação,3
Rio dos Bois,Aceiros,Pouco degradado,6
Rio dos Bois,Adubação,Não possui degradação,2
Rio dos Bois,Adubação,Pouco degradado,6
Rio dos Bois,Adubação verde,Não possui degradação,1
Rio dos Bois,Calagem,Não possui degradação,2
Rio dos Bois,Calagem,Pouco degradado,6
Rio dos Bois,Descarte correto de embalagens,Pouco degradado,2
Rio dos Bois,Reaproveitamento de residuos,Pouco degradado,5
Rio dos Bois,Recuperação de pastagens,Pouco degradado,2
Santa Fé do Araguaia,Aceiros,Degradação Média,3
Santa Fé do Araguaia,Aceiros,Muito degradado,1
Santa Fé do Araguaia,Aceiros,Pouco degradado,7
Santa Fé do Araguaia,Adubação,Degradação Média,1
Santa Fé do Araguaia,Adubação,Pouco degradado,7
Santa Fé do Araguaia,Calagem,Degradação Média,1
Santa Fé do Araguaia,Calagem,Pouco degradado,6
Santa Fé do Araguaia,Reaproveitamento de residuos,Muito degradado,1
Santa Fé do Araguaia,Rotação de cultura,Muito degradado,1
Santa Maria do Tocantins,Aceiros,Pouco degradado,2
Santa Maria do Tocantins,Adubação,Pouco degradado,2
Santa Maria do Tocantins,Adubação verde,Pouco degradado,1
Santa Maria do Tocantins,Plantio direto,Pouco degradado,1
Santa Rita do Tocantins,Aceiros,Muito degradado,1
Santa Rita do Tocantins,Aceiros,Pouco degradado,2
Santa Rita do Tocantins,Adubação,Pouco degradado,1
Santa Rita do Tocantins,Calagem,Degradação Média,1
Santa Rita do Tocantins,Calagem,Muito degradado,1
Santa Rita do Tocantins,Calagem,Pouco degradado,2
Santa Terezinha do Tocantins,Aceiros,Degradação Média,1
Santa Terezinha do Tocantins,Aceiros,Não possui degradação,2
Santa Terezinha do Tocantins,Aceiros,Pouco degradado,1
Santa Terezinha do Tocantins,Adubação,Não possui degradação,2
Santa Terezinha do Tocantins,Adubação,Pouco degradado,1
Santa Terezinha do Tocantins,Consórcio,Não possui degradação,2
Santa Terezinha do Tocantins,Descarte correto de embalagens,Degradação Média,1
Santa Terezinha do Tocantins,Descarte correto de embalagens,Não possui degradação,1
Silvanópolis,Aceiros,Degradação Média,5
Silvanópolis,Aceiros,Muito degradado,1
Silvanópolis,Aceiros,Pouco degradado,5
Silvanópolis,Adubação,Degradação Média,4
Silvanópolis,Adubação,Muito degradado,1
Silvanópolis,Adubação,Pouco degradado,2
Silvanópolis,Calagem,Degradação Média,5
Silvanópolis,Calagem,Muito degradado,1
Silvanópolis,Calagem,Pouco degradado,5
Silvanópolis,Descarte correto de embalagens,Pouco degradado,1
Silvanópolis,Plantio direto,Pouco degradado,1
Silvanópolis,Recuperação de pastagens,Degradação Média,3
Silvanópolis,Recuperação de pastagens,Pouco degradado,4
Silvanópolis,Rotação de cultura,Degradação Média,1
Sucupira,Aceiros,Muito degradado,1
Sucupira,Aceiros,Não possui degradação,2
Sucupira,Aceiros,Pouco degradado,3
Sucupira,Adubação,Não possui degradação,1
Sucupira,Adubação,Pouco degradado,2
Sucupira,Calagem,Não possui degradação,1
São Bento do Tocantins,Adubação,Pouco degradado,1
São Bento do Tocantins,Adubação verde,Pouco degradado,1
São Bento do Tocantins,Calagem,Pouco degradado,1
São Bento do Tocantins,Descarte correto de embalagens,Pouco degradado,1
São Bento do Tocantins,Plantio direto,Pouco degradado,1
São Bento do Tocantins,Reaproveitamento de residuos,Pouco degradado,1
São Bento do Tocantins,Recuperação de pastagens,Pouco degradado,1
São Miguel do Tocantins,Aceiros,Degradação Média,1
São Salvador do Tocantins,Aceiros,Degradação Média,2
São Salvador do Tocantins,Aceiros,Não possui degradação,2
São Salvador do Tocantins,Adubação,Degradação Média,1
São Salvador do Tocantins,Adubação,Não possui degradação,1
São Salvador do Tocantins,Calagem,Degradação Média,1
São Salvador do Tocantins,Calagem,Não possui degradação,1
São Salvador do Tocantins,Curva de nível,Degradação Média,2
São Salvador do Tocantins,Curva de nível,Não possui degradação,2
Sítio Novo do Tocantins,Aceiros,Degradação Média,5
Sítio Novo do Tocantins,Descarte correto de embalagens,Degradação Média,4
Sítio Novo do Tocantins,Recuperação de pastagens,Degradação Média,1
Talismã,Aceiros,Degradação Média,1
Talismã,Aceiros,Não possui degradação,9
Talismã,Aceiros,Pouco degradado,2
Talismã,Calagem,Degradação Média,1
Talismã,Não usa,Não possui degradação,5
Talismã,Rotação de cultura,Degradação Média,1
Tocantínia,Aceiros,Não possui degradação,1
Tocantínia,Aceiros,Pouco degradado,3
Tocantínia,Adubação,Degradação Média,1
Tocantínia,Adubação,Pouco degradado,2
Tocantínia,Calagem,Não possui degradação,1
Tocantínia,Consórcio,Degradação Média,1
Tocantínia,Consórcio,Pouco degradado,1
Tocantínia,Descarte correto de embalagens,Pouco degradado,1
Tocantínia,Reaproveitamento de residuos,Não possui degradação,1
Tocantínia,Recuperação de pastagens,Pouco degradado,1
Tocantínia,Rotação de cultura,Degradação Média,1
Tocantínia,Rotação de cultura,Pouco degradado,1
Tupirama,Aceiros,Pouco degradado,1
Wanderlândia,Aceiros,Não possui degradação,1
Wanderlândia,Aceiros,Pouco degradado,2
Wanderlândia,Adubação,Pouco degradado,2
Wanderlândia,Calagem,Não possui degradação,1
Wanderlândia,Calagem,Pouco degradado,1
Wanderlândia,Descarte correto de embalagens,Não possui degradação,1
Wanderlândia,Recuperação de pastagens,Não possui degradação,1
Wanderlândia,Recuperação de pastagens,Pouco degradado,1
Wanderlândia,Rotação de cultura,Pouco degradado,1
Xambioá,Aceiros,Degradação Média,4
Xambioá,Aceiros,Não possui degradação,1
Xambioá,Aceiros,Pouco degradado,8
Xambioá,Adubação,Degradação Média,9
Xambioá,Adubação,Pouco degradado,2
Xambioá,Adubação verde,Degradação Média,2
Xambioá,Consórcio,Não possui degradação,1
Xambioá,Consórcio,Pouco degradado,1
Xambioá,Descarte correto de embalagens,Degradação Média,1
Xambioá,Descarte correto de embalagens,Não possui degradação,1
Xambioá,Descarte correto de embalagens,Pouco degradado,1
Xambioá,Ilp - integração lavoura pecuária,Degradação Média,2
Xambioá,Plantio direto,Degradação Média,8
Xambioá,Plantio direto,Pouco degradado,1
Xambioá,Recuperação de pastagens,Degradação Média,3
Xambioá,Recuperação de pastagens,Não possui degradação,1
Xambioá,Recuperação de pastagens,Pouco degradado,3
Xambioá,Rotação de cultura,Degradação Média,4
Xambioá,Rotação de cultura,Pouco degradado,4
darcinópolis,Aceiros,Degradação Média,1
darcinópolis,Aceiros,Pouco degradado,1
darcinópolis,Adubação,Degradação Média,1
darcinópolis,Adubação,Pouco degradado,1
darcinópolis,Consórcio,Pouco degradado,1
darcinópolis,Plantio direto,Degradação Média,1
dois Irmãos do Tocantins,Aceiros,Degradação Média,2
dois Irmãos do Tocantins,Aceiros,Não possui degradação,2
dois Irmãos do Tocantins,Aceiros,Pouco degradado,14
dois Irmãos do Tocantins,Adubação,Degradação Média,2
dois Irmãos do Tocantins,Adubação,Não possui degradação,1
dois Irmãos do Tocantins,Adubação,Pouco degradado,13
dois Irmãos do Tocantins,Calagem,Degradação Média,1
dois Irmãos do Tocantins,Calagem,Não possui degradação,2
dois Irmãos do Tocantins,Calagem,Pouco degradado,8
dois Irmãos do Tocantins,Reaproveitamento de residuos,Não possui degradação,1
dois Irmãos do Tocantins,Reaproveitamento de residuos,Pouco degradado,3
